branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
BNBY,THEL6005,1,Industrial Tools & Equipment,,,60,1
BNBY,THEL6005,1,Miscellaneous - Tools,,,58,1
BNBY,THEL6005,1,Welders - Accessories,,,43,1
BNBY,THEL6005,1,Access - Knuckle Booms,,,54,1
BNBY,THEL6005,1,Jacking,,,37,1
BNBY,THEL6005,1,Electrical Leads & Accessories,,,56,1
BNBY,THEL6005,1,Lighting - Other,,,33,1
BNBY,THEL6005,1,Power Tools & Accessories,,,57,1
BNBY,THEL6005,1,Chain Blocks,,,45,1
BNBY,THEL6005,1,Winches,,,41,1
BNBY,THEL6005,1,Welders - Electric,,,50,1
BNBY,THEL6005,2,Access - Knuckle Booms,Access - Knuckle Booms,,41,0.759259
BNBY,THEL6005,2,Access - Knuckle Booms,Chain Blocks,,31,0.574074
BNBY,THEL6005,2,Access - Knuckle Booms,Electrical Leads & Accessories,,38,0.703704
BNBY,THEL6005,2,Access - Knuckle Booms,Industrial Tools & Equipment,,41,0.759259
BNBY,THEL6005,2,Access - Knuckle Booms,Miscellaneous - Tools,,40,0.740741
BNBY,THEL6005,2,Access - Knuckle Booms,Power Tools & Accessories,,40,0.740741
BNBY,THEL6005,2,Access - Knuckle Booms,Welders - Electric,,37,0.685185
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Knuckle Booms,38,0.926829
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Electrical Leads & Accessories,37,0.902439
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Industrial Tools & Equipment,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Miscellaneous - Tools,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Power Tools & Accessories,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Electric,37,0.902439
BNBY,THEL6005,3,Access - Knuckle Booms,Chain Blocks,Industrial Tools & Equipment,31,1
BNBY,THEL6005,3,Access - Knuckle Booms,Chain Blocks,Miscellaneous - Tools,31,1
BNBY,THEL6005,3,Access - Knuckle Booms,Chain Blocks,Power Tools & Accessories,31,1
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Chain Blocks,31,0.756098
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Electrical Leads & Accessories,37,0.902439
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Industrial Tools & Equipment,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Miscellaneous - Tools,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Power Tools & Accessories,39,0.95122
BNBY,THEL6005,3,Access - Knuckle Booms,Industrial Tools & Equipment,Welders - Electric,35,0.853659
BNBY,THEL6005,3,Access - Knuckle Booms,Electrical Leads & Accessories,Electrical Leads & Accessories,37,0.973684
BNBY,THEL6005,3,Access - Knuckle Booms,Electrical Leads & Accessories,Industrial Tools & Equipment,38,1
BNBY,THEL6005,3,Access - Knuckle Booms,Electrical Leads & Accessories,Miscellaneous - Tools,38,1
BNBY,THEL6005,3,Access - Knuckle Booms,Electrical Leads & Accessories,Power Tools & Accessories,38,1
BNBY,THEL6005,3,Access - Knuckle Booms,Electrical Leads & Accessories,Welders - Electric,34,0.894737
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Chain Blocks,31,0.775
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Electrical Leads & Accessories,37,0.925
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Industrial Tools & Equipment,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Miscellaneous - Tools,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Power Tools & Accessories,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Miscellaneous - Tools,Welders - Electric,35,0.875
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Chain Blocks,31,0.775
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Electrical Leads & Accessories,37,0.925
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Industrial Tools & Equipment,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Miscellaneous - Tools,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Power Tools & Accessories,39,0.975
BNBY,THEL6005,3,Access - Knuckle Booms,Power Tools & Accessories,Welders - Electric,35,0.875
BNBY,THEL6005,3,Access - Knuckle Booms,Welders - Electric,Electrical Leads & Accessories,34,0.918919
BNBY,THEL6005,3,Access - Knuckle Booms,Welders - Electric,Industrial Tools & Equipment,36,0.972973
BNBY,THEL6005,3,Access - Knuckle Booms,Welders - Electric,Miscellaneous - Tools,36,0.972973
BNBY,THEL6005,3,Access - Knuckle Booms,Welders - Electric,Power Tools & Accessories,36,0.972973
BNBY,THEL6005,3,Access - Knuckle Booms,Welders - Electric,Welders - Electric,36,0.972973
BNBY,THEL6005,2,Chain Blocks,Chain Blocks,,43,0.955556
BNBY,THEL6005,2,Chain Blocks,Electrical Leads & Accessories,,44,0.977778
BNBY,THEL6005,2,Chain Blocks,Industrial Tools & Equipment,,45,1
BNBY,THEL6005,2,Chain Blocks,Jacking,,32,0.711111
BNBY,THEL6005,2,Chain Blocks,Miscellaneous - Tools,,45,1
BNBY,THEL6005,2,Chain Blocks,Power Tools & Accessories,,45,1
BNBY,THEL6005,2,Chain Blocks,Welders - Accessories,,32,0.711111
BNBY,THEL6005,2,Chain Blocks,Welders - Electric,,40,0.888889
BNBY,THEL6005,2,Chain Blocks,Winches,,39,0.866667
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Chain Blocks,41,0.953488
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Electrical Leads & Accessories,42,0.976744
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Industrial Tools & Equipment,43,1
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Miscellaneous - Tools,43,1
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Power Tools & Accessories,43,1
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Welders - Electric,39,0.906977
BNBY,THEL6005,3,Chain Blocks,Chain Blocks,Winches,38,0.883721
BNBY,THEL6005,3,Chain Blocks,Electrical Leads & Accessories,Chain Blocks,39,0.886364
BNBY,THEL6005,3,Chain Blocks,Electrical Leads & Accessories,Electrical Leads & Accessories,44,1
BNBY,THEL6005,3,Chain Blocks,Electrical Leads & Accessories,Industrial Tools & Equipment,44,1
