branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
BRKL,MOBI6005,1,Concrete Vibe Units,,,35,1
BRKL,MOBI6005,1,Air Accessories,,,36,1
BRKL,MOBI6005,1,Air Breakers,,,70,1
BRKL,MOBI6005,1,Lighting Towers,,,38,1
BRKL,MOBI6005,1,Compaction - Rammers & Vibrating Plates,,,38,1
BRKL,MOBI6005,1,Masonry Saws,,,66,1
BRKL,MOBI6005,1,Air Compressors - Diesel Small,,,47,1
BRKL,MOBI6005,1,Welders - Accessories,,,40,1
BRKL,MOBI6005,1,Welders - Motorised,,,62,1
BRKL,MOBI6005,1,Masonry Blades,,,67,1
BRKL,MOBI6005,1,Power Tools & Accessories,,,50,1
BRKL,MOBI6005,1,Fans,,,33,1
BRKL,MOBI6005,1,Miscellaneous - Tools,,,50,1
BRKL,MOBI6005,1,Concrete,,,48,1
BRKL,MOBI6005,1,Generators - Diesel Small,,,41,1
BRKL,MOBI6005,1,Air Hand Tools,,,60,1
BRKL,MOBI6005,1,Generators - Accessories,,,38,1
BRKL,MOBI6005,1,Jacking,,,40,1
BRKL,MOBI6005,1,Lighting - Other,,,39,1
BRKL,MOBI6005,1,Industrial Tools & Equipment,,,44,1
BRKL,MOBI6005,1,Materials Handling - Forklift,,,52,1
BRKL,MOBI6005,1,Bolting Tools,,,37,1
BRKL,MOBI6005,2,Power Tools & Accessories,Power Tools & Accessories,,31,0.62
BRKL,MOBI6005,2,Welders - Motorised,Air Hand Tools,,41,0.66129
BRKL,MOBI6005,2,Welders - Motorised,Bolting Tools,,34,0.548387
BRKL,MOBI6005,2,Welders - Motorised,Concrete,,37,0.596774
BRKL,MOBI6005,2,Welders - Motorised,Generators - Accessories,,35,0.564516
BRKL,MOBI6005,2,Welders - Motorised,Industrial Tools & Equipment,,37,0.596774
BRKL,MOBI6005,2,Welders - Motorised,Jacking,,35,0.564516
BRKL,MOBI6005,2,Welders - Motorised,Lighting - Other,,35,0.564516
BRKL,MOBI6005,2,Welders - Motorised,Lighting Towers,,34,0.548387
BRKL,MOBI6005,2,Welders - Motorised,Materials Handling - Forklift,,39,0.629032
BRKL,MOBI6005,2,Welders - Motorised,Miscellaneous - Tools,,37,0.596774
BRKL,MOBI6005,2,Welders - Motorised,Power Tools & Accessories,,36,0.580645
BRKL,MOBI6005,2,Welders - Motorised,Welders - Motorised,,41,0.66129
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Air Hand Tools,37,0.902439
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Bolting Tools,33,0.804878
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Concrete,36,0.878049
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Generators - Accessories,33,0.804878
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Industrial Tools & Equipment,35,0.853659
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Jacking,33,0.804878
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Lighting - Other,34,0.829268
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Lighting Towers,33,0.804878
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Materials Handling - Forklift,36,0.878049
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Miscellaneous - Tools,36,0.878049
BRKL,MOBI6005,3,Welders - Motorised,Air Hand Tools,Welders - Motorised,33,0.804878
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Air Hand Tools,34,1
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Bolting Tools,33,0.970588
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Concrete,34,1
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Generators - Accessories,33,0.970588
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Industrial Tools & Equipment,33,0.970588
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Jacking,32,0.941176
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Lighting - Other,32,0.941176
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Lighting Towers,34,1
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Materials Handling - Forklift,34,1
BRKL,MOBI6005,3,Welders - Motorised,Lighting Towers,Miscellaneous - Tools,34,1
