branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
BUSS,ILUK1000,1,Welders - Electric,,,42,1
BUSS,ILUK1000,1,Electrical Leads & Accessories,,,48,1
BUSS,ILUK1000,1,Miscellaneous - Tools,,,50,1
BUSS,ILUK1000,1,Jacking,,,34,1
BUSS,ILUK1000,1,Lighting - Other,,,33,1
BUSS,ILUK1000,1,Access - Knuckle Booms,,,55,1
BUSS,ILUK1000,1,Industrial Tools & Equipment,,,51,1
BUSS,ILUK1000,1,Generators - Accessories,,,38,1
BUSS,ILUK1000,1,Power Tools & Accessories,,,46,1
BUSS,ILUK1000,1,Chain Blocks,,,44,1
BUSS,ILUK1000,1,Winches,,,44,1
BUSS,ILUK1000,1,Slings  Shackles & Clamps,,,40,1
BUSS,ILUK1000,1,Welders - Accessories,,,34,1
BUSS,ILUK1000,2,Generators - Accessories,Access - Knuckle Booms,,35,0.921053
BUSS,ILUK1000,2,Generators - Accessories,Chain Blocks,,35,0.921053
BUSS,ILUK1000,2,Generators - Accessories,Electrical Leads & Accessories,,36,0.947368
BUSS,ILUK1000,2,Generators - Accessories,Generators - Accessories,,35,0.921053
BUSS,ILUK1000,2,Generators - Accessories,Industrial Tools & Equipment,,36,0.947368
BUSS,ILUK1000,2,Generators - Accessories,Miscellaneous - Tools,,35,0.921053
BUSS,ILUK1000,2,Generators - Accessories,Power Tools & Accessories,,36,0.947368
BUSS,ILUK1000,2,Generators - Accessories,Slings  Shackles & Clamps,,33,0.868421
BUSS,ILUK1000,2,Generators - Accessories,Welders - Electric,,33,0.868421
BUSS,ILUK1000,2,Generators - Accessories,Winches,,35,0.921053
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Access - Knuckle Booms,34,0.971429
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Chain Blocks,34,0.971429
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Electrical Leads & Accessories,34,0.971429
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Industrial Tools & Equipment,35,1
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Miscellaneous - Tools,34,0.971429
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Power Tools & Accessories,35,1
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Slings  Shackles & Clamps,33,0.942857
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Welders - Electric,33,0.942857
BUSS,ILUK1000,3,Generators - Accessories,Access - Knuckle Booms,Winches,34,0.971429
BUSS,ILUK1000,3,Generators - Accessories,Industrial Tools & Equipment,Access - Knuckle Booms,35,0.972222
BUSS,ILUK1000,3,Generators - Accessories,Industrial Tools & Equipment,Chain Blocks,35,0.972222
BUSS,ILUK1000,3,Generators - Accessories,Industrial Tools & Equipment,Electrical Leads & Accessories,35,0.972222
