branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
CARI,CALT1105,1,Floor Equipment,,,47,1
CARI,CALT1105,1,Plumbers Equipment,,,35,1
CARI,CALT1105,1,Industrial Tools & Equipment,,,32,1
CARI,CALT1105,1,Materials Handling - Forklift,,,98,1
CARI,CALT1105,1,Welders - Motorised,,,54,1
CARI,CALT1105,1,Fans,,,78,1
CARI,CALT1105,1,Air Compressors - Diesel Small,,,112,1
CARI,CALT1105,1,Concrete,,,59,1
CARI,CALT1105,1,Miscellaneous - Tools,,,43,1
CARI,CALT1105,1,Air Accessories,,,32,1
CARI,CALT1105,1,Air Hand Tools,,,49,1
CARI,CALT1105,1,Jacking,,,35,1
CARI,CALT1105,1,Bolting Tools,,,45,1
CARI,CALT1105,2,Industrial Tools & Equipment,Concrete,,32,1
CARI,CALT1105,2,Industrial Tools & Equipment,Materials Handling - Forklift,,32,1
CARI,CALT1105,3,Industrial Tools & Equipment,Concrete,Materials Handling - Forklift,31,0.96875
CARI,CALT1105,3,Industrial Tools & Equipment,Materials Handling - Forklift,Concrete,31,0.96875
CARI,CALT1105,3,Industrial Tools & Equipment,Materials Handling - Forklift,Materials Handling - Forklift,31,0.96875
CARI,CALT1105,2,Plumbers Equipment,Materials Handling - Forklift,,32,0.914286
CARI,CALT1105,2,Materials Handling - Forklift,Air Compressors - Diesel Small,,47,0.479592
CARI,CALT1105,2,Materials Handling - Forklift,Air Hand Tools,,37,0.377551
CARI,CALT1105,2,Materials Handling - Forklift,Bolting Tools,,45,0.459184
CARI,CALT1105,2,Materials Handling - Forklift,Concrete,,52,0.530612
CARI,CALT1105,2,Materials Handling - Forklift,Fans,,40,0.408163
CARI,CALT1105,2,Materials Handling - Forklift,Industrial Tools & Equipment,,31,0.316327
CARI,CALT1105,2,Materials Handling - Forklift,Jacking,,33,0.336735
CARI,CALT1105,2,Materials Handling - Forklift,Materials Handling - Forklift,,67,0.683673
CARI,CALT1105,2,Materials Handling - Forklift,Miscellaneous - Tools,,40,0.408163
CARI,CALT1105,2,Materials Handling - Forklift,Plumbers Equipment,,31,0.316327
CARI,CALT1105,2,Materials Handling - Forklift,Welders - Motorised,,38,0.387755
CARI,CALT1105,3,Materials Handling - Forklift,Air Compressors - Diesel Small,Air Compressors - Diesel Small,32,0.680851
CARI,CALT1105,3,Materials Handling - Forklift,Air Hand Tools,Bolting Tools,31,0.837838
CARI,CALT1105,3,Materials Handling - Forklift,Air Hand Tools,Concrete,31,0.837838
CARI,CALT1105,3,Materials Handling - Forklift,Air Hand Tools,Materials Handling - Forklift,35,0.945946
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Bolting Tools,44,0.977778
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Concrete,45,1
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Industrial Tools & Equipment,31,0.688889
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Jacking,33,0.733333
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Materials Handling - Forklift,45,1
CARI,CALT1105,3,Materials Handling - Forklift,Bolting Tools,Miscellaneous - Tools,36,0.8
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Bolting Tools,44,0.846154
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Concrete,46,0.884615
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Industrial Tools & Equipment,31,0.596154
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Jacking,33,0.634615
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Materials Handling - Forklift,49,0.942308
CARI,CALT1105,3,Materials Handling - Forklift,Concrete,Miscellaneous - Tools,37,0.711538
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Air Compressors - Diesel Small,32,0.477612
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Air Hand Tools,33,0.492537
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Bolting Tools,44,0.656716
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Concrete,49,0.731343
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Industrial Tools & Equipment,31,0.462687
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Jacking,33,0.492537
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Materials Handling - Forklift,56,0.835821
CARI,CALT1105,3,Materials Handling - Forklift,Materials Handling - Forklift,Miscellaneous - Tools,37,0.552239
CARI,CALT1105,3,Materials Handling - Forklift,Industrial Tools & Equipment,Concrete,31,1
CARI,CALT1105,3,Materials Handling - Forklift,Industrial Tools & Equipment,Materials Handling - Forklift,31,1
CARI,CALT1105,3,Materials Handling - Forklift,Jacking,Bolting Tools,33,1
CARI,CALT1105,3,Materials Handling - Forklift,Jacking,Concrete,33,1
CARI,CALT1105,3,Materials Handling - Forklift,Jacking,Jacking,32,0.969697
CARI,CALT1105,3,Materials Handling - Forklift,Jacking,Materials Handling - Forklift,33,1
CARI,CALT1105,3,Materials Handling - Forklift,Jacking,Miscellaneous - Tools,31,0.939394
CARI,CALT1105,3,Materials Handling - Forklift,Miscellaneous - Tools,Bolting Tools,36,0.9
CARI,CALT1105,3,Materials Handling - Forklift,Miscellaneous - Tools,Concrete,36,0.9
CARI,CALT1105,3,Materials Handling - Forklift,Miscellaneous - Tools,Jacking,31,0.775
CARI,CALT1105,3,Materials Handling - Forklift,Miscellaneous - Tools,Materials Handling - Forklift,37,0.925
CARI,CALT1105,3,Materials Handling - Forklift,Miscellaneous - Tools,Miscellaneous - Tools,36,0.9
CARI,CALT1105,2,Welders - Motorised,Materials Handling - Forklift,,33,0.611111
CARI,CALT1105,2,Fans,Air Compressors - Diesel Small,,33,0.423077
CARI,CALT1105,2,Fans,Fans,,44,0.564103
CARI,CALT1105,2,Fans,Materials Handling - Forklift,,38,0.487179
CARI,CALT1105,3,Fans,Fans,Fans,32,0.727273
CARI,CALT1105,2,Air Compressors - Diesel Small,Air Compressors - Diesel Small,,64,0.571429
CARI,CALT1105,2,Air Compressors - Diesel Small,Fans,,37,0.330357
CARI,CALT1105,2,Air Compressors - Diesel Small,Materials Handling - Forklift,,45,0.401786
CARI,CALT1105,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Air Compressors - Diesel Small,35,0.546875
CARI,CALT1105,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Materials Handling - Forklift,33,0.515625
CARI,CALT1105,2,Concrete,Bolting Tools,,44,0.745763
CARI,CALT1105,2,Concrete,Concrete,,46,0.779661
