branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
CLBR,FORT7865,1,Lighting Towers,,,159,1
CLBR,FORT7865,1,Materials Handling - Telehandler,,,36,1
CLBR,FORT7865,1,Air Compressors - Diesel Small,,,55,1
CLBR,FORT7865,1,Generators - Diesel Small,,,94,1
CLBR,FORT7865,1,Access - Knuckle Booms,,,40,1
CLBR,FORT7865,1,Pumps - High Head,,,37,1
CLBR,FORT7865,1,Welders - Motorised,,,55,1
CLBR,FORT7865,1,Welders - Accessories,,,38,1
CLBR,FORT7865,1,Trailers,,,32,1
CLBR,FORT7865,2,Generators - Diesel Small,Generators - Diesel Small,,39,0.414894
CLBR,FORT7865,2,Generators - Diesel Small,Lighting Towers,,47,0.5
CLBR,FORT7865,3,Generators - Diesel Small,Lighting Towers,Lighting Towers,34,0.723404
CLBR,FORT7865,2,Lighting Towers,Air Compressors - Diesel Small,,38,0.238994
CLBR,FORT7865,2,Lighting Towers,Generators - Diesel Small,,54,0.339623
CLBR,FORT7865,2,Lighting Towers,Lighting Towers,,114,0.716981
CLBR,FORT7865,2,Lighting Towers,Welders - Motorised,,38,0.238994
CLBR,FORT7865,3,Lighting Towers,Generators - Diesel Small,Lighting Towers,31,0.574074
CLBR,FORT7865,3,Lighting Towers,Lighting Towers,Air Compressors - Diesel Small,31,0.27193
CLBR,FORT7865,3,Lighting Towers,Lighting Towers,Generators - Diesel Small,38,0.333333
CLBR,FORT7865,3,Lighting Towers,Lighting Towers,Lighting Towers,80,0.701754
CLBR,FORT7865,2,Air Compressors - Diesel Small,Lighting Towers,,38,0.690909
CLBR,FORT7865,3,Air Compressors - Diesel Small,Lighting Towers,Lighting Towers,31,0.815789
CLBR,FORT7865,2,Welders - Motorised,Lighting Towers,,35,0.636364
