branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
CMBL,THIE1001,1,Masonry Blades,,,68,1
CMBL,THIE1001,1,Air Hand Tools,,,81,1
CMBL,THIE1001,1,Compaction - Rammers & Vibrating Plates,,,117,1
CMBL,THIE1001,1,Masonry Saws,,,81,1
CMBL,THIE1001,1,Floor Equipment,,,60,1
CMBL,THIE1001,1,Gas Equipment,,,88,1
CMBL,THIE1001,1,Landscaping Equipment,,,55,1
CMBL,THIE1001,1,Pumps - Small,,,34,1
CMBL,THIE1001,1,Trailers,,,40,1
CMBL,THIE1001,1,Air Accessories,,,120,1
CMBL,THIE1001,1,Concrete,,,31,1
CMBL,THIE1001,1,Water Blasters,,,63,1
CMBL,THIE1001,1,Pumps - Hoses,,,37,1
CMBL,THIE1001,1,Concrete Vibe Units,,,142,1
CMBL,THIE1001,1,Air Compressors - Diesel Small,,,116,1
CMBL,THIE1001,1,Demolition,,,53,1
CMBL,THIE1001,1,Generators - Petrol,,,73,1
CMBL,THIE1001,1,Power Tools & Accessories,,,73,1
CMBL,THIE1001,1,Air Breakers,,,80,1
CMBL,THIE1001,1,Miscellaneous - Tools,,,34,1
CMBL,THIE1001,2,Masonry Blades,Air Accessories,,31,0.455882
CMBL,THIE1001,2,Masonry Blades,Air Compressors - Diesel Small,,36,0.529412
CMBL,THIE1001,2,Masonry Blades,Compaction - Rammers & Vibrating Plates,,35,0.514706
CMBL,THIE1001,2,Masonry Blades,Concrete Vibe Units,,39,0.573529
CMBL,THIE1001,2,Masonry Blades,Masonry Saws,,32,0.470588
CMBL,THIE1001,2,Air Hand Tools,Air Accessories,,45,0.555556
CMBL,THIE1001,2,Air Hand Tools,Air Breakers,,31,0.382716
CMBL,THIE1001,2,Air Hand Tools,Air Compressors - Diesel Small,,41,0.506173
CMBL,THIE1001,2,Air Hand Tools,Air Hand Tools,,39,0.481481
CMBL,THIE1001,2,Air Hand Tools,Compaction - Rammers & Vibrating Plates,,36,0.444444
CMBL,THIE1001,2,Air Hand Tools,Concrete Vibe Units,,37,0.45679
CMBL,THIE1001,2,Air Hand Tools,Gas Equipment,,36,0.444444
CMBL,THIE1001,2,Air Hand Tools,Masonry Saws,,32,0.395062
CMBL,THIE1001,3,Air Hand Tools,Air Accessories,Air Accessories,35,0.777778
CMBL,THIE1001,3,Air Hand Tools,Air Accessories,Air Compressors - Diesel Small,31,0.688889
CMBL,THIE1001,3,Air Hand Tools,Air Compressors - Diesel Small,Air Accessories,32,0.780488
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Air Accessories,,51,0.435897
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Air Breakers,,39,0.333333
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,,49,0.418803
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Air Hand Tools,,34,0.290598
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,,71,0.606838
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,,58,0.495726
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Generators - Petrol,,32,0.273504
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Masonry Saws,,34,0.290598
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Power Tools & Accessories,,35,0.299145
CMBL,THIE1001,2,Compaction - Rammers & Vibrating Plates,Water Blasters,,35,0.299145
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Air Accessories,Air Accessories,35,0.686275
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Air Accessories,Air Compressors - Diesel Small,34,0.666667
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,Air Accessories,35,0.714286
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,Air Compressors - Diesel Small,34,0.693878
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,Air Accessories,34,0.586207
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,Air Compressors - Diesel Small,37,0.637931
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,Concrete Vibe Units,37,0.637931
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,Air Accessories,35,0.492958
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,33,0.464789
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,45,0.633803
CMBL,THIE1001,3,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,37,0.521127
CMBL,THIE1001,2,Floor Equipment,Air Compressors - Diesel Small,,32,0.533333
CMBL,THIE1001,2,Floor Equipment,Concrete Vibe Units,,37,0.616667
CMBL,THIE1001,2,Masonry Saws,Air Accessories,,40,0.493827
CMBL,THIE1001,2,Masonry Saws,Air Breakers,,34,0.419753
CMBL,THIE1001,2,Masonry Saws,Air Compressors - Diesel Small,,43,0.530864
CMBL,THIE1001,2,Masonry Saws,Compaction - Rammers & Vibrating Plates,,44,0.54321
CMBL,THIE1001,2,Masonry Saws,Concrete Vibe Units,,44,0.54321
CMBL,THIE1001,2,Masonry Saws,Gas Equipment,,38,0.469136
CMBL,THIE1001,2,Masonry Saws,Masonry Blades,,32,0.395062
CMBL,THIE1001,2,Masonry Saws,Masonry Saws,,38,0.469136
CMBL,THIE1001,2,Gas Equipment,Air Accessories,,50,0.568182
CMBL,THIE1001,2,Gas Equipment,Air Breakers,,38,0.431818
CMBL,THIE1001,2,Gas Equipment,Air Compressors - Diesel Small,,53,0.602273
CMBL,THIE1001,2,Gas Equipment,Air Hand Tools,,38,0.431818
