branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
COFF,LEIG3333,1,Pumps - Small,,,198,1
COFF,LEIG3333,1,Concrete Vibe Units,,,168,1
COFF,LEIG3333,1,Lighting Towers,,,91,1
COFF,LEIG3333,1,Pumps - Accessories,,,123,1
COFF,LEIG3333,1,Pumps - Hoses,,,261,1
COFF,LEIG3333,1,Demolition,,,94,1
COFF,LEIG3333,1,Pumps - Silenced,,,93,1
COFF,LEIG3333,1,Compaction - Rammers & Vibrating Plates,,,164,1
COFF,LEIG3333,1,Masonry Saws,,,87,1
COFF,LEIG3333,1,Generators - Petrol,,,141,1
COFF,LEIG3333,1,Power Tools & Accessories,,,77,1
COFF,LEIG3333,1,Masonry Blades,,,61,1
COFF,LEIG3333,1,Measurement Equipment,,,67,1
COFF,LEIG3333,1,Air Compressors - Diesel Small,,,149,1
COFF,LEIG3333,1,Concrete,,,59,1
COFF,LEIG3333,1,Air Accessories,,,130,1
COFF,LEIG3333,1,Air Hand Tools,,,127,1
COFF,LEIG3333,1,Traffic - Barriers,,,58,1
COFF,LEIG3333,1,Access - Knuckle Booms,,,103,1
COFF,LEIG3333,2,Pumps - Small,Access - Knuckle Booms,,71,0.358586
COFF,LEIG3333,2,Pumps - Small,Air Accessories,,91,0.459596
COFF,LEIG3333,2,Pumps - Small,Air Compressors - Diesel Small,,99,0.5
COFF,LEIG3333,2,Pumps - Small,Air Hand Tools,,87,0.439394
COFF,LEIG3333,2,Pumps - Small,Compaction - Rammers & Vibrating Plates,,104,0.525253
COFF,LEIG3333,2,Pumps - Small,Concrete Vibe Units,,131,0.661616
COFF,LEIG3333,2,Pumps - Small,Demolition,,74,0.373737
COFF,LEIG3333,2,Pumps - Small,Generators - Petrol,,95,0.479798
COFF,LEIG3333,2,Pumps - Small,Lighting Towers,,64,0.323232
COFF,LEIG3333,2,Pumps - Small,Masonry Saws,,64,0.323232
COFF,LEIG3333,2,Pumps - Small,Measurement Equipment,,52,0.262626
