branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
EAGS,THIE1921,1,Air Compressors - Diesel Small,,,180,1
EAGS,THIE1921,1,Pumps - Small,,,58,1
EAGS,THIE1921,1,Concrete,,,97,1
EAGS,THIE1921,1,Water Blasters,,,81,1
EAGS,THIE1921,1,Concrete Vibe Units,,,92,1
EAGS,THIE1921,1,Earthmoving - Mini Excavators,,,51,1
EAGS,THIE1921,1,Floor Equipment,,,54,1
EAGS,THIE1921,1,Air Accessories,,,79,1
EAGS,THIE1921,1,Air Breakers,,,119,1
EAGS,THIE1921,1,Air Breakers - Attachments,,,112,1
EAGS,THIE1921,1,Air Hand Tools,,,64,1
EAGS,THIE1921,1,Generators - Diesel Small,,,206,1
EAGS,THIE1921,1,Fans,,,57,1
EAGS,THIE1921,1,Industrial Tools & Equipment,,,55,1
EAGS,THIE1921,1,Landscaping Equipment,,,87,1
EAGS,THIE1921,1,Power Tools & Accessories,,,56,1
EAGS,THIE1921,1,Access - Scissor Lifts,,,116,1
EAGS,THIE1921,1,Compaction - Rammers & Vibrating Plates,,,101,1
EAGS,THIE1921,1,Compaction - Rollers - Other,,,63,1
EAGS,THIE1921,2,Air Breakers,Access - Scissor Lifts,,52,0.436975
EAGS,THIE1921,2,Air Breakers,Air Breakers,,75,0.630252
EAGS,THIE1921,2,Air Breakers,Air Breakers - Attachments,,68,0.571429
EAGS,THIE1921,2,Air Breakers,Air Compressors - Diesel Small,,80,0.672269
EAGS,THIE1921,2,Air Breakers,Generators - Diesel Small,,77,0.647059
EAGS,THIE1921,3,Air Breakers,Generators - Diesel Small,Generators - Diesel Small,64,0.831169
EAGS,THIE1921,3,Air Breakers,Air Compressors - Diesel Small,Air Compressors - Diesel Small,64,0.8
EAGS,THIE1921,3,Air Breakers,Air Compressors - Diesel Small,Generators - Diesel Small,60,0.75
EAGS,THIE1921,2,Air Compressors - Diesel Small,Access - Scissor Lifts,,78,0.433333
EAGS,THIE1921,2,Air Compressors - Diesel Small,Air Accessories,,60,0.333333
EAGS,THIE1921,2,Air Compressors - Diesel Small,Air Breakers,,86,0.477778
EAGS,THIE1921,2,Air Compressors - Diesel Small,Air Breakers - Attachments,,82,0.455556
EAGS,THIE1921,2,Air Compressors - Diesel Small,Air Compressors - Diesel Small,,148,0.822222
EAGS,THIE1921,2,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,,67,0.372222
EAGS,THIE1921,2,Air Compressors - Diesel Small,Concrete,,66,0.366667
EAGS,THIE1921,2,Air Compressors - Diesel Small,Concrete Vibe Units,,62,0.344444
EAGS,THIE1921,2,Air Compressors - Diesel Small,Generators - Diesel Small,,120,0.666667
EAGS,THIE1921,2,Air Compressors - Diesel Small,Landscaping Equipment,,58,0.322222
EAGS,THIE1921,2,Air Compressors - Diesel Small,Water Blasters,,55,0.305556
EAGS,THIE1921,3,Air Compressors - Diesel Small,Access - Scissor Lifts,Access - Scissor Lifts,55,0.705128
