branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
GEEL,SHEL2079,1,Access - Knuckle Booms,,,216,1
GEEL,SHEL2079,1,Access - Straight Booms,,,156,1
GEEL,SHEL2079,1,Jacking,,,90,1
GEEL,SHEL2079,1,Air Accessories,,,94,1
GEEL,SHEL2079,1,Air Hand Tools,,,123,1
GEEL,SHEL2079,1,Generators - Accessories,,,99,1
GEEL,SHEL2079,1,Bolting Tools,,,92,1
GEEL,SHEL2079,1,Chain Blocks,,,79,1
GEEL,SHEL2079,1,Fans,,,72,1
GEEL,SHEL2079,1,Electrical Leads & Accessories,,,73,1
GEEL,SHEL2079,1,Gas Equipment,,,43,1
GEEL,SHEL2079,1,Welders - Motorised,,,52,1
GEEL,SHEL2079,1,Industrial Tools & Equipment,,,116,1
GEEL,SHEL2079,1,Portable Buildings - Site Accessories,,,33,1
GEEL,SHEL2079,1,Lighting - Other,,,82,1
GEEL,SHEL2079,1,Lighting Towers,,,74,1
GEEL,SHEL2079,1,Containers,,,41,1
GEEL,SHEL2079,1,Crane & Fork Attachments,,,47,1
GEEL,SHEL2079,1,Miscellaneous - Tools,,,101,1
GEEL,SHEL2079,1,Plumbers Equipment,,,95,1
GEEL,SHEL2079,1,Power Tools & Accessories,,,128,1
GEEL,SHEL2079,1,Access - Scissor Lifts,,,75,1
GEEL,SHEL2079,1,Safety Equipment ,,,54,1
GEEL,SHEL2079,1,Slings  Shackles & Clamps,,,60,1
GEEL,SHEL2079,1,Tarpaulins,,,36,1
GEEL,SHEL2079,1,Welders - Accessories,,,98,1
GEEL,SHEL2079,1,Welders - Electric,,,81,1
GEEL,SHEL2079,1,Winches,,,83,1
GEEL,SHEL2079,1,Materials Handling - Forklift,,,52,1
GEEL,SHEL2079,1,Conveyors  Hoists & Trolleys,,,35,1
GEEL,SHEL2079,1,Floor Equipment,,,32,1
GEEL,SHEL2079,1,Concrete,,,43,1
GEEL,SHEL2079,1,Air Compressors - Diesel Small,,,116,1
GEEL,SHEL2079,1,Generators - Diesel Small,,,59,1
GEEL,SHEL2079,2,Access - Knuckle Booms,Access - Knuckle Booms,,179,0.828704
GEEL,SHEL2079,2,Access - Knuckle Booms,Access - Scissor Lifts,,62,0.287037
GEEL,SHEL2079,2,Access - Knuckle Booms,Access - Straight Booms,,101,0.467593
GEEL,SHEL2079,2,Access - Knuckle Booms,Air Accessories,,70,0.324074
GEEL,SHEL2079,2,Access - Knuckle Booms,Air Compressors - Diesel Small,,86,0.398148
GEEL,SHEL2079,2,Access - Knuckle Booms,Air Hand Tools,,85,0.393519
GEEL,SHEL2079,2,Access - Knuckle Booms,Bolting Tools,,60,0.277778
GEEL,SHEL2079,2,Access - Knuckle Booms,Chain Blocks,,52,0.240741
GEEL,SHEL2079,2,Access - Knuckle Booms,Containers,,36,0.166667
GEEL,SHEL2079,2,Access - Knuckle Booms,Crane & Fork Attachments,,35,0.162037
GEEL,SHEL2079,2,Access - Knuckle Booms,Electrical Leads & Accessories,,58,0.268519
GEEL,SHEL2079,2,Access - Knuckle Booms,Fans,,56,0.259259
GEEL,SHEL2079,2,Access - Knuckle Booms,Gas Equipment,,32,0.148148
GEEL,SHEL2079,2,Access - Knuckle Booms,Generators - Accessories,,72,0.333333
GEEL,SHEL2079,2,Access - Knuckle Booms,Generators - Diesel Small,,45,0.208333
GEEL,SHEL2079,2,Access - Knuckle Booms,Industrial Tools & Equipment,,74,0.342593
GEEL,SHEL2079,2,Access - Knuckle Booms,Jacking,,59,0.273148
GEEL,SHEL2079,2,Access - Knuckle Booms,Lighting - Other,,55,0.25463
GEEL,SHEL2079,2,Access - Knuckle Booms,Lighting Towers,,58,0.268519
GEEL,SHEL2079,2,Access - Knuckle Booms,Materials Handling - Forklift,,42,0.194444
GEEL,SHEL2079,2,Access - Knuckle Booms,Miscellaneous - Tools,,67,0.310185
GEEL,SHEL2079,2,Access - Knuckle Booms,Plumbers Equipment,,65,0.300926
GEEL,SHEL2079,2,Access - Knuckle Booms,Power Tools & Accessories,,92,0.425926
GEEL,SHEL2079,2,Access - Knuckle Booms,Safety Equipment ,,44,0.203704
GEEL,SHEL2079,2,Access - Knuckle Booms,Slings  Shackles & Clamps,,46,0.212963
GEEL,SHEL2079,2,Access - Knuckle Booms,Welders - Accessories,,68,0.314815
GEEL,SHEL2079,2,Access - Knuckle Booms,Welders - Electric,,62,0.287037
GEEL,SHEL2079,2,Access - Knuckle Booms,Welders - Motorised,,45,0.208333
GEEL,SHEL2079,2,Access - Knuckle Booms,Winches,,53,0.24537
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Knuckle Booms,153,0.854749
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Scissor Lifts,53,0.296089
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Straight Booms,80,0.446927
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Accessories,56,0.312849
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Compressors - Diesel Small,71,0.396648
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Hand Tools,79,0.441341
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Bolting Tools,52,0.290503
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Chain Blocks,48,0.268156
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Containers,36,0.201117
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Crane & Fork Attachments,32,0.178771
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Electrical Leads & Accessories,51,0.284916
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Fans,49,0.273743
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Generators - Accessories,68,0.379888
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Generators - Diesel Small,45,0.251397
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Industrial Tools & Equipment,66,0.368715
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Jacking,53,0.296089
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Lighting - Other,50,0.27933
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Lighting Towers,53,0.296089
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Materials Handling - Forklift,31,0.173184
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Miscellaneous - Tools,60,0.335196
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Plumbers Equipment,59,0.329609
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Power Tools & Accessories,80,0.446927
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Safety Equipment ,37,0.206704
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Slings  Shackles & Clamps,39,0.217877
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Accessories,60,0.335196
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Electric,55,0.307263
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Motorised,37,0.206704
GEEL,SHEL2079,3,Access - Knuckle Booms,Access - Knuckle Booms,Winches,48,0.268156
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Access - Knuckle Booms,67,0.788235
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Access - Scissor Lifts,34,0.4
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Access - Straight Booms,48,0.564706
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Air Accessories,36,0.423529
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Air Compressors - Diesel Small,48,0.564706
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Air Hand Tools,61,0.717647
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Bolting Tools,43,0.505882
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Chain Blocks,45,0.529412
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Crane & Fork Attachments,31,0.364706
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Electrical Leads & Accessories,34,0.4
GEEL,SHEL2079,3,Access - Knuckle Booms,Air Hand Tools,Fans,40,0.470588
