branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
GERA,HPST1000,1,Electrical Leads & Accessories,,,110,1
GERA,HPST1000,1,Miscellaneous - Tools,,,149,1
GERA,HPST1000,1,Industrial Tools & Equipment,,,150,1
GERA,HPST1000,1,Measurement Equipment,,,65,1
GERA,HPST1000,1,Air Hand Tools,,,50,1
GERA,HPST1000,1,Power Tools & Accessories,,,137,1
GERA,HPST1000,1,Welders - Accessories,,,95,1
GERA,HPST1000,1,Welders - Electric,,,68,1
GERA,HPST1000,1,Chain Blocks,,,38,1
GERA,HPST1000,1,Bolting Tools,,,71,1
GERA,HPST1000,1,Jacking,,,62,1
GERA,HPST1000,1,Winches,,,42,1
GERA,HPST1000,2,Electrical Leads & Accessories,Air Hand Tools,,43,0.390909
GERA,HPST1000,2,Electrical Leads & Accessories,Bolting Tools,,63,0.572727
GERA,HPST1000,2,Electrical Leads & Accessories,Chain Blocks,,35,0.318182
GERA,HPST1000,2,Electrical Leads & Accessories,Electrical Leads & Accessories,,109,0.990909
GERA,HPST1000,2,Electrical Leads & Accessories,Industrial Tools & Equipment,,110,1
GERA,HPST1000,2,Electrical Leads & Accessories,Jacking,,56,0.509091
GERA,HPST1000,2,Electrical Leads & Accessories,Measurement Equipment,,58,0.527273
GERA,HPST1000,2,Electrical Leads & Accessories,Miscellaneous - Tools,,108,0.981818
GERA,HPST1000,2,Electrical Leads & Accessories,Power Tools & Accessories,,108,0.981818
GERA,HPST1000,2,Electrical Leads & Accessories,Welders - Accessories,,77,0.7
GERA,HPST1000,2,Electrical Leads & Accessories,Welders - Electric,,58,0.527273
GERA,HPST1000,2,Electrical Leads & Accessories,Winches,,38,0.345455
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Air Hand Tools,35,0.813953
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Bolting Tools,31,0.72093
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Electrical Leads & Accessories,36,0.837209
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Industrial Tools & Equipment,43,1
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Miscellaneous - Tools,43,1
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Power Tools & Accessories,43,1
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Welders - Accessories,40,0.930233
GERA,HPST1000,3,Electrical Leads & Accessories,Air Hand Tools,Welders - Electric,33,0.767442
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Air Hand Tools,34,0.539683
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Bolting Tools,58,0.920635
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Electrical Leads & Accessories,54,0.857143
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Industrial Tools & Equipment,62,0.984127
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Jacking,38,0.603175
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Measurement Equipment,38,0.603175
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Miscellaneous - Tools,61,0.968254
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Power Tools & Accessories,61,0.968254
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Welders - Accessories,45,0.714286
GERA,HPST1000,3,Electrical Leads & Accessories,Bolting Tools,Welders - Electric,38,0.603175
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Bolting Tools,37,0.660714
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Electrical Leads & Accessories,53,0.946429
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Industrial Tools & Equipment,56,1
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Jacking,54,0.964286
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Measurement Equipment,35,0.625
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Miscellaneous - Tools,54,0.964286
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Power Tools & Accessories,54,0.964286
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Welders - Accessories,48,0.857143
GERA,HPST1000,3,Electrical Leads & Accessories,Jacking,Welders - Electric,39,0.696429
GERA,HPST1000,3,Electrical Leads & Accessories,Chain Blocks,Electrical Leads & Accessories,33,0.942857
GERA,HPST1000,3,Electrical Leads & Accessories,Chain Blocks,Industrial Tools & Equipment,34,0.971429
GERA,HPST1000,3,Electrical Leads & Accessories,Chain Blocks,Miscellaneous - Tools,34,0.971429
GERA,HPST1000,3,Electrical Leads & Accessories,Chain Blocks,Power Tools & Accessories,34,0.971429
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Air Hand Tools,45,0.409091
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Bolting Tools,59,0.536364
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Chain Blocks,34,0.309091
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Electrical Leads & Accessories,89,0.809091
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Industrial Tools & Equipment,109,0.990909
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Jacking,57,0.518182
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Measurement Equipment,58,0.527273
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Miscellaneous - Tools,106,0.963636
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Power Tools & Accessories,106,0.963636
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Welders - Accessories,72,0.654545
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Welders - Electric,57,0.518182
GERA,HPST1000,3,Electrical Leads & Accessories,Industrial Tools & Equipment,Winches,36,0.327273
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Air Hand Tools,43,0.394495
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Bolting Tools,63,0.577982
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Chain Blocks,35,0.321101
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Electrical Leads & Accessories,108,0.990826
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Industrial Tools & Equipment,109,1
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Jacking,56,0.513761
GERA,HPST1000,3,Electrical Leads & Accessories,Electrical Leads & Accessories,Measurement Equipment,58,0.53211
