branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
GLST,CEME9016,1,Air Accessories,,,55,1
GLST,CEME9016,1,Lighting Towers,,,31,1
GLST,CEME9016,1,Welders - Accessories,,,63,1
GLST,CEME9016,1,Access - Scissor Lifts,,,35,1
GLST,CEME9016,1,Industrial Tools & Equipment,,,65,1
GLST,CEME9016,1,Air Compressors - Diesel Small,,,36,1
GLST,CEME9016,1,Access - Knuckle Booms,,,44,1
GLST,CEME9016,1,Welders - Motorised,,,48,1
GLST,CEME9016,1,Jacking,,,45,1
GLST,CEME9016,1,Power Tools & Accessories,,,66,1
GLST,CEME9016,1,Electrical Leads & Accessories,,,57,1
GLST,CEME9016,1,Fans,,,39,1
GLST,CEME9016,1,Lighting - Other,,,37,1
GLST,CEME9016,1,Welders - Electric,,,50,1
GLST,CEME9016,1,Air Hand Tools,,,38,1
GLST,CEME9016,1,Chain Blocks,,,45,1
GLST,CEME9016,1,Miscellaneous - Tools,,,66,1
GLST,CEME9016,1,Winches,,,44,1
GLST,CEME9016,2,Air Accessories,Air Accessories,,36,0.654545
GLST,CEME9016,2,Air Accessories,Electrical Leads & Accessories,,34,0.618182
GLST,CEME9016,2,Air Accessories,Industrial Tools & Equipment,,36,0.654545
GLST,CEME9016,2,Air Accessories,Miscellaneous - Tools,,35,0.636364
GLST,CEME9016,2,Air Accessories,Power Tools & Accessories,,35,0.636364
GLST,CEME9016,2,Air Accessories,Welders - Accessories,,31,0.563636
GLST,CEME9016,3,Air Accessories,Air Accessories,Industrial Tools & Equipment,32,0.888889
GLST,CEME9016,3,Air Accessories,Air Accessories,Power Tools & Accessories,32,0.888889
GLST,CEME9016,3,Air Accessories,Electrical Leads & Accessories,Electrical Leads & Accessories,32,0.941176
GLST,CEME9016,3,Air Accessories,Electrical Leads & Accessories,Industrial Tools & Equipment,32,0.941176
GLST,CEME9016,3,Air Accessories,Electrical Leads & Accessories,Power Tools & Accessories,32,0.941176
GLST,CEME9016,3,Air Accessories,Industrial Tools & Equipment,Electrical Leads & Accessories,33,0.916667
GLST,CEME9016,3,Air Accessories,Industrial Tools & Equipment,Industrial Tools & Equipment,34,0.944444
GLST,CEME9016,3,Air Accessories,Industrial Tools & Equipment,Miscellaneous - Tools,31,0.861111
GLST,CEME9016,3,Air Accessories,Industrial Tools & Equipment,Power Tools & Accessories,33,0.916667
GLST,CEME9016,3,Air Accessories,Miscellaneous - Tools,Industrial Tools & Equipment,32,0.914286
GLST,CEME9016,3,Air Accessories,Miscellaneous - Tools,Miscellaneous - Tools,33,0.942857
GLST,CEME9016,3,Air Accessories,Miscellaneous - Tools,Power Tools & Accessories,32,0.914286
GLST,CEME9016,3,Air Accessories,Power Tools & Accessories,Electrical Leads & Accessories,31,0.885714
GLST,CEME9016,3,Air Accessories,Power Tools & Accessories,Industrial Tools & Equipment,33,0.942857
GLST,CEME9016,3,Air Accessories,Power Tools & Accessories,Power Tools & Accessories,33,0.942857
GLST,CEME9016,2,Power Tools & Accessories,Air Accessories,,33,0.5
GLST,CEME9016,2,Power Tools & Accessories,Air Hand Tools,,32,0.484848
GLST,CEME9016,2,Power Tools & Accessories,Chain Blocks,,42,0.636364
GLST,CEME9016,2,Power Tools & Accessories,Electrical Leads & Accessories,,49,0.742424
GLST,CEME9016,2,Power Tools & Accessories,Fans,,31,0.469697
GLST,CEME9016,2,Power Tools & Accessories,Industrial Tools & Equipment,,57,0.863636
GLST,CEME9016,2,Power Tools & Accessories,Jacking,,42,0.636364
GLST,CEME9016,2,Power Tools & Accessories,Lighting - Other,,33,0.5
GLST,CEME9016,2,Power Tools & Accessories,Miscellaneous - Tools,,55,0.833333
GLST,CEME9016,2,Power Tools & Accessories,Power Tools & Accessories,,58,0.878788
GLST,CEME9016,2,Power Tools & Accessories,Welders - Accessories,,46,0.69697
