branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
IPSW,D2GJ2402,1,Air Accessories,,,147,1
IPSW,D2GJ2402,1,Air Breakers,,,88,1
IPSW,D2GJ2402,1,Generators - Petrol,,,79,1
IPSW,D2GJ2402,1,Air Breakers - Attachments,,,117,1
IPSW,D2GJ2402,1,Demolition,,,66,1
IPSW,D2GJ2402,1,Air Compressors - Diesel Small,,,129,1
IPSW,D2GJ2402,1,Industrial Tools & Equipment,,,34,1
IPSW,D2GJ2402,1,Landscaping Equipment,,,70,1
IPSW,D2GJ2402,1,Access - Scissor Lifts,,,59,1
IPSW,D2GJ2402,1,Trucks & Vehicles,,,50,1
IPSW,D2GJ2402,1,Concrete,,,50,1
IPSW,D2GJ2402,1,Water Blasters,,,50,1
IPSW,D2GJ2402,1,Compaction - Rollers - Double Drum Smooth,,,79,1
IPSW,D2GJ2402,1,Compaction - Rollers - Other,,,40,1
IPSW,D2GJ2402,1,Concrete Vibe Units,,,36,1
IPSW,D2GJ2402,1,Trailers,,,31,1
IPSW,D2GJ2402,1,Air Hand Tools,,,57,1
IPSW,D2GJ2402,1,Compaction - Rammers & Vibrating Plates,,,90,1
IPSW,D2GJ2402,1,Masonry Saws,,,46,1
IPSW,D2GJ2402,1,Scaffold Aluminium,,,41,1
IPSW,D2GJ2402,1,Masonry Blades,,,35,1
IPSW,D2GJ2402,1,Measurement Equipment,,,33,1
IPSW,D2GJ2402,1,Pumps - Hoses,,,37,1
IPSW,D2GJ2402,1,Pumps - Small,,,37,1
IPSW,D2GJ2402,1,Power Tools & Accessories,,,54,1
IPSW,D2GJ2402,2,Air Accessories,Access - Scissor Lifts,,38,0.258503
IPSW,D2GJ2402,2,Air Accessories,Air Accessories,,110,0.748299
IPSW,D2GJ2402,2,Air Accessories,Air Breakers,,62,0.421769
IPSW,D2GJ2402,2,Air Accessories,Air Breakers - Attachments,,80,0.544218
IPSW,D2GJ2402,2,Air Accessories,Air Compressors - Diesel Small,,94,0.639456
IPSW,D2GJ2402,2,Air Accessories,Air Hand Tools,,38,0.258503
IPSW,D2GJ2402,2,Air Accessories,Compaction - Rammers & Vibrating Plates,,59,0.401361
IPSW,D2GJ2402,2,Air Accessories,Compaction - Rollers - Double Drum Smooth,,54,0.367347
IPSW,D2GJ2402,2,Air Accessories,Compaction - Rollers - Other,,31,0.210884
IPSW,D2GJ2402,2,Air Accessories,Concrete,,33,0.22449
IPSW,D2GJ2402,2,Air Accessories,Demolition,,45,0.306122
IPSW,D2GJ2402,2,Air Accessories,Generators - Petrol,,53,0.360544
IPSW,D2GJ2402,2,Air Accessories,Landscaping Equipment,,44,0.29932
IPSW,D2GJ2402,2,Air Accessories,Masonry Saws,,38,0.258503
IPSW,D2GJ2402,2,Air Accessories,Power Tools & Accessories,,39,0.265306
IPSW,D2GJ2402,2,Air Accessories,Scaffold Aluminium,,31,0.210884
IPSW,D2GJ2402,2,Air Accessories,Trucks & Vehicles,,32,0.217687
IPSW,D2GJ2402,2,Air Accessories,Water Blasters,,32,0.217687
IPSW,D2GJ2402,3,Air Accessories,Air Breakers,Air Accessories,45,0.725806
IPSW,D2GJ2402,3,Air Accessories,Air Breakers,Air Breakers,34,0.548387
IPSW,D2GJ2402,3,Air Accessories,Air Breakers,Air Breakers - Attachments,39,0.629032
IPSW,D2GJ2402,3,Air Accessories,Air Breakers,Air Compressors - Diesel Small,38,0.612903
IPSW,D2GJ2402,3,Air Accessories,Air Breakers,Compaction - Rammers & Vibrating Plates,31,0.5
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Air Accessories,86,0.781818
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Air Breakers,47,0.427273
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Air Breakers - Attachments,59,0.536364
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Air Compressors - Diesel Small,73,0.663636
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Air Hand Tools,33,0.3
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Compaction - Rammers & Vibrating Plates,48,0.436364
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Compaction - Rollers - Double Drum Smooth,41,0.372727
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Demolition,33,0.3
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Generators - Petrol,40,0.363636
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Masonry Saws,31,0.281818
IPSW,D2GJ2402,3,Air Accessories,Air Accessories,Power Tools & Accessories,32,0.290909
IPSW,D2GJ2402,3,Air Accessories,Demolition,Air Accessories,35,0.777778
IPSW,D2GJ2402,3,Air Accessories,Demolition,Air Compressors - Diesel Small,32,0.711111
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Air Accessories,58,0.725
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Air Breakers,43,0.5375
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Air Breakers - Attachments,55,0.6875
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Air Compressors - Diesel Small,51,0.6375
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Compaction - Rammers & Vibrating Plates,39,0.4875
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Compaction - Rollers - Double Drum Smooth,34,0.425
IPSW,D2GJ2402,3,Air Accessories,Air Breakers - Attachments,Generators - Petrol,33,0.4125
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Air Accessories,74,0.787234
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Air Breakers,40,0.425532
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Air Breakers - Attachments,51,0.542553
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Air Compressors - Diesel Small,66,0.702128
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,42,0.446809
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,35,0.37234
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Demolition,33,0.351064
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Generators - Petrol,36,0.382979
IPSW,D2GJ2402,3,Air Accessories,Air Compressors - Diesel Small,Power Tools & Accessories,32,0.340426
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rammers & Vibrating Plates,Air Accessories,47,0.79661
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rammers & Vibrating Plates,Air Breakers,35,0.59322
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rammers & Vibrating Plates,Air Breakers - Attachments,38,0.644068
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,45,0.762712
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,33,0.559322
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rollers - Double Drum Smooth,Air Accessories,40,0.740741
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rollers - Double Drum Smooth,Air Breakers - Attachments,35,0.648148
IPSW,D2GJ2402,3,Air Accessories,Compaction - Rollers - Double Drum Smooth,Air Compressors - Diesel Small,36,0.666667
IPSW,D2GJ2402,3,Air Accessories,Generators - Petrol,Air Accessories,40,0.754717
IPSW,D2GJ2402,3,Air Accessories,Generators - Petrol,Air Breakers - Attachments,33,0.622642
IPSW,D2GJ2402,3,Air Accessories,Generators - Petrol,Air Compressors - Diesel Small,37,0.698113
IPSW,D2GJ2402,3,Air Accessories,Generators - Petrol,Generators - Petrol,31,0.584906
IPSW,D2GJ2402,3,Air Accessories,Landscaping Equipment,Air Accessories,31,0.704545
IPSW,D2GJ2402,3,Air Accessories,Masonry Saws,Air Accessories,32,0.842105
IPSW,D2GJ2402,3,Air Accessories,Masonry Saws,Air Breakers - Attachments,31,0.815789
IPSW,D2GJ2402,2,Scaffold Aluminium,Air Accessories,,32,0.780488
IPSW,D2GJ2402,2,Air Breakers,Air Accessories,,60,0.681818
IPSW,D2GJ2402,2,Air Breakers,Air Breakers,,47,0.534091
IPSW,D2GJ2402,2,Air Breakers,Air Breakers - Attachments,,56,0.636364
IPSW,D2GJ2402,2,Air Breakers,Air Compressors - Diesel Small,,50,0.568182
IPSW,D2GJ2402,2,Air Breakers,Compaction - Rammers & Vibrating Plates,,43,0.488636
IPSW,D2GJ2402,2,Air Breakers,Compaction - Rollers - Double Drum Smooth,,34,0.386364
IPSW,D2GJ2402,2,Air Breakers,Demolition,,31,0.352273
IPSW,D2GJ2402,2,Air Breakers,Generators - Petrol,,37,0.420455
IPSW,D2GJ2402,3,Air Breakers,Air Accessories,Air Accessories,45,0.75
IPSW,D2GJ2402,3,Air Breakers,Air Accessories,Air Breakers,31,0.516667
IPSW,D2GJ2402,3,Air Breakers,Air Accessories,Air Breakers - Attachments,42,0.7
IPSW,D2GJ2402,3,Air Breakers,Air Accessories,Air Compressors - Diesel Small,38,0.633333
IPSW,D2GJ2402,3,Air Breakers,Air Breakers,Air Accessories,33,0.702128
IPSW,D2GJ2402,3,Air Breakers,Air Breakers - Attachments,Air Accessories,38,0.678571
IPSW,D2GJ2402,3,Air Breakers,Air Breakers - Attachments,Air Breakers - Attachments,38,0.678571
IPSW,D2GJ2402,3,Air Breakers,Air Breakers - Attachments,Air Compressors - Diesel Small,32,0.571429
IPSW,D2GJ2402,3,Air Breakers,Air Compressors - Diesel Small,Air Accessories,39,0.78
IPSW,D2GJ2402,3,Air Breakers,Air Compressors - Diesel Small,Air Breakers - Attachments,34,0.68
IPSW,D2GJ2402,3,Air Breakers,Air Compressors - Diesel Small,Air Compressors - Diesel Small,33,0.66
IPSW,D2GJ2402,3,Air Breakers,Compaction - Rammers & Vibrating Plates,Air Accessories,33,0.767442
IPSW,D2GJ2402,3,Air Breakers,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,31,0.72093
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Access - Scissor Lifts,,36,0.27907
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Air Accessories,,96,0.744186
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Air Breakers,,53,0.410853
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Air Breakers - Attachments,,70,0.542636
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Air Compressors - Diesel Small,,87,0.674419
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Air Hand Tools,,36,0.27907
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,,52,0.403101
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,,50,0.387597
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Demolition,,46,0.356589
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Generators - Petrol,,48,0.372093
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Landscaping Equipment,,41,0.317829
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Masonry Saws,,35,0.271318
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Power Tools & Accessories,,39,0.302326
IPSW,D2GJ2402,2,Air Compressors - Diesel Small,Trucks & Vehicles,,32,0.248062
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Air Accessories,77,0.802083
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Air Breakers,44,0.458333
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Air Breakers - Attachments,53,0.552083
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Air Compressors - Diesel Small,66,0.6875
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Air Hand Tools,32,0.333333
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Compaction - Rammers & Vibrating Plates,43,0.447917
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Compaction - Rollers - Double Drum Smooth,37,0.385417
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Demolition,31,0.322917
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Generators - Petrol,36,0.375
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Accessories,Power Tools & Accessories,32,0.333333
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,Air Accessories,37,0.74
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,Air Breakers - Attachments,32,0.64
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,Air Compressors - Diesel Small,33,0.66
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Air Accessories,54,0.771429
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Air Breakers,40,0.571429
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Air Breakers - Attachments,49,0.7
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Air Compressors - Diesel Small,47,0.671429
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Compaction - Rammers & Vibrating Plates,34,0.485714
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers - Attachments,Generators - Petrol,31,0.442857
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers,Air Accessories,42,0.792453
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers,Air Breakers,31,0.584906
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers,Air Breakers - Attachments,34,0.641509
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Breakers,Air Compressors - Diesel Small,35,0.660377
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Air Accessories,71,0.816092
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Air Breakers,39,0.448276
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Air Breakers - Attachments,48,0.551724
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Air Compressors - Diesel Small,63,0.724138
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,38,0.436782
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Compaction - Rollers - Double Drum Smooth,31,0.356322
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Demolition,32,0.367816
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Air Compressors - Diesel Small,Generators - Petrol,35,0.402299
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Demolition,Air Accessories,36,0.782609
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Demolition,Air Breakers - Attachments,32,0.695652
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Demolition,Air Compressors - Diesel Small,33,0.717391
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,Air Accessories,41,0.788462
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,Air Breakers - Attachments,33,0.634615
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,Air Compressors - Diesel Small,40,0.769231
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Generators - Petrol,Air Accessories,37,0.770833
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Generators - Petrol,Air Breakers - Attachments,31,0.645833
IPSW,D2GJ2402,3,Air Compressors - Diesel Small,Generators - Petrol,Air Compressors - Diesel Small,34,0.708333
IPSW,D2GJ2402,2,Generators - Petrol,Air Accessories,,54,0.683544
IPSW,D2GJ2402,2,Generators - Petrol,Air Breakers,,34,0.43038
IPSW,D2GJ2402,2,Generators - Petrol,Air Breakers - Attachments,,49,0.620253
IPSW,D2GJ2402,2,Generators - Petrol,Air Compressors - Diesel Small,,49,0.620253
IPSW,D2GJ2402,2,Generators - Petrol,Compaction - Rammers & Vibrating Plates,,43,0.544304
IPSW,D2GJ2402,2,Generators - Petrol,Compaction - Rollers - Double Drum Smooth,,35,0.443038
IPSW,D2GJ2402,2,Generators - Petrol,Demolition,,41,0.518987
IPSW,D2GJ2402,2,Generators - Petrol,Generators - Petrol,,48,0.607595
IPSW,D2GJ2402,2,Generators - Petrol,Masonry Saws,,31,0.392405
IPSW,D2GJ2402,3,Generators - Petrol,Air Accessories,Air Accessories,41,0.759259
IPSW,D2GJ2402,3,Generators - Petrol,Air Accessories,Air Breakers,32,0.592593
IPSW,D2GJ2402,3,Generators - Petrol,Air Accessories,Air Breakers - Attachments,40,0.740741
