KART,WOOD6019,2010-10-27 00:00:00.0,10891,KNUCKLE45D,Access - Knuckle Booms,ACCESS
KART,WOOD6019,2010-11-15 00:00:00.0,10910,COREDRILLSYSTEM,Concrete,CONCRETE & MASONRY
KART,WOOD6019,2010-11-15 00:00:00.0,10910,COREDRILLSYSTEM,Concrete,CONCRETE & MASONRY
KART,WOOD6019,2010-11-16 00:00:00.0,10911,LIGHTTOWER6000WMINE9M,Lighting Towers,LIGHTING
KART,WOOD6019,2010-11-16 00:00:00.0,10911,LIGHTTOWER6000WHYDMINE,Lighting Towers,LIGHTING
KART,WOOD6019,2010-11-16 00:00:00.0,10911,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
KART,WOOD6019,2010-11-17 00:00:00.0,10912,HYDTORQUEWRCAS55MM4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-11-17 00:00:00.0,10912,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-11-17 00:00:00.0,10912,COMP130D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2010-11-17 00:00:00.0,10912,HYDTORQUEHOSE,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-11-17 00:00:00.0,10912,HYDTORQUEWRACT4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-11-18 00:00:00.0,10913,TELEHANDLER3T11M,Materials Handling - Telehandler,MATERIALS HANDLING
KART,WOOD6019,2010-11-23 00:00:00.0,10918,WATERBLAST3000PSIDCOLD,Water Blasters,FLOOR & CLEANING EQUIPMENT
KART,WOOD6019,2010-12-06 00:00:00.0,10931,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-12-06 00:00:00.0,10931,HYDTORQUEWRACT4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-12-06 00:00:00.0,10931,HYDTORQUEHOSE,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-12-06 00:00:00.0,10931,HYDTORQUEWR1D3000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2010-12-14 00:00:00.0,10939,COMP185D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-01-10 00:00:00.0,10966,HYDTORQUEWRACT4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-10 00:00:00.0,10966,HYDTORQUEWRCAS65MM4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-10 00:00:00.0,10966,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-10 00:00:00.0,10966,HYDTORQUEHOSE,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-11 00:00:00.0,10967,COMP175D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-01-14 00:00:00.0,10970,MISCHOSEFITTINGS,Pipe Testing,GROUND EQUIPMENT
KART,WOOD6019,2011-01-17 00:00:00.0,10973,HYDTORQUEWRCAS80MM8000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-17 00:00:00.0,10973,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-17 00:00:00.0,10973,HYDTORQUEWRACT8000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-17 00:00:00.0,10973,HYDTORQUEWR1-1/2D8000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-17 00:00:00.0,10973,HYDTORQUEWRCAS80MM8000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-01-18 00:00:00.0,10974,COMP125D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-02-09 00:00:00.0,10996,LIGHTTOWER6000WHYDMS,Lighting Towers,LIGHTING
KART,WOOD6019,2011-02-09 00:00:00.0,10996,COMP185D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-02-09 00:00:00.0,10996,GENERATOR50KVAD,Generators - Diesel Small,GENERATORS & POWER DISTRIBUTION
KART,WOOD6019,2011-02-09 00:00:00.0,10996,COMP190D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-02-09 00:00:00.0,10996,FUELTANKTRAILERMTD1250LTR,Trailers - Fuel,TRUCKS  VEHICLES & TRAILERS
KART,WOOD6019,2011-02-09 00:00:00.0,10996,FORKLIFT2.5TDIESEL,Materials Handling - Forklift,MATERIALS HANDLING
KART,WOOD6019,2011-02-09 00:00:00.0,10996,LIGHTTOWER6000WHYDMS,Lighting Towers,LIGHTING
KART,WOOD6019,2011-02-12 00:00:00.0,10999,MISCACCESS,Portable Buildings - Site Accessories,SITE ACCOMMODATION
KART,WOOD6019,2011-02-12 00:00:00.0,10999,CHAINSAWEXTPOLE,Landscaping Equipment,LANDSCAPING
KART,WOOD6019,2011-02-14 00:00:00.0,11001,HYDFOOTOPAIRPUMP,Industrial Tools & Equipment,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-02-24 00:00:00.0,11011,COMP190D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-02-26 00:00:00.0,11013,HYDCYLPUMPELECPUJ1201E,Jacking,LIFT  SHIFT & PROPPING
KART,WOOD6019,2011-03-08 00:00:00.0,11023,NUTRUNNERAIRPGRIPPT52,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-08 00:00:00.0,11023,COMP130D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-03-08 00:00:00.0,11023,NUTRUNNERAIRLUBEREGULATOR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,HYDTORQUEHOSE,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,HYDTORQUEWRCAS65MM4000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,HYDTORQUEWRCAS65MM6000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,HYDTORQUEWRACT5800,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-25 00:00:00.0,11040,COMP190D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-03-26 00:00:00.0,11041,HYDTORQUEHOSE,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-03-26 00:00:00.0,11041,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-04-05 00:00:00.0,11051,COMP190D,Air Compressors - Diesel Small,AIR & AIR ACCESSORIES
KART,WOOD6019,2011-04-05 00:00:00.0,11051,NUTRUNNERAIRPGRIPPT52,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-04-05 00:00:00.0,11051,NUTRUNNERAIRLUBEREGULATOR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-04-15 00:00:00.0,11061,WATERBLAST1500PSI240VH/C,Water Blasters,FLOOR & CLEANING EQUIPMENT
KART,WOOD6019,2011-05-02 00:00:00.0,11078,SCISSOR32E,Access - Scissor Lifts,ACCESS
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH19MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH12MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,NUTRUNNERAIRLUBEREGULATOR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH25MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,NUTRUNNERAIRLUBEREGULATOR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,NUTRUNNERAIRPGRIPPT52,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,NUTRUNNERAIRPGRIPPT52,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH12MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH12MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,NUTRUNNERAIRPGRIPPT52,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,PALLETTRUCK,Conveyors  Hoists & Trolleys,LIFT  SHIFT & PROPPING
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TOOLBOX,Industrial Tools & Equipment,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,LIFTINGBASKET500KG,Crane & Fork Attachments,MATERIALS HANDLING
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH19MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH25MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,TORQUE/TENSIONWRENCH12MM,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,HYDTORQUEPUMPAIR,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
KART,WOOD6019,2011-05-05 00:00:00.0,11081,DRILLAIR13MM,Air Hand Tools,AIR & AIR ACCESSORIES
