branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
KLGI,KALG1002,1,Electrical Leads & Accessories,,,421,1
KLGI,KALG1002,1,Portable - Toilets,,,87,1
KLGI,KALG1002,1,Concrete Vibe Units,,,56,1
KLGI,KALG1002,1,Portable Buildings - Shells,,,89,1
KLGI,KALG1002,1,Industrial Tools & Equipment,,,466,1
KLGI,KALG1002,1,Portable Buildings - Site Accessories,,,88,1
KLGI,KALG1002,1,Air Hand Tools,,,199,1
KLGI,KALG1002,1,Generators - Accessories,,,74,1
KLGI,KALG1002,1,Materials Handling - Forklift,,,201,1
KLGI,KALG1002,1,Air Compressors - Diesel Small,,,63,1
KLGI,KALG1002,1,Access - Knuckle Booms,,,241,1
KLGI,KALG1002,1,Bolting Tools,,,169,1
KLGI,KALG1002,1,Jacking,,,122,1
KLGI,KALG1002,1,Lighting - Other,,,126,1
KLGI,KALG1002,1,Lighting Towers,,,102,1
KLGI,KALG1002,1,Miscellaneous - Tools,,,446,1
KLGI,KALG1002,1,Power Tools & Accessories,,,463,1
KLGI,KALG1002,1,Pumps - High Head,,,54,1
KLGI,KALG1002,1,Pumps - Submersible,,,89,1
KLGI,KALG1002,1,Welders - Motorised,,,115,1
KLGI,KALG1002,1,Welders - Electric,,,314,1
KLGI,KALG1002,1,Pumps - Small,,,61,1
KLGI,KALG1002,1,Chain Blocks,,,58,1
KLGI,KALG1002,1,Fans,,,58,1
KLGI,KALG1002,1,Slings  Shackles & Clamps,,,94,1
KLGI,KALG1002,1,Generators - Diesel Small,,,55,1
KLGI,KALG1002,2,Electrical Leads & Accessories,Access - Knuckle Booms,,224,0.532067
KLGI,KALG1002,2,Electrical Leads & Accessories,Air Compressors - Diesel Small,,61,0.144893
KLGI,KALG1002,2,Electrical Leads & Accessories,Air Hand Tools,,190,0.451306
KLGI,KALG1002,2,Electrical Leads & Accessories,Bolting Tools,,164,0.389549
KLGI,KALG1002,2,Electrical Leads & Accessories,Chain Blocks,,58,0.137767
KLGI,KALG1002,2,Electrical Leads & Accessories,Concrete Vibe Units,,54,0.128266
KLGI,KALG1002,2,Electrical Leads & Accessories,Electrical Leads & Accessories,,420,0.997625
KLGI,KALG1002,2,Electrical Leads & Accessories,Fans,,57,0.135392
KLGI,KALG1002,2,Electrical Leads & Accessories,Generators - Accessories,,72,0.171021
KLGI,KALG1002,2,Electrical Leads & Accessories,Generators - Diesel Small,,54,0.128266
KLGI,KALG1002,2,Electrical Leads & Accessories,Industrial Tools & Equipment,,415,0.985748
KLGI,KALG1002,2,Electrical Leads & Accessories,Jacking,,118,0.280285
KLGI,KALG1002,2,Electrical Leads & Accessories,Lighting - Other,,124,0.294537
KLGI,KALG1002,2,Electrical Leads & Accessories,Lighting Towers,,101,0.239905
KLGI,KALG1002,2,Electrical Leads & Accessories,Materials Handling - Forklift,,183,0.434679
KLGI,KALG1002,2,Electrical Leads & Accessories,Miscellaneous - Tools,,395,0.938242
KLGI,KALG1002,2,Electrical Leads & Accessories,Portable - Toilets,,84,0.199525
KLGI,KALG1002,2,Electrical Leads & Accessories,Portable Buildings - Shells,,86,0.204276
KLGI,KALG1002,2,Electrical Leads & Accessories,Portable Buildings - Site Accessories,,83,0.19715
KLGI,KALG1002,2,Electrical Leads & Accessories,Power Tools & Accessories,,411,0.976247
KLGI,KALG1002,2,Electrical Leads & Accessories,Pumps - High Head,,53,0.125891
KLGI,KALG1002,2,Electrical Leads & Accessories,Pumps - Small,,58,0.137767
KLGI,KALG1002,2,Electrical Leads & Accessories,Pumps - Submersible,,87,0.206651
KLGI,KALG1002,2,Electrical Leads & Accessories,Slings  Shackles & Clamps,,93,0.220903
KLGI,KALG1002,2,Electrical Leads & Accessories,Welders - Electric,,294,0.698337
KLGI,KALG1002,2,Electrical Leads & Accessories,Welders - Motorised,,111,0.263658
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Access - Knuckle Booms,206,0.919643
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Air Hand Tools,127,0.566964
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Bolting Tools,120,0.535714
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Electrical Leads & Accessories,208,0.928571
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Generators - Accessories,56,0.25
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Industrial Tools & Equipment,220,0.982143
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Jacking,86,0.383929
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Lighting - Other,84,0.375
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Lighting Towers,78,0.348214
KLGI,KALG1002,3,Electrical Leads & Accessories,Access - Knuckle Booms,Materials Handling - Forklift,126,0.5625
