branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
KWNA,BPRE6001,1,Chain Blocks,,,71,1
KWNA,BPRE6001,1,Industrial Tools & Equipment,,,158,1
KWNA,BPRE6001,1,Miscellaneous - Tools,,,197,1
KWNA,BPRE6001,1,Power Tools & Accessories,,,74,1
KWNA,BPRE6001,1,Winches,,,60,1
KWNA,BPRE6001,1,Access - Knuckle Booms,,,242,1
KWNA,BPRE6001,1,Air Compressors - Diesel Small,,,150,1
KWNA,BPRE6001,1,Materials Handling - Forklift,,,67,1
KWNA,BPRE6001,1,Bolting Tools,,,104,1
KWNA,BPRE6001,1,Compaction - Rammers & Vibrating Plates,,,65,1
KWNA,BPRE6001,1,Earthmoving - Skid Steer - Loaders,,,69,1
KWNA,BPRE6001,1,Fans,,,72,1
KWNA,BPRE6001,1,Air Hand Tools,,,63,1
KWNA,BPRE6001,1,Generators - Diesel Small,,,148,1
KWNA,BPRE6001,1,Plumbers Equipment,,,59,1
KWNA,BPRE6001,1,Electrical Leads & Accessories,,,55,1
KWNA,BPRE6001,1,Air Breakers,,,68,1
KWNA,BPRE6001,1,Lighting Towers,,,84,1
KWNA,BPRE6001,2,Access - Knuckle Booms,Access - Knuckle Booms,,228,0.942149
KWNA,BPRE6001,2,Access - Knuckle Booms,Air Breakers,,59,0.243802
KWNA,BPRE6001,2,Access - Knuckle Booms,Air Compressors - Diesel Small,,117,0.483471
KWNA,BPRE6001,2,Access - Knuckle Booms,Bolting Tools,,67,0.27686
KWNA,BPRE6001,2,Access - Knuckle Booms,Compaction - Rammers & Vibrating Plates,,56,0.231405
KWNA,BPRE6001,2,Access - Knuckle Booms,Earthmoving - Skid Steer - Loaders,,55,0.227273
KWNA,BPRE6001,2,Access - Knuckle Booms,Fans,,55,0.227273
KWNA,BPRE6001,2,Access - Knuckle Booms,Generators - Diesel Small,,108,0.446281
KWNA,BPRE6001,2,Access - Knuckle Booms,Industrial Tools & Equipment,,99,0.409091
KWNA,BPRE6001,2,Access - Knuckle Booms,Lighting Towers,,66,0.272727
KWNA,BPRE6001,2,Access - Knuckle Booms,Materials Handling - Forklift,,53,0.219008
KWNA,BPRE6001,2,Access - Knuckle Booms,Miscellaneous - Tools,,126,0.520661
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Knuckle Booms,214,0.938596
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Breakers,55,0.241228
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Compressors - Diesel Small,112,0.491228
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Bolting Tools,64,0.280702
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Earthmoving - Skid Steer - Loaders,52,0.22807
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Fans,52,0.22807
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Generators - Diesel Small,100,0.438596
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Industrial Tools & Equipment,92,0.403509
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Lighting Towers,60,0.263158
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Materials Handling - Forklift,51,0.223684
KWNA,BPRE6001,3,Access - Knuckle Booms,Access - Knuckle Booms,Miscellaneous - Tools,118,0.517544
KWNA,BPRE6001,3,Access - Knuckle Booms,Generators - Diesel Small,Access - Knuckle Booms,87,0.805556
KWNA,BPRE6001,3,Access - Knuckle Booms,Generators - Diesel Small,Air Compressors - Diesel Small,73,0.675926
KWNA,BPRE6001,3,Access - Knuckle Booms,Generators - Diesel Small,Generators - Diesel Small,75,0.694444
KWNA,BPRE6001,3,Access - Knuckle Booms,Generators - Diesel Small,Industrial Tools & Equipment,53,0.490741
KWNA,BPRE6001,3,Access - Knuckle Booms,Generators - Diesel Small,Miscellaneous - Tools,72,0.666667
KWNA,BPRE6001,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Access - Knuckle Booms,97,0.82906
KWNA,BPRE6001,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Air Compressors - Diesel Small,97,0.82906
KWNA,BPRE6001,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Generators - Diesel Small,71,0.606838
KWNA,BPRE6001,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Industrial Tools & Equipment,65,0.555556
KWNA,BPRE6001,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Miscellaneous - Tools,88,0.752137
KWNA,BPRE6001,3,Access - Knuckle Booms,Bolting Tools,Access - Knuckle Booms,54,0.80597
KWNA,BPRE6001,3,Access - Knuckle Booms,Bolting Tools,Miscellaneous - Tools,54,0.80597
KWNA,BPRE6001,3,Access - Knuckle Booms,Compaction - Rammers & Vibrating Plates,Access - Knuckle Booms,51,0.910714
KWNA,BPRE6001,3,Access - Knuckle Booms,Industrial Tools & Equipment,Access - Knuckle Booms,81,0.818182
KWNA,BPRE6001,3,Access - Knuckle Booms,Industrial Tools & Equipment,Air Compressors - Diesel Small,63,0.636364
KWNA,BPRE6001,3,Access - Knuckle Booms,Industrial Tools & Equipment,Miscellaneous - Tools,65,0.656566
KWNA,BPRE6001,3,Access - Knuckle Booms,Lighting Towers,Access - Knuckle Booms,58,0.878788
KWNA,BPRE6001,3,Access - Knuckle Booms,Miscellaneous - Tools,Access - Knuckle Booms,102,0.809524
KWNA,BPRE6001,3,Access - Knuckle Booms,Miscellaneous - Tools,Air Compressors - Diesel Small,83,0.65873
KWNA,BPRE6001,3,Access - Knuckle Booms,Miscellaneous - Tools,Bolting Tools,52,0.412698
KWNA,BPRE6001,3,Access - Knuckle Booms,Miscellaneous - Tools,Generators - Diesel Small,72,0.571429
KWNA,BPRE6001,3,Access - Knuckle Booms,Miscellaneous - Tools,Industrial Tools & Equipment,67,0.531746
