branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
KWNA,HPST1000,1,Miscellaneous - Tools,,,109,1
KWNA,HPST1000,1,Industrial Tools & Equipment,,,154,1
KWNA,HPST1000,1,Electrical Leads & Accessories,,,81,1
KWNA,HPST1000,1,Power Tools & Accessories,,,138,1
KWNA,HPST1000,1,Winches,,,55,1
KWNA,HPST1000,1,Welders - Accessories,,,50,1
KWNA,HPST1000,1,Welders - Electric,,,70,1
KWNA,HPST1000,1,Chain Blocks,,,62,1
KWNA,HPST1000,1,Safety Equipment ,,,40,1
KWNA,HPST1000,1,Bolting Tools,,,32,1
KWNA,HPST1000,2,Miscellaneous - Tools,Bolting Tools,,31,0.284404
KWNA,HPST1000,2,Miscellaneous - Tools,Chain Blocks,,55,0.504587
KWNA,HPST1000,2,Miscellaneous - Tools,Electrical Leads & Accessories,,67,0.614679
KWNA,HPST1000,2,Miscellaneous - Tools,Industrial Tools & Equipment,,108,0.990826
KWNA,HPST1000,2,Miscellaneous - Tools,Miscellaneous - Tools,,104,0.954128
KWNA,HPST1000,2,Miscellaneous - Tools,Power Tools & Accessories,,99,0.908257
KWNA,HPST1000,2,Miscellaneous - Tools,Safety Equipment ,,38,0.348624
KWNA,HPST1000,2,Miscellaneous - Tools,Welders - Accessories,,38,0.348624
KWNA,HPST1000,2,Miscellaneous - Tools,Welders - Electric,,55,0.504587
KWNA,HPST1000,2,Miscellaneous - Tools,Winches,,51,0.46789
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Chain Blocks,48,0.872727
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Electrical Leads & Accessories,44,0.8
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Industrial Tools & Equipment,55,1
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Miscellaneous - Tools,48,0.872727
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Power Tools & Accessories,55,1
KWNA,HPST1000,3,Miscellaneous - Tools,Chain Blocks,Welders - Electric,35,0.636364
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Chain Blocks,42,0.626866
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Electrical Leads & Accessories,63,0.940299
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Industrial Tools & Equipment,65,0.970149
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Miscellaneous - Tools,57,0.850746
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Power Tools & Accessories,65,0.970149
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Welders - Accessories,31,0.462687
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Welders - Electric,43,0.641791
KWNA,HPST1000,3,Miscellaneous - Tools,Electrical Leads & Accessories,Winches,38,0.567164
KWNA,HPST1000,3,Miscellaneous - Tools,Safety Equipment ,Industrial Tools & Equipment,37,0.973684
KWNA,HPST1000,3,Miscellaneous - Tools,Safety Equipment ,Miscellaneous - Tools,35,0.921053
KWNA,HPST1000,3,Miscellaneous - Tools,Safety Equipment ,Power Tools & Accessories,37,0.973684
KWNA,HPST1000,3,Miscellaneous - Tools,Industrial Tools & Equipment,Chain Blocks,55,0.509259
KWNA,HPST1000,3,Miscellaneous - Tools,Industrial Tools & Equipment,Electrical Leads & Accessories,63,0.583333
KWNA,HPST1000,3,Miscellaneous - Tools,Industrial Tools & Equipment,Industrial Tools & Equipment,107,0.990741
