branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
PINJ,ALCO1000,1,Access - Knuckle Booms,,,393,1
PINJ,ALCO1000,1,Access - Scissor Lifts,,,216,1
PINJ,ALCO1000,1,Air Compressors - Diesel Small,,,56,1
PINJ,ALCO1000,1,Fans,,,115,1
PINJ,ALCO1000,1,Lighting Towers,,,71,1
PINJ,ALCO1000,1,Welders - Motorised,,,243,1
PINJ,ALCO1000,1,Welders - Accessories,,,233,1
PINJ,ALCO1000,1,Water Blasters,,,36,1
PINJ,ALCO1000,1,Chain Blocks,,,31,1
PINJ,ALCO1000,1,Concrete Vibe Units,,,56,1
PINJ,ALCO1000,1,Pumps - Small,,,53,1
PINJ,ALCO1000,1,Traffic - Barriers,,,32,1
PINJ,ALCO1000,1,Materials Handling - Forklift,,,47,1
PINJ,ALCO1000,1,Generators - Diesel Small,,,32,1
PINJ,ALCO1000,2,Access - Knuckle Booms,Access - Knuckle Booms,,384,0.977099
PINJ,ALCO1000,2,Access - Knuckle Booms,Access - Scissor Lifts,,186,0.473282
PINJ,ALCO1000,2,Access - Knuckle Booms,Air Compressors - Diesel Small,,53,0.13486
PINJ,ALCO1000,2,Access - Knuckle Booms,Concrete Vibe Units,,55,0.139949
PINJ,ALCO1000,2,Access - Knuckle Booms,Fans,,101,0.256997
PINJ,ALCO1000,2,Access - Knuckle Booms,Generators - Diesel Small,,32,0.0814249
PINJ,ALCO1000,2,Access - Knuckle Booms,Lighting Towers,,65,0.165394
PINJ,ALCO1000,2,Access - Knuckle Booms,Materials Handling - Forklift,,45,0.114504
PINJ,ALCO1000,2,Access - Knuckle Booms,Pumps - Small,,51,0.129771
PINJ,ALCO1000,2,Access - Knuckle Booms,Traffic - Barriers,,32,0.0814249
PINJ,ALCO1000,2,Access - Knuckle Booms,Water Blasters,,36,0.0916031
PINJ,ALCO1000,2,Access - Knuckle Booms,Welders - Accessories,,198,0.503817
PINJ,ALCO1000,2,Access - Knuckle Booms,Welders - Motorised,,208,0.529262
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Knuckle Booms,376,0.979167
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Scissor Lifts,185,0.481771
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Compressors - Diesel Small,52,0.135417
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Concrete Vibe Units,53,0.138021
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Fans,100,0.260417
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Generators - Diesel Small,32,0.0833333
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Lighting Towers,63,0.164063
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Materials Handling - Forklift,44,0.114583
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Pumps - Small,49,0.127604
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Traffic - Barriers,32,0.0833333
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Water Blasters,36,0.09375
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Accessories,193,0.502604
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Motorised,203,0.528646
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Access - Knuckle Booms,164,0.88172
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Access - Scissor Lifts,152,0.817204
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Air Compressors - Diesel Small,42,0.225806
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Concrete Vibe Units,46,0.247312
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Fans,79,0.424731
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Lighting Towers,52,0.27957
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Materials Handling - Forklift,38,0.204301
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Pumps - Small,43,0.231183
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Welders - Accessories,134,0.72043
PINJ,ALCO1000,3,Access - Knuckle Booms,Access - Scissor Lifts,Welders - Motorised,136,0.731183
PINJ,ALCO1000,3,Access - Knuckle Booms,Concrete Vibe Units,Access - Knuckle Booms,50,0.909091
PINJ,ALCO1000,3,Access - Knuckle Booms,Concrete Vibe Units,Access - Scissor Lifts,49,0.890909
PINJ,ALCO1000,3,Access - Knuckle Booms,Concrete Vibe Units,Fans,31,0.563636
PINJ,ALCO1000,3,Access - Knuckle Booms,Concrete Vibe Units,Welders - Accessories,44,0.8
PINJ,ALCO1000,3,Access - Knuckle Booms,Concrete Vibe Units,Welders - Motorised,46,0.836364
PINJ,ALCO1000,3,Access - Knuckle Booms,Fans,Access - Knuckle Booms,93,0.920792
PINJ,ALCO1000,3,Access - Knuckle Booms,Fans,Access - Scissor Lifts,76,0.752475
PINJ,ALCO1000,3,Access - Knuckle Booms,Fans,Fans,55,0.544554
PINJ,ALCO1000,3,Access - Knuckle Booms,Fans,Welders - Accessories,79,0.782178
PINJ,ALCO1000,3,Access - Knuckle Booms,Fans,Welders - Motorised,79,0.782178
PINJ,ALCO1000,3,Access - Knuckle Booms,Materials Handling - Forklift,Access - Knuckle Booms,44,0.977778
PINJ,ALCO1000,3,Access - Knuckle Booms,Materials Handling - Forklift,Access - Scissor Lifts,37,0.822222
PINJ,ALCO1000,3,Access - Knuckle Booms,Materials Handling - Forklift,Welders - Accessories,39,0.866667
