PORM,LEIG1014,2010-10-18 00:00:00.0,10882,ROLLERPAD20TSD,Compaction - Rollers - Single Drum Padfoot,COMPACTION
PORM,LEIG1014,2010-10-27 00:00:00.0,10891,SCISSOR26E,Access - Scissor Lifts,ACCESS
PORM,LEIG1014,2010-10-29 00:00:00.0,10893,ROOFERSKIT,Safety Equipment ,TOOLS & EQUIPMENT
PORM,LEIG1014,2010-11-03 00:00:00.0,10898,ROLLERSMOOTH20TSD,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2010-11-03 00:00:00.0,10898,TOILETMOBILE,Portable - Toilets,SITE ACCOMMODATION
PORM,LEIG1014,2010-11-03 00:00:00.0,10898,TOILETFWF,Portable - Toilets,SITE ACCOMMODATION
PORM,LEIG1014,2010-11-03 00:00:00.0,10898,SCISSOR26E,Access - Scissor Lifts,ACCESS
PORM,LEIG1014,2010-11-03 00:00:00.0,10898,TRAILERTOILET,Trailers,TRUCKS  VEHICLES & TRAILERS
PORM,LEIG1014,2010-11-11 00:00:00.0,10906,PUMP50MM212FLEXDRIVESHAFT,Pumps - Small,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-11 00:00:00.0,10906,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-11 00:00:00.0,10906,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-11 00:00:00.0,10906,PUMP50MM212FLEXDRIVESHAFT,Pumps - Small,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-16 00:00:00.0,10911,KNUCKLE45D,Access - Knuckle Booms,ACCESS
PORM,LEIG1014,2010-11-19 00:00:00.0,10914,WELD130TIG160AET,Welders - Electric,WELDING
PORM,LEIG1014,2010-11-19 00:00:00.0,10914,KNUCKLE45D,Access - Knuckle Booms,ACCESS
PORM,LEIG1014,2010-11-23 00:00:00.0,10918,LAYFLATCONTRACTORS50MM,Pumps - Hoses,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-23 00:00:00.0,10918,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-23 00:00:00.0,10918,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-23 00:00:00.0,10918,PUMP50MM212FLEXDRIVESHAFT,Pumps - Small,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-23 00:00:00.0,10918,PUMP50MM212FLEXDRIVESHAFT,Pumps - Small,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-24 00:00:00.0,10919,TOILETMOBILE,Portable - Toilets,SITE ACCOMMODATION
PORM,LEIG1014,2010-11-26 00:00:00.0,10921,LAYFLATCONTRACTORS50MM,Pumps - Hoses,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-26 00:00:00.0,10921,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-26 00:00:00.0,10921,PUMP50MM212FLEXDRIVESHAFT,Pumps - Small,PUMPS & FLUID MANAGEMENT
PORM,LEIG1014,2010-11-26 00:00:00.0,10921,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2010-11-26 00:00:00.0,10921,TOILETMOBILE,Portable - Toilets,SITE ACCOMMODATION
PORM,LEIG1014,2010-12-03 00:00:00.0,10928,COREDRILLSYSTEM,Concrete,CONCRETE & MASONRY
PORM,LEIG1014,2010-12-03 00:00:00.0,10928,TOILETFWF,Portable - Toilets,SITE ACCOMMODATION
PORM,LEIG1014,2010-12-03 00:00:00.0,10928,TRAILERTOILET,Trailers,TRUCKS  VEHICLES & TRAILERS
PORM,LEIG1014,2010-12-08 00:00:00.0,10933,GENERATOR9KVAP,Generators - Petrol,GENERATORS & POWER DISTRIBUTION
PORM,LEIG1014,2010-12-08 00:00:00.0,10933,STEELPLATE25MM4.0X1.8M,Traffic - Plates  Bridges  Grids,TRAFFIC MANAGEMENT
PORM,LEIG1014,2011-01-06 00:00:00.0,10962,GENERATOR9KVAP,Generators - Petrol,GENERATORS & POWER DISTRIBUTION
PORM,LEIG1014,2011-01-10 00:00:00.0,10966,BREAKERPETROL,Demolition,CONCRETE & MASONRY
PORM,LEIG1014,2011-01-10 00:00:00.0,10966,MOILS,Air Breakers - Attachments,AIR & AIR ACCESSORIES
PORM,LEIG1014,2011-01-14 00:00:00.0,10970,PLATECOMPACTORMEDD,Compaction - Rammers & Vibrating Plates,COMPACTION
PORM,LEIG1014,2011-01-14 00:00:00.0,10970,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-01-19 00:00:00.0,10975,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-01-19 00:00:00.0,10975,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-01-25 00:00:00.0,10981,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-01-31 00:00:00.0,10987,GENERATOR9KVAP,Generators - Petrol,GENERATORS & POWER DISTRIBUTION
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,DRIVEUNITPETROL,Concrete Vibe Units,CONCRETE & MASONRY
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,ROOFERSKIT,Safety Equipment ,TOOLS & EQUIPMENT
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,ROLLERPAD20TSD,Compaction - Rollers - Single Drum Padfoot,COMPACTION
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,ROLLERSMOOTH13.1T,Compaction - Rollers - Single Drum Smooth,COMPACTION
PORM,LEIG1014,2011-02-01 00:00:00.0,10988,ROOFERSKIT,Safety Equipment ,TOOLS & EQUIPMENT
PORM,LEIG1014,2011-02-02 00:00:00.0,10989,KNUCKLE34D,Access - Knuckle Booms,ACCESS
PORM,LEIG1014,2011-02-03 00:00:00.0,10990,KNUCKLE34D,Access - Knuckle Booms,ACCESS
PORM,LEIG1014,2011-02-04 00:00:00.0,10991,RAMMER2STROKE,Compaction - Rammers & Vibrating Plates,COMPACTION
PORM,LEIG1014,2011-02-07 00:00:00.0,10994,TOILETMOBILE,Portable - Toilets,SITE ACCOMMODATION
