branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
PORT,BLUE2000,1,Access - Scissor Lifts,,,65,1
PORT,BLUE2000,1,Access - Straight Booms,,,31,1
PORT,BLUE2000,1,Jacking,,,44,1
PORT,BLUE2000,1,Bolting Tools,,,45,1
PORT,BLUE2000,1,Power Tools & Accessories,,,124,1
PORT,BLUE2000,1,Welders - Electric,,,52,1
PORT,BLUE2000,1,Welders - Accessories,,,368,1
PORT,BLUE2000,1,Air Hand Tools,,,31,1
PORT,BLUE2000,1,Welders - Motorised,,,428,1
PORT,BLUE2000,1,Access - Knuckle Booms,,,75,1
PORT,BLUE2000,1,Fans,,,68,1
PORT,BLUE2000,1,Demolition,,,40,1
PORT,BLUE2000,1,Lighting Towers,,,80,1
PORT,BLUE2000,1,Miscellaneous - Tools,,,64,1
PORT,BLUE2000,2,Access - Scissor Lifts,Power Tools & Accessories,,35,0.538462
PORT,BLUE2000,2,Access - Scissor Lifts,Welders - Accessories,,64,0.984615
PORT,BLUE2000,2,Access - Scissor Lifts,Welders - Motorised,,63,0.969231
PORT,BLUE2000,3,Access - Scissor Lifts,Power Tools & Accessories,Welders - Accessories,34,0.971429
PORT,BLUE2000,3,Access - Scissor Lifts,Power Tools & Accessories,Welders - Motorised,35,1
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Accessories,Power Tools & Accessories,31,0.484375
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Accessories,Welders - Accessories,61,0.953125
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Accessories,Welders - Motorised,63,0.984375
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Motorised,Power Tools & Accessories,33,0.52381
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Motorised,Welders - Accessories,60,0.952381
PORT,BLUE2000,3,Access - Scissor Lifts,Welders - Motorised,Welders - Motorised,62,0.984127
PORT,BLUE2000,2,Access - Straight Booms,Welders - Accessories,,31,1
PORT,BLUE2000,2,Access - Straight Booms,Welders - Motorised,,31,1
PORT,BLUE2000,2,Lighting Towers,Access - Knuckle Booms,,33,0.4125
