PORT,BLUE2000,2010-10-16 00:00:00.0,10880,SCISSOR19E,Access - Scissor Lifts,ACCESS
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,SAWHACK240VLGE,Power Tools & Accessories,TOOLS & EQUIPMENT
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,BOOM86D,Access - Straight Booms,ACCESS
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-19 00:00:00.0,10883,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD50,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD130TIG160AET,Welders - Electric,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-20 00:00:00.0,10884,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,IMPACTWRENCHAIR38MM,Air Hand Tools,AIR & AIR ACCESSORIES
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,KNUCKLE30E,Access - Knuckle Booms,ACCESS
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WELD575D,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WIREFEEDLN25,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,HYDTORQUEWRACT2000,Bolting Tools,INDUSTRIAL TOOLS & EQUIPMENT
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WELD400ADUAL-DIESEL,Welders - Motorised,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,SWITCHDEADMAN,Welders - Accessories,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,WELD150EHFT-240V,Welders - Electric,WELDING
PORT,BLUE2000,2010-10-21 00:00:00.0,10885,KNUCKLE34D,Access - Knuckle Booms,ACCESS
