branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
PTHE,BHPB6000,1,Access - Knuckle Booms,,,327,1
PTHE,BHPB6000,1,Access - Scissor Lifts,,,71,1
PTHE,BHPB6000,1,Lighting Towers,,,188,1
PTHE,BHPB6000,1,Welders - Motorised,,,172,1
PTHE,BHPB6000,1,Access - Straight Booms,,,94,1
PTHE,BHPB6000,1,Generators - Diesel Small,,,61,1
PTHE,BHPB6000,1,Welders - Accessories,,,64,1
PTHE,BHPB6000,1,Trailers,,,106,1
PTHE,BHPB6000,1,Air Compressors - Diesel Small,,,63,1
PTHE,BHPB6000,2,Access - Knuckle Booms,Access - Knuckle Booms,,314,0.960245
PTHE,BHPB6000,2,Access - Knuckle Booms,Access - Scissor Lifts,,62,0.189602
PTHE,BHPB6000,2,Access - Knuckle Booms,Access - Straight Booms,,85,0.259939
PTHE,BHPB6000,2,Access - Knuckle Booms,Air Compressors - Diesel Small,,60,0.183486
PTHE,BHPB6000,2,Access - Knuckle Booms,Generators - Diesel Small,,58,0.17737
PTHE,BHPB6000,2,Access - Knuckle Booms,Lighting Towers,,156,0.477064
PTHE,BHPB6000,2,Access - Knuckle Booms,Trailers,,100,0.30581
PTHE,BHPB6000,2,Access - Knuckle Booms,Welders - Accessories,,60,0.183486
PTHE,BHPB6000,2,Access - Knuckle Booms,Welders - Motorised,,153,0.46789
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Knuckle Booms,301,0.958599
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Scissor Lifts,56,0.178344
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Access - Straight Booms,77,0.245223
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Air Compressors - Diesel Small,57,0.181529
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Generators - Diesel Small,57,0.181529
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Lighting Towers,145,0.461783
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Trailers,95,0.302548
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Accessories,59,0.187898
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Knuckle Booms,Welders - Motorised,146,0.464968
PTHE,BHPB6000,3,Access - Knuckle Booms,Generators - Diesel Small,Access - Knuckle Booms,55,0.948276
PTHE,BHPB6000,3,Access - Knuckle Booms,Trailers,Access - Knuckle Booms,91,0.91
PTHE,BHPB6000,3,Access - Knuckle Booms,Trailers,Lighting Towers,69,0.69
PTHE,BHPB6000,3,Access - Knuckle Booms,Trailers,Welders - Motorised,74,0.74
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Accessories,Access - Knuckle Booms,57,0.95
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Motorised,Access - Knuckle Booms,135,0.882353
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Motorised,Access - Straight Booms,56,0.366013
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Motorised,Lighting Towers,100,0.653595
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Motorised,Trailers,66,0.431373
PTHE,BHPB6000,3,Access - Knuckle Booms,Welders - Motorised,Welders - Motorised,114,0.745098
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Scissor Lifts,Access - Knuckle Booms,57,0.919355
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Straight Booms,Access - Knuckle Booms,81,0.952941
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Straight Booms,Lighting Towers,56,0.658824
PTHE,BHPB6000,3,Access - Knuckle Booms,Access - Straight Booms,Welders - Motorised,58,0.682353
PTHE,BHPB6000,3,Access - Knuckle Booms,Air Compressors - Diesel Small,Access - Knuckle Booms,59,0.983333
PTHE,BHPB6000,3,Access - Knuckle Booms,Lighting Towers,Access - Knuckle Booms,136,0.871795
PTHE,BHPB6000,3,Access - Knuckle Booms,Lighting Towers,Access - Straight Booms,56,0.358974
PTHE,BHPB6000,3,Access - Knuckle Booms,Lighting Towers,Lighting Towers,116,0.74359
PTHE,BHPB6000,3,Access - Knuckle Booms,Lighting Towers,Trailers,70,0.448718
PTHE,BHPB6000,3,Access - Knuckle Booms,Lighting Towers,Welders - Motorised,97,0.621795
PTHE,BHPB6000,2,Welders - Accessories,Access - Knuckle Booms,,59,0.921875
PTHE,BHPB6000,3,Welders - Accessories,Access - Knuckle Booms,Access - Knuckle Booms,55,0.932203
PTHE,BHPB6000,2,Access - Scissor Lifts,Access - Knuckle Booms,,66,0.929577
PTHE,BHPB6000,2,Access - Scissor Lifts,Lighting Towers,,53,0.746479
PTHE,BHPB6000,3,Access - Scissor Lifts,Access - Knuckle Booms,Access - Knuckle Booms,63,0.954545
PTHE,BHPB6000,2,Access - Straight Booms,Access - Knuckle Booms,,89,0.946809
PTHE,BHPB6000,2,Access - Straight Booms,Access - Straight Booms,,51,0.542553
PTHE,BHPB6000,2,Access - Straight Booms,Lighting Towers,,63,0.670213
PTHE,BHPB6000,2,Access - Straight Booms,Welders - Motorised,,63,0.670213
PTHE,BHPB6000,3,Access - Straight Booms,Access - Knuckle Booms,Access - Knuckle Booms,85,0.955056
PTHE,BHPB6000,3,Access - Straight Booms,Access - Knuckle Booms,Lighting Towers,51,0.573034
PTHE,BHPB6000,3,Access - Straight Booms,Access - Knuckle Booms,Welders - Motorised,56,0.629213
PTHE,BHPB6000,3,Access - Straight Booms,Welders - Motorised,Access - Knuckle Booms,58,0.920635
PTHE,BHPB6000,3,Access - Straight Booms,Lighting Towers,Access - Knuckle Booms,58,0.920635
PTHE,BHPB6000,2,Lighting Towers,Access - Knuckle Booms,,150,0.797872
PTHE,BHPB6000,2,Lighting Towers,Access - Straight Booms,,61,0.324468
PTHE,BHPB6000,2,Lighting Towers,Lighting Towers,,141,0.75
PTHE,BHPB6000,2,Lighting Towers,Trailers,,74,0.393617
PTHE,BHPB6000,2,Lighting Towers,Welders - Motorised,,103,0.547872
PTHE,BHPB6000,3,Lighting Towers,Access - Knuckle Booms,Access - Knuckle Booms,141,0.94
PTHE,BHPB6000,3,Lighting Towers,Access - Knuckle Booms,Access - Straight Booms,53,0.353333
PTHE,BHPB6000,3,Lighting Towers,Access - Knuckle Booms,Lighting Towers,89,0.593333
PTHE,BHPB6000,3,Lighting Towers,Access - Knuckle Booms,Trailers,73,0.486667
PTHE,BHPB6000,3,Lighting Towers,Access - Knuckle Booms,Welders - Motorised,94,0.626667
PTHE,BHPB6000,3,Lighting Towers,Lighting Towers,Access - Knuckle Booms,111,0.787234
PTHE,BHPB6000,3,Lighting Towers,Lighting Towers,Lighting Towers,102,0.723404
PTHE,BHPB6000,3,Lighting Towers,Lighting Towers,Trailers,54,0.382979
PTHE,BHPB6000,3,Lighting Towers,Lighting Towers,Welders - Motorised,74,0.524823
PTHE,BHPB6000,3,Lighting Towers,Access - Straight Booms,Access - Knuckle Booms,59,0.967213
PTHE,BHPB6000,3,Lighting Towers,Trailers,Access - Knuckle Booms,66,0.891892
PTHE,BHPB6000,3,Lighting Towers,Trailers,Welders - Motorised,51,0.689189
PTHE,BHPB6000,3,Lighting Towers,Welders - Motorised,Access - Knuckle Booms,91,0.883495
PTHE,BHPB6000,3,Lighting Towers,Welders - Motorised,Lighting Towers,68,0.660194
PTHE,BHPB6000,3,Lighting Towers,Welders - Motorised,Welders - Motorised,74,0.718447
PTHE,BHPB6000,2,Generators - Diesel Small,Access - Knuckle Booms,,57,0.934426
PTHE,BHPB6000,3,Generators - Diesel Small,Access - Knuckle Booms,Access - Knuckle Booms,56,0.982456
PTHE,BHPB6000,2,Welders - Motorised,Access - Knuckle Booms,,148,0.860465
PTHE,BHPB6000,2,Welders - Motorised,Access - Straight Booms,,62,0.360465
PTHE,BHPB6000,2,Welders - Motorised,Lighting Towers,,115,0.668605
PTHE,BHPB6000,2,Welders - Motorised,Trailers,,73,0.424419
PTHE,BHPB6000,2,Welders - Motorised,Welders - Motorised,,129,0.75
PTHE,BHPB6000,3,Welders - Motorised,Access - Knuckle Booms,Access - Knuckle Booms,141,0.952703
PTHE,BHPB6000,3,Welders - Motorised,Access - Knuckle Booms,Lighting Towers,86,0.581081
PTHE,BHPB6000,3,Welders - Motorised,Access - Knuckle Booms,Trailers,68,0.459459
PTHE,BHPB6000,3,Welders - Motorised,Access - Knuckle Booms,Welders - Motorised,90,0.608108
PTHE,BHPB6000,3,Welders - Motorised,Access - Straight Booms,Access - Knuckle Booms,58,0.935484
PTHE,BHPB6000,3,Welders - Motorised,Lighting Towers,Access - Knuckle Booms,101,0.878261
PTHE,BHPB6000,3,Welders - Motorised,Lighting Towers,Lighting Towers,86,0.747826
PTHE,BHPB6000,3,Welders - Motorised,Lighting Towers,Trailers,53,0.46087
PTHE,BHPB6000,3,Welders - Motorised,Lighting Towers,Welders - Motorised,74,0.643478
PTHE,BHPB6000,3,Welders - Motorised,Welders - Motorised,Access - Knuckle Booms,111,0.860465
PTHE,BHPB6000,3,Welders - Motorised,Welders - Motorised,Lighting Towers,85,0.658915
PTHE,BHPB6000,3,Welders - Motorised,Welders - Motorised,Trailers,57,0.44186
PTHE,BHPB6000,3,Welders - Motorised,Welders - Motorised,Welders - Motorised,97,0.751938
PTHE,BHPB6000,3,Welders - Motorised,Trailers,Access - Knuckle Booms,65,0.890411
PTHE,BHPB6000,3,Welders - Motorised,Trailers,Welders - Motorised,55,0.753425
PTHE,BHPB6000,2,Air Compressors - Diesel Small,Access - Knuckle Booms,,60,0.952381
PTHE,BHPB6000,3,Air Compressors - Diesel Small,Access - Knuckle Booms,Access - Knuckle Booms,55,0.916667
PTHE,BHPB6000,2,Trailers,Access - Knuckle Booms,,95,0.896226
PTHE,BHPB6000,2,Trailers,Lighting Towers,,73,0.688679
PTHE,BHPB6000,2,Trailers,Welders - Motorised,,78,0.735849
PTHE,BHPB6000,3,Trailers,Access - Knuckle Booms,Access - Knuckle Booms,92,0.968421
PTHE,BHPB6000,3,Trailers,Access - Knuckle Booms,Lighting Towers,59,0.621053
PTHE,BHPB6000,3,Trailers,Access - Knuckle Booms,Welders - Motorised,61,0.642105
PTHE,BHPB6000,3,Trailers,Lighting Towers,Access - Knuckle Booms,70,0.958904
PTHE,BHPB6000,3,Trailers,Lighting Towers,Lighting Towers,56,0.767123
PTHE,BHPB6000,3,Trailers,Lighting Towers,Welders - Motorised,53,0.726027
PTHE,BHPB6000,3,Trailers,Welders - Motorised,Access - Knuckle Booms,73,0.935897
PTHE,BHPB6000,3,Trailers,Welders - Motorised,Lighting Towers,59,0.75641
PTHE,BHPB6000,3,Trailers,Welders - Motorised,Welders - Motorised,57,0.730769
