branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
SPRI,BIEL4023,1,Demolition,,,111,1
SPRI,BIEL4023,1,Air Accessories,,,70,1
SPRI,BIEL4023,1,Compaction - Rammers & Vibrating Plates,,,189,1
SPRI,BIEL4023,1,Masonry Saws,,,168,1
SPRI,BIEL4023,1,Concrete Vibe Units,,,106,1
SPRI,BIEL4023,1,Landscaping Equipment,,,138,1
SPRI,BIEL4023,1,Pumps - Hoses,,,98,1
SPRI,BIEL4023,1,Pumps - Small,,,99,1
SPRI,BIEL4023,1,Masonry Blades,,,137,1
SPRI,BIEL4023,1,Air Breakers,,,62,1
SPRI,BIEL4023,1,Air Compressors - Diesel Small,,,54,1
SPRI,BIEL4023,1,Generators - Petrol,,,103,1
SPRI,BIEL4023,1,Air Breakers - Attachments,,,95,1
SPRI,BIEL4023,2,Demolition,Air Accessories,,36,0.324324
SPRI,BIEL4023,2,Demolition,Air Breakers - Attachments,,56,0.504505
SPRI,BIEL4023,2,Demolition,Compaction - Rammers & Vibrating Plates,,79,0.711712
SPRI,BIEL4023,2,Demolition,Concrete Vibe Units,,40,0.36036
SPRI,BIEL4023,2,Demolition,Demolition,,75,0.675676
SPRI,BIEL4023,2,Demolition,Generators - Petrol,,58,0.522523
SPRI,BIEL4023,2,Demolition,Landscaping Equipment,,51,0.459459
SPRI,BIEL4023,2,Demolition,Masonry Blades,,66,0.594595
SPRI,BIEL4023,2,Demolition,Masonry Saws,,73,0.657658
SPRI,BIEL4023,2,Demolition,Pumps - Hoses,,40,0.36036
SPRI,BIEL4023,2,Demolition,Pumps - Small,,40,0.36036
SPRI,BIEL4023,3,Demolition,Air Accessories,Masonry Saws,32,0.888889
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Air Accessories,32,0.405063
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Air Breakers - Attachments,43,0.544304
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,70,0.886076
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Concrete Vibe Units,34,0.43038
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Demolition,45,0.56962
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Generators - Petrol,41,0.518987
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Landscaping Equipment,36,0.455696
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Masonry Blades,51,0.64557
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Masonry Saws,55,0.696203
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Pumps - Hoses,36,0.455696
SPRI,BIEL4023,3,Demolition,Compaction - Rammers & Vibrating Plates,Pumps - Small,35,0.443038
SPRI,BIEL4023,3,Demolition,Demolition,Air Breakers - Attachments,45,0.6
SPRI,BIEL4023,3,Demolition,Demolition,Compaction - Rammers & Vibrating Plates,59,0.786667
SPRI,BIEL4023,3,Demolition,Demolition,Demolition,55,0.733333
SPRI,BIEL4023,3,Demolition,Demolition,Generators - Petrol,43,0.573333
SPRI,BIEL4023,3,Demolition,Demolition,Landscaping Equipment,32,0.426667
SPRI,BIEL4023,3,Demolition,Demolition,Masonry Blades,45,0.6
SPRI,BIEL4023,3,Demolition,Demolition,Masonry Saws,50,0.666667
SPRI,BIEL4023,3,Demolition,Masonry Saws,Air Breakers - Attachments,36,0.493151
SPRI,BIEL4023,3,Demolition,Masonry Saws,Compaction - Rammers & Vibrating Plates,61,0.835616
SPRI,BIEL4023,3,Demolition,Masonry Saws,Concrete Vibe Units,31,0.424658
SPRI,BIEL4023,3,Demolition,Masonry Saws,Demolition,43,0.589041
SPRI,BIEL4023,3,Demolition,Masonry Saws,Generators - Petrol,37,0.506849
SPRI,BIEL4023,3,Demolition,Masonry Saws,Landscaping Equipment,35,0.479452
SPRI,BIEL4023,3,Demolition,Masonry Saws,Masonry Blades,54,0.739726
SPRI,BIEL4023,3,Demolition,Masonry Saws,Masonry Saws,61,0.835616
SPRI,BIEL4023,3,Demolition,Masonry Saws,Pumps - Hoses,32,0.438356
SPRI,BIEL4023,3,Demolition,Masonry Saws,Pumps - Small,34,0.465753
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Air Breakers - Attachments,42,0.75
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Compaction - Rammers & Vibrating Plates,46,0.821429
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Demolition,40,0.714286
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Generators - Petrol,31,0.553571
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Masonry Blades,37,0.660714
SPRI,BIEL4023,3,Demolition,Air Breakers - Attachments,Masonry Saws,40,0.714286
SPRI,BIEL4023,3,Demolition,Concrete Vibe Units,Compaction - Rammers & Vibrating Plates,35,0.875
SPRI,BIEL4023,3,Demolition,Concrete Vibe Units,Masonry Blades,32,0.8
SPRI,BIEL4023,3,Demolition,Concrete Vibe Units,Masonry Saws,35,0.875
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Air Breakers - Attachments,37,0.637931
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Compaction - Rammers & Vibrating Plates,45,0.775862
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Demolition,36,0.62069
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Generators - Petrol,45,0.775862
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Masonry Blades,37,0.637931
SPRI,BIEL4023,3,Demolition,Generators - Petrol,Masonry Saws,41,0.706897
SPRI,BIEL4023,3,Demolition,Landscaping Equipment,Compaction - Rammers & Vibrating Plates,39,0.764706
SPRI,BIEL4023,3,Demolition,Landscaping Equipment,Masonry Blades,35,0.686275
SPRI,BIEL4023,3,Demolition,Landscaping Equipment,Masonry Saws,40,0.784314
SPRI,BIEL4023,3,Demolition,Masonry Blades,Air Breakers - Attachments,37,0.560606
SPRI,BIEL4023,3,Demolition,Masonry Blades,Compaction - Rammers & Vibrating Plates,56,0.848485
SPRI,BIEL4023,3,Demolition,Masonry Blades,Demolition,43,0.651515
SPRI,BIEL4023,3,Demolition,Masonry Blades,Generators - Petrol,36,0.545455
SPRI,BIEL4023,3,Demolition,Masonry Blades,Landscaping Equipment,33,0.5
SPRI,BIEL4023,3,Demolition,Masonry Blades,Masonry Blades,50,0.757576
SPRI,BIEL4023,3,Demolition,Masonry Blades,Masonry Saws,53,0.80303
