branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
WAWA,ABIG8182,1,Concrete Vibe Units,,,136,1
WAWA,ABIG8182,1,Air Compressors - Diesel Small,,,132,1
WAWA,ABIG8182,1,Pumps - Small,,,143,1
WAWA,ABIG8182,1,Access - Straight Booms,,,51,1
WAWA,ABIG8182,1,Compaction - Rammers & Vibrating Plates,,,163,1
WAWA,ABIG8182,1,Pumps - Hoses,,,119,1
WAWA,ABIG8182,1,Air Accessories,,,124,1
WAWA,ABIG8182,1,Air Hand Tools,,,84,1
WAWA,ABIG8182,2,Concrete Vibe Units,Air Accessories,,60,0.441176
WAWA,ABIG8182,2,Concrete Vibe Units,Air Compressors - Diesel Small,,64,0.470588
WAWA,ABIG8182,2,Concrete Vibe Units,Compaction - Rammers & Vibrating Plates,,76,0.558824
WAWA,ABIG8182,2,Concrete Vibe Units,Concrete Vibe Units,,89,0.654412
WAWA,ABIG8182,2,Concrete Vibe Units,Pumps - Hoses,,68,0.5
WAWA,ABIG8182,2,Concrete Vibe Units,Pumps - Small,,80,0.588235
WAWA,ABIG8182,3,Concrete Vibe Units,Compaction - Rammers & Vibrating Plates,Compaction - Rammers & Vibrating Plates,55,0.723684
WAWA,ABIG8182,3,Concrete Vibe Units,Concrete Vibe Units,Concrete Vibe Units,58,0.651685
WAWA,ABIG8182,3,Concrete Vibe Units,Concrete Vibe Units,Pumps - Small,55,0.617978
WAWA,ABIG8182,3,Concrete Vibe Units,Pumps - Small,Concrete Vibe Units,52,0.65
WAWA,ABIG8182,3,Concrete Vibe Units,Pumps - Small,Pumps - Small,59,0.7375
WAWA,ABIG8182,2,Air Compressors - Diesel Small,Air Accessories,,82,0.621212
WAWA,ABIG8182,2,Air Compressors - Diesel Small,Air Compressors - Diesel Small,,86,0.651515
WAWA,ABIG8182,2,Air Compressors - Diesel Small,Air Hand Tools,,56,0.424242
WAWA,ABIG8182,2,Air Compressors - Diesel Small,Compaction - Rammers & Vibrating Plates,,80,0.606061
