branch,customer,length,fleet1,fleet2,fleet3,frequency,accuracy
WHYA                ,ONES6005,1,Access - Straight Booms,,,54,1
WHYA                ,ONES6005,2,Access - Straight Booms,Access - Straight Booms,,52,0.962963
WHYA,ONES6005,1,Access - Scissor Lifts,,,114,1
WHYA,ONES6005,1,Lighting Towers,,,61,1
WHYA,ONES6005,1,Access - Knuckle Booms,,,271,1
WHYA,ONES6005,1,Access - Straight Booms,,,320,1
WHYA,ONES6005,1,Welders - Motorised,,,68,1
WHYA,ONES6005,1,Generators - Diesel Small,,,52,1
WHYA,ONES6005,2,Access - Scissor Lifts,Access - Knuckle Booms,,97,0.850877
WHYA,ONES6005,2,Access - Scissor Lifts,Access - Scissor Lifts,,69,0.605263
WHYA,ONES6005,2,Access - Scissor Lifts,Access - Straight Booms,,105,0.921053
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Knuckle Booms,Access - Knuckle Booms,91,0.938144
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Knuckle Booms,Access - Scissor Lifts,55,0.56701
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Knuckle Booms,Access - Straight Booms,88,0.907216
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Straight Booms,Access - Knuckle Booms,92,0.87619
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Straight Booms,Access - Scissor Lifts,62,0.590476
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Straight Booms,Access - Straight Booms,101,0.961905
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Scissor Lifts,Access - Knuckle Booms,57,0.826087
WHYA,ONES6005,3,Access - Scissor Lifts,Access - Scissor Lifts,Access - Straight Booms,64,0.927536
WHYA,ONES6005,2,Access - Straight Booms,Access - Knuckle Booms,,214,0.66875
WHYA,ONES6005,2,Access - Straight Booms,Access - Scissor Lifts,,101,0.315625
WHYA,ONES6005,2,Access - Straight Booms,Access - Straight Booms,,313,0.978125
WHYA,ONES6005,2,Access - Straight Booms,Lighting Towers,,53,0.165625
WHYA,ONES6005,2,Access - Straight Booms,Welders - Motorised,,64,0.2
WHYA,ONES6005,3,Access - Straight Booms,Access - Knuckle Booms,Access - Knuckle Booms,204,0.953271
WHYA,ONES6005,3,Access - Straight Booms,Access - Knuckle Booms,Access - Scissor Lifts,91,0.425234
WHYA,ONES6005,3,Access - Straight Booms,Access - Knuckle Booms,Access - Straight Booms,183,0.85514
WHYA,ONES6005,3,Access - Straight Booms,Access - Knuckle Booms,Welders - Motorised,55,0.257009
WHYA,ONES6005,3,Access - Straight Booms,Welders - Motorised,Access - Knuckle Booms,56,0.875
WHYA,ONES6005,3,Access - Straight Booms,Welders - Motorised,Access - Straight Booms,59,0.921875
WHYA,ONES6005,3,Access - Straight Booms,Access - Scissor Lifts,Access - Knuckle Booms,86,0.851485
WHYA,ONES6005,3,Access - Straight Booms,Access - Scissor Lifts,Access - Scissor Lifts,60,0.594059
