customer_code,Sub_Type_V2,revenue,tot_revenue,subtype_weight
3FOL6000,FSL,248.32,34235.22,0.0072
3FOL6000,VCWD,618.6,34235.22,0.018
3FOL6000,CLR.1,2526.12,34235.22,0.0737
3FOL6000,PLTT,4073.43,34235.22,0.1189
3FOL6000,FKT,9566.53,34235.22,0.2794
3FOL6000,SL.1,17202.22,34235.22,0.5024
9AAA0001,SUC,35.86,44305.94,0.0008
9AAA0001,EA,43.55,44305.94,0.0009
9AAA0001,OXYS,65.45,44305.94,0.0014
9AAA0001,WTRB,92.12,44305.94,0.002
9AAA0001,PLTT,114.74,44305.94,0.0025
9AAA0001,SA,122.18,44305.94,0.0027
9AAA0001,FLST,135.76,44305.94,0.003
9AAA0001,VCCL,148.68,44305.94,0.0033
9AAA0001,GRAG,164.03,44305.94,0.0037
9AAA0001,CHEP,165.17,44305.94,0.0037
9AAA0001,TRSC,178.42,44305.94,0.004
9AAA0001,WBHD,412.73,44305.94,0.0093
9AAA0001,DRLH,440,44305.94,0.0099
9AAA0001,CPTD,522.29,44305.94,0.0117
9AAA0001,FGSH,616.17,44305.94,0.0139
9AAA0001,VMH,870.87,44305.94,0.0196
9AAA0001,DSAW.1,1731.31,44305.94,0.039
9AAA0001,CMWR,2667,44305.94,0.0601
9AAA0001,CFG,3647.6,44305.94,0.0823
9AAA0001,VCWD,7102.36,44305.94,0.1603
9AAA0001,BRDR,25029.65,44305.94,0.5649
9AUS0005,GEN.1.1,10400,10400,1
9BAL0002,MSB,23115,23115,1
9BAZ0001,LT,22948.85,22948.85,1
9CUS0001,TREQ,40.4,5235.2,0.0077
9CUS0001,PHD,96.97,5235.2,0.0185
9CUS0001,PUSM,155.25,5235.2,0.0296
9CUS0001,DG7,169.71,5235.2,0.0324
9CUS0001,DUNI,169.71,5235.2,0.0324
9CUS0001,RSDD,202.03,5235.2,0.0385
9CUS0001,PUSU,358.03,5235.2,0.0683
9CUS0001,MILD,672.81,5235.2,0.1285
9CUS0001,E.1.1,914.74,5235.2,0.1747
9CUS0001,SL.1,1186.86,5235.2,0.2267
9CUS0001,WLCS,1268.69,5235.2,0.2423
9ELE0001,WTRB,142.55,11646.78,0.0122
9ELE0001,TPB,357.34,11646.78,0.0306
9ELE0001,VMH,2062.28,11646.78,0.177
9ELE0001,RSDD,9084.61,11646.78,0.78
9EXP0003,EXFA,276.36,5299.13,0.0521
9EXP0003,DRLC,562.32,5299.13,0.1061
9EXP0003,GRAG,717.6,5299.13,0.1354
9EXP0003,VCWD,816.96,5299.13,0.1541
9EXP0003,DRLH,848.4,5299.13,0.1601
9EXP0003,BRDR,1030.37,5299.13,0.1944
9EXP0003,VCCB,1047.12,5299.13,0.1976
9JIM0002,RSSD,850.92,5943.42,0.1431
9JIM0002,E.1,5092.5,5943.42,0.8568
9KMA0001,SBL,307,5065.8,0.0606
9KMA0001,SL.1,1302,5065.8,0.257
9KMA0001,KB,3456.8,5065.8,0.6823
9LCD0001,SBL,1071.11,9221.83,0.1161
9LCD0001,TM,8150.72,9221.83,0.8838
9LEX0001,MSB,10718.29,10718.29,1
9NOR0002,MSB,7710,7710,1
9PRO0001,DSAW.1,116.25,18204.74,0.0063
9PRO0001,PHD,196.63,18204.74,0.0108
9PRO0001,MILD,200,18204.74,0.0109
9PRO0001,CNR,223.86,18204.74,0.0122
9PRO0001,TPB,262.75,18204.74,0.0144
9PRO0001,SL.1,580.39,18204.74,0.0318
9PRO0001,SSL,2420.73,18204.74,0.1329
9PRO0001,TRTI,5136.16,18204.74,0.2821
9PRO0001,E.1.1,9067.97,18204.74,0.4981
9ROC0001,MSB,13369.18,13369.18,1
9SIL0001,WDMA,674.75,6306.95,0.1069
9SIL0001,PULG,1217.6,6306.95,0.193
9SIL0001,WTRB,1654.6,6306.95,0.2623
9SIL0001,GEN.1,2760,6306.95,0.4376
9THE0008,MSB,17910,17910,1
9UNI0001,KB,3255.86,11575.86,0.2812
9UNI0001,MSB,8320,11575.86,0.7187
9WES0001,SBL,6969.69,41454.69,0.1681
9WES0001,KB,34485,41454.69,0.8318
9WOR0002,FSL,130.95,20039.38,0.0065
9WOR0002,SPHE,155.55,20039.38,0.0077
9WOR0002,EXFA,160,20039.38,0.0079
9WOR0002,UTE,174.78,20039.38,0.0087
9WOR0002,VCWD,630,20039.38,0.0314
9WOR0002,SL,690,20039.38,0.0344
9WOR0002,FKT,900,20039.38,0.0449
9WOR0002,LT,1200,20039.38,0.0598
9WOR0002,SL.1,1273.52,20039.38,0.0635
9WOR0002,TEL,4284.44,20039.38,0.2138
9WOR0002,MSB,10440.14,20039.38,0.5209
A1EA9238,DG7,472,121405.14,0.0038
A1EA9238,PUSL,576.34,121405.14,0.0047
A1EA9238,PULG,780,121405.14,0.0064
A1EA9238,DSAW.1,945.81,121405.14,0.0077
A1EA9238,RCS,1076.15,121405.14,0.0088
A1EA9238,RSDD,2000,121405.14,0.0164
A1EA9238,CMPR,2033.95,121405.14,0.0167
A1EA9238,RSSD,2622.32,121405.14,0.0215
A1EA9238,PBS,2987.01,121405.14,0.0246
A1EA9238,PUSM,3288.52,121405.14,0.027
A1EA9238,RTP,3566.12,121405.14,0.0293
A1EA9238,DUNI,4135.77,121405.14,0.034
A1EA9238,ABL,5952.73,121405.14,0.049
A1EA9238,WSTE,6201.4,121405.14,0.051
A1EA9238,E.1.1,6804.04,121405.14,0.056
A1EA9238,RCD,8580,121405.14,0.0706
A1EA9238,PC,9207.78,121405.14,0.0758
A1EA9238,RPSD,9880,121405.14,0.0813
A1EA9238,GEN.1,18000,121405.14,0.1482
A1EA9238,WC,32295.2,121405.14,0.266
AABE3094,RFG,131.22,5918.46,0.0221
AABE3094,AIRC,275.4,5918.46,0.0465
AABE3094,E.1.1,1229.46,5918.46,0.2077
AABE3094,SSL,1944.72,5918.46,0.3285
AABE3094,PBS,2337.66,5918.46,0.3949
AAPC7257,WDMA,122.02,11707.45,0.0104
AAPC7257,PUSU,152.7,11707.45,0.013
AAPC7257,VSPP,208.48,11707.45,0.0178
AAPC7257,TM,231.75,11707.45,0.0197
AAPC7257,SL.1,333.73,11707.45,0.0285
AAPC7257,AOBR,355.55,11707.45,0.0303
AAPC7257,VCWD,824.23,11707.45,0.0704
AAPC7257,CMPR,1546.75,11707.45,0.1321
AAPC7257,E.1.1,7932.24,11707.45,0.6775
AARD6059,VMH,122.45,9227.34,0.0132
AARD6059,FLO,193.5,9227.34,0.0209
AARD6059,BRDR,519.55,9227.34,0.0563
AARD6059,SL.1,1038.52,9227.34,0.1125
AARD6059,E.1.1,7353.32,9227.34,0.7969
AARG1009,CDST,496.32,5825.37,0.0851
AARG1009,CDS,5329.05,5825.37,0.9148
AARG7038,CDS,458.36,14509.88,0.0315
AARG7038,PBS,14051.52,14509.88,0.9684
AARO1862,E.1.1,11653,11653,1
AARV6000,WBHD,25.88,10712.05,0.0024
AARV6000,PBS,50.84,10712.05,0.0047
AARV6000,TPB,112.28,10712.05,0.0104
AARV6000,DSAW.1,124.98,10712.05,0.0116
AARV6000,WDMA,400,10712.05,0.0373
AARV6000,GEN,498.44,10712.05,0.0465
AARV6000,BRDR,621.36,10712.05,0.058
AARV6000,CHS,663,10712.05,0.0618
AARV6000,KB,2265.97,10712.05,0.2115
AARV6000,SL.1,5949.3,10712.05,0.5553
ABAC6001,PC,67,16028.3,0.0041
ABAC6001,DG7,89.94,16028.3,0.0056
ABAC6001,CNR,144,16028.3,0.0089
ABAC6001,PHD,150.3,16028.3,0.0093
ABAC6001,PUSM,246.45,16028.3,0.0153
ABAC6001,DUNI,264.24,16028.3,0.0164
ABAC6001,RSDD,282.8,16028.3,0.0176
ABAC6001,PBS,286.62,16028.3,0.0178
ABAC6001,SL.1,372,16028.3,0.0232
ABAC6001,WSTE,1521.44,16028.3,0.0949
ABAC6001,TBK,2220,16028.3,0.1385
ABAC6001,ABL,2916.62,16028.3,0.1819
ABAC6001,TPB,3249.87,16028.3,0.2027
ABAC6001,TLT,4217.02,16028.3,0.263
ABAX6000,TLI,7570,7570,1
ABBA1007,SL,57.2,93377.76,0.0006
ABBA1007,VCWD,93.4,93377.76,0.001
ABBA1007,WAAG,111.99,93377.76,0.0011
ABBA1007,EXFA,104.7,93377.76,0.0011
ABBA1007,OXYS,117,93377.76,0.0012
ABBA1007,CNR,148.2,93377.76,0.0015
ABBA1007,WDMA,310.2,93377.76,0.0033
ABBA1007,BRDR,346.91,93377.76,0.0037
ABBA1007,TW,411.6,93377.76,0.0044
ABBA1007,CMPT,486.6,93377.76,0.0052
ABBA1007,FKT,711.9,93377.76,0.0076
ABBA1007,KB,1034.4,93377.76,0.011
ABBA1007,CHB,1076.32,93377.76,0.0115
ABBA1007,GEN.1,1440.78,93377.76,0.0154
ABBA1007,SL.1,1456,93377.76,0.0155
ABBA1007,WSTE,1670,93377.76,0.0178
ABBA1007,GRDT,1817.76,93377.76,0.0194
ABBA1007,ABL,2004,93377.76,0.0214
ABBA1007,GSP,6301.12,93377.76,0.0674
ABBA1007,GDK,6486,93377.76,0.0694
ABBA1007,PBS,7043,93377.76,0.0754
ABBA1007,SBL,7649.71,93377.76,0.0819
ABBA1007,GEN.1.1,22578.97,93377.76,0.2418
ABBA1007,SOS,29920,93377.76,0.3204
ABBG6000,RFG,34.02,30291.65,0.0011
ABBG6000,OVEN,47.46,30291.65,0.0015
ABBG6000,VBSX,164.84,30291.65,0.0054
ABBG6000,DUNI,216.35,30291.65,0.0071
ABBG6000,PUSM,234.2,30291.65,0.0077
ABBG6000,FLO,452.48,30291.65,0.0149
ABBG6000,FTRA,523.6,30291.65,0.0172
ABBG6000,VCWD,726.24,30291.65,0.0239
ABBG6000,SSL,930.9,30291.65,0.0307
ABBG6000,SL.1,1770.72,30291.65,0.0584
ABBG6000,GEN.1.1,1875,30291.65,0.0618
ABBG6000,CMPR,3586.28,30291.65,0.1183
ABBG6000,GEN.1,19729.56,30291.65,0.6513
ABER0208,PBS,8.57,23172.48,0.0003
ABER0208,CHSW,44.13,23172.48,0.0019
ABER0208,LMRK,48.78,23172.48,0.0021
ABER0208,DSAW.1,60.16,23172.48,0.0025
ABER0208,GEN.1,101.32,23172.48,0.0043
ABER0208,EA,112.86,23172.48,0.0048
ABER0208,RSDD,130.71,23172.48,0.0056
ABER0208,TM,150.64,23172.48,0.0065
ABER0208,OXYS,299.2,23172.48,0.0129
ABER0208,CMPR,385.24,23172.48,0.0166
ABER0208,CSET,437.97,23172.48,0.0189
ABER0208,SCBR,482.08,23172.48,0.0208
ABER0208,JACK,497.86,23172.48,0.0214
ABER0208,DRMB,617.35,23172.48,0.0266
ABER0208,VCWD,629.56,23172.48,0.0271
ABER0208,PRK,801.45,23172.48,0.0345
ABER0208,DRLC,931.28,23172.48,0.0401
ABER0208,RSSD,1162.98,23172.48,0.0501
ABER0208,PC,1208.75,23172.48,0.0521
ABER0208,SL.1,5943.95,23172.48,0.2565
ABER0208,KB,9117.64,23172.48,0.3934
ABER7777,DSAW.1,58.74,130990.04,0.0004
ABER7777,HTQ,58.5,130990.04,0.0004
ABER7777,PLTT,74.5,130990.04,0.0005
ABER7777,TRBC,78.98,130990.04,0.0006
ABER7777,BKSC,102.78,130990.04,0.0007
ABER7777,DUNI,114.95,130990.04,0.0008
ABER7777,CTM,131.67,130990.04,0.001
ABER7777,CNBF,142.94,130990.04,0.001
ABER7777,DRLC,166.3,130990.04,0.0012
ABER7777,CMWR,183.88,130990.04,0.0014
ABER7777,PUSM,199.64,130990.04,0.0015
ABER7777,AOBR,226.78,130990.04,0.0017
ABER7777,MLTC,263.76,130990.04,0.002
ABER7777,VBFX,327.47,130990.04,0.0024
ABER7777,IWR,362.4,130990.04,0.0027
ABER7777,RTP,392.32,130990.04,0.0029
ABER7777,HYCY,437.4,130990.04,0.0033
ABER7777,CNCS,507.71,130990.04,0.0038
ABER7777,VCWD,524.03,130990.04,0.004
ABER7777,EA,617.76,130990.04,0.0047
ABER7777,HTP,731.25,130990.04,0.0055
ABER7777,LHC,815.14,130990.04,0.0062
ABER7777,BRDR,860.17,130990.04,0.0065
ABER7777,LPL,872.65,130990.04,0.0066
ABER7777,CMPR,917.52,130990.04,0.007
ABER7777,CPHP,976.56,130990.04,0.0074
ABER7777,TQW,1096.88,130990.04,0.0083
ABER7777,GEN,1184,130990.04,0.009
ABER7777,GDK,1668.3,130990.04,0.0127
ABER7777,E.1.1,1859.68,130990.04,0.0141
ABER7777,DRLH,2959.66,130990.04,0.0225
ABER7777,PULG,3078.18,130990.04,0.0234
ABER7777,CMPR.1.1.1,3619.44,130990.04,0.0276
ABER7777,MILD,4778.03,130990.04,0.0364
ABER7777,PUSL,6405.42,130990.04,0.0489
ABER7777,SBL,11468.31,130990.04,0.0875
ABER7777,GEN.1,12046.66,130990.04,0.0919
ABER7777,KB,25531.48,130990.04,0.1949
ABER7777,PHH,45148.2,130990.04,0.3446
ABER9219,SBB,15.3,19094,0.0008
ABER9219,CNBF,29.16,19094,0.0015
ABER9219,EXFA,35.7,19094,0.0018
ABER9219,WLDR,35.83,19094,0.0018
ABER9219,VCWD,43.46,19094,0.0022
ABER9219,VSPP,45.86,19094,0.0024
ABER9219,CNCS,66.99,19094,0.0035
ABER9219,PHD,74.2,19094,0.0038
ABER9219,LPL,166.04,19094,0.0086
ABER9219,GEN,178.41,19094,0.0093
ABER9219,CPHP,186.8,19094,0.0097
ABER9219,CMPR,288.93,19094,0.0151
ABER9219,TM,301.28,19094,0.0157
ABER9219,HYCY,337.5,19094,0.0176
ABER9219,PC,361.57,19094,0.0189
ABER9219,WTRB,389.28,19094,0.0203
ABER9219,LVL,448.36,19094,0.0234
ABER9219,AOBR,471.84,19094,0.0247
ABER9219,TPB,654.9,19094,0.0342
ABER9219,PUSM,713.55,19094,0.0373
ABER9219,OXYS,2233.92,19094,0.1169
ABER9219,KB,2538.9,19094,0.1329
ABER9219,SSC,4661.78,19094,0.2441
ABER9219,GEN.1,4814.44,19094,0.2521
ABIG1003,GRAG,9.6,43590.35,0.0002
ABIG1003,VBFX,13.72,43590.35,0.0003
ABIG1003,TRBC,24.2,43590.35,0.0005
ABIG1003,VCWD,27.56,43590.35,0.0006
ABIG1003,BRDR,38,43590.35,0.0008
ABIG1003,CMPR,58.26,43590.35,0.0013
ABIG1003,SCIR,59.04,43590.35,0.0013
ABIG1003,EXFA,72.71,43590.35,0.0016
ABIG1003,SL.1,97.5,43590.35,0.0022
ABIG1003,RFG,119.88,43590.35,0.0027
ABIG1003,VBSF,126.22,43590.35,0.0028
ABIG1003,AIRC,133.5,43590.35,0.003
ABIG1003,UTE,200,43590.35,0.0045
ABIG1003,DRLS,204.12,43590.35,0.0046
ABIG1003,WTRB,218.18,43590.35,0.005
ABIG1003,SPHE,278.8,43590.35,0.0063
ABIG1003,PIPE,285.6,43590.35,0.0065
ABIG1003,WL,300,43590.35,0.0068
ABIG1003,CNR,329.13,43590.35,0.0075
ABIG1003,WSTE,360,43590.35,0.0082
ABIG1003,GEN,436.88,43590.35,0.01
ABIG1003,MSB,500,43590.35,0.0114
ABIG1003,DUNI,536.44,43590.35,0.0123
ABIG1003,ABL,540,43590.35,0.0123
ABIG1003,PUSM,615.72,43590.35,0.0141
ABIG1003,COOL,717.8,43590.35,0.0164
ABIG1003,CMWR,808.5,43590.35,0.0185
ABIG1003,TM,991.28,43590.35,0.0227
ABIG1003,VCCL,990.08,43590.35,0.0227
ABIG1003,RCS,1014.13,43590.35,0.0232
ABIG1003,PBS,1131.19,43590.35,0.0259
ABIG1003,FSL,1294.95,43590.35,0.0297
ABIG1003,OXYS,1671.06,43590.35,0.0383
ABIG1003,KB,1844.82,43590.35,0.0423
ABIG1003,PTB,1918.12,43590.35,0.044
ABIG1003,RSSD,2070,43590.35,0.0474
ABIG1003,PC,2531.9,43590.35,0.058
ABIG1003,DSAW.1,2852.37,43590.35,0.0654
ABIG1003,RSDD,3045.23,43590.35,0.0698
ABIG1003,TPB,3278.86,43590.35,0.0752
ABIG1003,DG7,4080,43590.35,0.0935
ABIG1003,GEN.1,7765,43590.35,0.1781
ABLE4455,TLI,5130,24483.09,0.2095
ABLE4455,LT,5733.09,24483.09,0.2341
ABLE4455,MSB,13620,24483.09,0.5563
ABLE6008,RCS,65.63,30216.22,0.0021
ABLE6008,GEN,91.63,30216.22,0.003
ABLE6008,PHD,229.98,30216.22,0.0076
ABLE6008,DSAW.1,342.88,30216.22,0.0113
ABLE6008,PUSU,374.22,30216.22,0.0123
ABLE6008,SAW.1,379.8,30216.22,0.0125
ABLE6008,BRDR,425.79,30216.22,0.014
ABLE6008,RTP,506.22,30216.22,0.0167
ABLE6008,SL.1,770,30216.22,0.0254
ABLE6008,TPB,882.18,30216.22,0.0291
ABLE6008,VCWD,931.69,30216.22,0.0308
ABLE6008,RPSD,1120,30216.22,0.037
ABLE6008,RSDD,1166.52,30216.22,0.0386
ABLE6008,WTRB,1910.28,30216.22,0.0632
ABLE6008,UTE,2000,30216.22,0.0661
ABLE6008,RSSD,2640,30216.22,0.0873
ABLE6008,SSL,5379.4,30216.22,0.178
ABLE6008,E.1,11000,30216.22,0.364
ABON6000,AOBR,55.76,8399.65,0.0066
ABON6000,CMPR,8343.89,8399.65,0.9933
ABSO6002,DSAW.1,100,21026.16,0.0047
ABSO6002,OXYS,130.9,21026.16,0.0062
ABSO6002,CMPR,172.97,21026.16,0.0082
ABSO6002,PC,335.45,21026.16,0.0159
ABSO6002,GEN.1,383,21026.16,0.0182
ABSO6002,GP30,625,21026.16,0.0297
ABSO6002,CHS,1034.4,21026.16,0.0491
ABSO6002,RTP,3356.28,21026.16,0.1596
ABSO6002,E.1,14888.16,21026.16,0.708
ABSO6006,CFG,68.43,56069.61,0.0012
ABSO6006,PUSU,72.9,56069.61,0.0013
ABSO6006,VCWD,104.5,56069.61,0.0018
ABSO6006,VSPP,101.48,56069.61,0.0018
ABSO6006,VCCL,156.75,56069.61,0.0027
ABSO6006,SSPF,154.45,56069.61,0.0027
ABSO6006,FLST,151.4,56069.61,0.0027
ABSO6006,VMH,195.92,56069.61,0.0034
ABSO6006,TREQ,260.68,56069.61,0.0046
ABSO6006,CNR,261.8,56069.61,0.0046
ABSO6006,VAN,322.38,56069.61,0.0057
ABSO6006,DSAW.1,355.98,56069.61,0.0063
ABSO6006,DRLH,375.83,56069.61,0.0067
ABSO6006,SBIN,463.2,56069.61,0.0082
ABSO6006,AOBR,585.37,56069.61,0.0104
ABSO6006,PUSL,1320,56069.61,0.0235
ABSO6006,PC,1428.62,56069.61,0.0254
ABSO6006,DUNI,1567.86,56069.61,0.0279
ABSO6006,PUSM,1737.34,56069.61,0.0309
ABSO6006,SSC,1757,56069.61,0.0313
ABSO6006,OXYS,1786.68,56069.61,0.0318
ABSO6006,TPB,1792,56069.61,0.0319
ABSO6006,LT,1956.15,56069.61,0.0348
ABSO6006,SSL,3612.33,56069.61,0.0644
ABSO6006,SL.1,3857.36,56069.61,0.0687
ABSO6006,STSD,3920,56069.61,0.0699
ABSO6006,BRDR,6939.9,56069.61,0.1237
ABSO6006,GEN,8736.06,56069.61,0.1558
ABSO6006,E.1,12027.24,56069.61,0.2145
acad6000,AB,103.83,21706.63,0.0047
acad6000,RSDD,285,21706.63,0.0131
acad6000,SAW.1,305.46,21706.63,0.014
acad6000,AD.1,530.91,21706.63,0.0244
acad6000,CNR,961.8,21706.63,0.0443
acad6000,HH.1,1600,21706.63,0.0737
acad6000,COOL,1685,21706.63,0.0776
acad6000,SSL,1853.11,21706.63,0.0853
acad6000,TPB,1931.7,21706.63,0.0889
acad6000,ABL,4384,21706.63,0.2019
acad6000,E.1.1,8065.82,21706.63,0.3715
ACCE2042,KB,1555.54,8516.39,0.1826
ACCE2042,SL.1,3342.99,8516.39,0.3925
ACCE2042,TW,3617.86,8516.39,0.4248
ACCL9621,TREQ,41.21,16947.08,0.0024
ACCL9621,AB,49.29,16947.08,0.0029
ACCL9621,SL.1,62.1,16947.08,0.0036
ACCL9621,AD.1,94.55,16947.08,0.0055
ACCL9621,CHEP,117.98,16947.08,0.0069
ACCL9621,WDMA,156.24,16947.08,0.0092
ACCL9621,SL,157.36,16947.08,0.0092
ACCL9621,DUNI,264.24,16947.08,0.0155
ACCL9621,AOBR,299,16947.08,0.0176
ACCL9621,WTRB,315.64,16947.08,0.0186
ACCL9621,RSDD,326.79,16947.08,0.0192
ACCL9621,HH.1,386.26,16947.08,0.0227
ACCL9621,TEL,442.06,16947.08,0.026
ACCL9621,PUSM,458.98,16947.08,0.027
ACCL9621,CMPR,538.19,16947.08,0.0317
ACCL9621,PC,588.76,16947.08,0.0347
ACCL9621,SSS,616.18,16947.08,0.0363
ACCL9621,HYDM,780.12,16947.08,0.046
ACCL9621,E.1.1,1176.56,16947.08,0.0694
ACCL9621,CPHP,1369.94,16947.08,0.0808
ACCL9621,RSSD,1400,16947.08,0.0826
ACCL9621,LHC,1635.92,16947.08,0.0965
ACCL9621,WC,1677,16947.08,0.0989
ACCL9621,VSL,3992.71,16947.08,0.2355
ACCU6001,DSAW.1,80.81,18057.98,0.0044
ACCU6001,DRLH,140.84,18057.98,0.0077
ACCU6001,MSB,160,18057.98,0.0088
ACCU6001,HH.1,205.25,18057.98,0.0113
ACCU6001,RMTP,1361.34,18057.98,0.0753
ACCU6001,E.1.1,1861.84,18057.98,0.1031
ACCU6001,RSSD,2472.24,18057.98,0.1369
ACCU6001,LT,2482.43,18057.98,0.1374
ACCU6001,RPSD,9293.23,18057.98,0.5146
ACDG5122,GEN,80.61,10571.81,0.0076
ACDG5122,PC,82.03,10571.81,0.0077
ACDG5122,GPL,85,10571.81,0.008
ACDG5122,TURF,117.41,10571.81,0.0111
ACDG5122,CDS,184.25,10571.81,0.0174
ACDG5122,CFG,224.64,10571.81,0.0212
ACDG5122,KB,304.95,10571.81,0.0288
ACDG5122,BRDR,1034.33,10571.81,0.0978
ACDG5122,SL.1,1226.16,10571.81,0.1159
ACDG5122,VMH,7232.43,10571.81,0.6841
ACED7845,VBFX,46.94,36761.8,0.0012
ACED7845,DSAW.1,162.48,36761.8,0.0044
ACED7845,CNR,168,36761.8,0.0045
ACED7845,PUSL,215.25,36761.8,0.0058
ACED7845,PC,219.07,36761.8,0.0059
ACED7845,BRDR,224.32,36761.8,0.0061
ACED7845,RSDD,228.75,36761.8,0.0062
ACED7845,VSPP,275.15,36761.8,0.0074
ACED7845,GEN,303.08,36761.8,0.0082
ACED7845,SL.1,324.12,36761.8,0.0088
ACED7845,CMPR,346.72,36761.8,0.0094
ACED7845,E.1.1,360.09,36761.8,0.0097
ACED7845,AOBR,360.43,36761.8,0.0098
ACED7845,RCS,425.43,36761.8,0.0115
ACED7845,DUNI,597.12,36761.8,0.0162
ACED7845,PBS,623,36761.8,0.0169
ACED7845,VBSX,760.54,36761.8,0.0206
ACED7845,PUSU,1184.9,36761.8,0.0322
ACED7845,PUSM,1368.51,36761.8,0.0372
ACED7845,RSSD,1932.05,36761.8,0.0525
ACED7845,EMV,2625,36761.8,0.0714
ACED7845,TPB,4470.07,36761.8,0.1215
ACED7845,WDMA,5276.98,36761.8,0.1435
ACED7845,STSD,5375,36761.8,0.1462
ACED7845,E.1,8888.8,36761.8,0.2417
ACEL9535,EA,35,10728.84,0.0032
ACEL9535,RCS,65,10728.84,0.006
ACEL9535,TW,110,10728.84,0.0102
ACEL9535,GEN,149,10728.84,0.0138
ACEL9535,PUSU,240,10728.84,0.0223
ACEL9535,SL.1,420,10728.84,0.0391
ACEL9535,TM,1944.24,10728.84,0.1812
ACEL9535,SBL,2107.91,10728.84,0.1964
ACEL9535,GEN.1.1,2400,10728.84,0.2236
ACEL9535,KB,3257.69,10728.84,0.3036
ACHC1025,RCS,84.42,10905.22,0.0077
ACHC1025,EB,102.62,10905.22,0.0094
ACHC1025,BRDR,110.05,10905.22,0.01
ACHC1025,TREQ,123.63,10905.22,0.0113
ACHC1025,TPB,134.12,10905.22,0.0122
ACHC1025,RSAW,153.94,10905.22,0.0141
