cluster_id,product_type
6,136
5,102
5,103
5,104
5,105
6,133
5,100
5,101
6,129
6,127
6,145
6,146
6,147
6,148
6,141
6,142
6,143
6,140
6,139
6,138
6,110
6,111
6,114
6,115
6,112
6,113
3,103
3,102
3,101
3,107
3,106
3,105
3,104
6,107
6,106
6,105
6,109
6,123
6,124
6,125
6,126
6,118
5,469
6,102
6,101
6,104
6,103
5,471
5,491
3,163
3,162
3,165
3,161
3,160
3,167
3,166
3,169
3,168
5,1
5,6
5,5
5,4
5,3
3,154
3,153
3,152
3,151
3,150
3,159
3,158
3,157
3,156
3,155
3,183
3,182
3,185
3,184
3,187
3,186
3,189
3,188
1,301
1,302
1,303
1,305
1,306
3,172
3,171
3,176
3,175
3,174
3,173
3,178
3,177
1,79
1,75
1,74
1,77
1,71
1,318
1,70
1,73
1,72
1,314
3,119
1,313
1,312
1,311
3,126
3,127
3,128
3,129
3,123
3,124
1,308
3,125
3,121
1,69
1,321
1,68
1,320
1,67
1,66
1,65
1,64
1,63
1,327
1,62
1,61
1,60
1,328
1,322
3,109
3,108
3,117
3,118
3,115
3,116
3,113
1,319
3,114
3,111
3,112
3,110
1,97
1,96
1,99
1,98
1,331
1,91
1,333
1,90
1,93
1,92
1,95
1,94
3,144
3,145
3,146
3,147
3,148
3,149
5,8
3,140
5,7
3,141
3,142
3,143
5,9
1,87
1,86
1,85
1,80
1,345
1,346
1,84
1,83
1,82
1,81
3,135
3,136
3,133
3,134
3,139
3,138
3,131
3,132
3,130
1,17
4,138
1,16
4,139
4,136
1,19
1,18
4,134
4,135
4,132
4,133
4,130
4,131
1,367
1,20
1,21
1,22
2,445
1,23
1,24
1,362
1,25
1,26
4,129
4,147
4,148
1,29
4,149
1,28
1,27
4,143
4,144
4,145
4,146
4,140
4,141
4,142
1,356
2,430
1,358
1,32
2,435
1,33
1,30
1,31
1,36
1,37
1,353
1,34
1,35
4,113
4,110
4,111
4,116
1,39
4,117
1,38
4,114
1,40
1,45
2,466
1,46
4,109
1,47
4,107
1,385
1,48
1,382
1,41
1,42
1,43
1,44
4,121
4,123
4,124
4,125
4,126
4,128
1,49
1,50
1,51
1,377
1,379
1,58
4,119
1,374
1,59
4,118
1,375
1,56
1,376
1,57
1,54
1,55
1,52
2,459
1,53
0,282
3,199
0,283
0,284
0,285
0,286
0,287
0,289
3,191
3,192
3,193
3,195
3,196
3,197
3,198
3,190
0,281
0,280
0,273
0,274
0,271
0,272
0,277
0,278
0,275
0,276
4,104
4,103
0,279
4,106
4,105
4,102
4,101
1,391
1,398
2,471
2,474
0,270
0,299
0,297
0,298
0,295
0,296
0,293
0,294
1,15
1,14
1,13
1,12
1,11
1,10
0,292
0,291
0,249
0,248
0,247
0,246
0,241
0,240
0,245
0,244
0,243
0,242
0,236
0,235
0,238
0,237
0,239
0,230
0,232
0,231
0,234
0,233
4,198
4,199
0,3
0,1
0,269
0,0
0,268
4,190
0,7
4,191
0,266
0,6
4,192
0,5
0,265
4,193
0,4
0,264
0,263
4,195
0,262
4,196
0,9
0,261
0,8
0,260
0,258
0,257
0,259
0,254
0,253
0,256
0,255
0,250
0,252
0,251
2,401
4,173
4,172
4,175
4,174
0,200
0,201
4,170
0,204
0,205
0,202
0,203
0,208
0,209
0,206
4,179
4,178
0,207
4,182
4,180
4,189
4,188
4,187
2,420
2,423
2,427
0,222
0,223
0,220
0,221
4,151
4,153
4,152
4,155
4,154
0,228
4,157
0,229
4,156
0,226
4,159
0,227
4,158
0,224
0,225
2,412
4,160
0,210
0,211
0,212
4,164
4,163
4,162
4,161
4,168
0,217
0,218
4,167
0,219
4,166
4,165
0,213
0,214
0,215
0,216
4,169
4,506
6,231
5,200
5,201
6,236
5,202
5,203
5,204
6,234
6,228
6,227
6,226
4,516
0,300
0,302
0,301
0,303
6,244
0,306
0,305
6,246
0,308
6,247
0,307
6,238
6,237
6,250
6,257
5,223
5,225
6,256
5,226
5,220
6,254
5,217
6,249
6,248
5,218
6,260
5,215
6,268
6,269
5,213
5,210
6,262
5,211
6,264
6,265
0,99
0,98
5,208
6,259
0,97
0,96
5,206
0,95
5,205
0,94
0,93
0,92
0,91
0,90
6,201
6,203
6,211
6,210
3,472
3,471
6,208
6,207
3,475
6,205
6,223
6,220
6,217
6,218
3,450
3,451
3,466
3,463
3,434
3,430
3,427
3,444
3,440
2,101
2,103
2,104
2,105
2,106
2,107
2,108
3,439
1,213
1,218
1,217
2,109
1,210
3,415
3,405
2,111
3,406
2,110
2,118
2,117
1,209
2,116
2,115
2,114
2,112
1,223
1,226
1,225
1,228
1,227
1,229
4,6
3,421
4,7
4,4
4,5
1,220
4,3
3,424
4,1
2,128
2,129
2,124
2,123
2,126
2,125
4,9
4,8
2,133
2,132
2,131
2,136
2,135
2,134
2,139
2,138
1,205
1,208
1,207
1,202
3,403
3,401
3,400
2,140
2,142
2,144
2,143
2,147
2,149
2,169
2,167
2,168
2,161
2,162
2,160
2,166
2,163
1,265
1,266
1,263
3,503
1,261
1,262
1,269
1,267
1,268
2,156
2,158
2,159
2,150
2,151
2,152
2,153
2,154
1,253
1,254
1,255
1,250
1,256
1,257
1,259
2,189
2,187
2,188
2,185
2,186
2,183
1,244
1,241
1,242
1,247
1,248
1,245
1,246
1,249
2,179
2,174
2,177
2,172
1,231
1,232
1,233
1,234
1,235
1,237
1,238
5,199
5,198
5,195
5,193
5,192
5,191
2,193
2,192
2,195
1,291
2,197
2,196
2,199
2,198
6,507
6,501
1,296
1,293
1,292
2,190
2,191
1,280
1,289
1,282
1,281
1,288
1,285
0,394
0,395
0,392
0,393
0,398
0,399
0,396
0,397
1,279
1,278
0,391
0,390
1,271
1,275
1,277
1,276
0,34
0,33
6,39
0,36
0,35
6,37
0,30
6,38
6,35
0,32
6,36
0,31
6,33
6,34
0,380
6,32
4,489
6,30
0,388
5,150
0,387
5,151
0,386
5,152
0,385
0,384
0,383
0,382
0,381
5,157
5,158
5,159
0,26
5,153
0,27
5,154
0,28
5,155
0,29
5,156
0,389
0,47
0,46
0,45
0,44
4,472
6,46
0,43
0,42
6,47
6,48
0,41
6,49
0,40
6,42
6,43
6,44
6,45
4,479
6,40
4,477
6,41
5,162
6,192
0,375
6,193
0,374
5,163
5,160
0,377
5,161
0,376
0,371
0,370
0,373
6,191
0,372
5,168
5,169
0,39
0,379
5,166
5,167
0,378
0,37
5,164
6,198
0,38
6,199
6,59
0,10
6,57
6,58
0,12
0,11
0,14
0,13
6,51
6,52
6,50
6,55
6,56
6,53
6,54
0,362
0,361
0,360
0,366
0,365
5,173
0,364
5,174
0,363
0,369
0,368
0,367
5,179
0,21
6,68
0,20
6,69
0,25
0,24
0,23
0,22
6,60
6,61
6,62
6,63
6,65
6,66
5,181
0,351
0,350
5,184
0,353
0,352
5,182
0,354
0,17
0,357
0,18
0,356
0,15
0,359
5,187
0,16
0,358
0,19
0,70
0,71
0,72
4,444
4,445
0,77
0,78
0,79
0,73
5,106
5,107
0,74
0,75
5,108
0,76
5,114
6,169
5,113
5,116
6,168
0,349
5,110
6,165
0,348
6,164
0,345
5,112
5,111
0,346
6,163
4,438
6,162
6,161
0,344
0,341
0,342
0,82
0,83
0,80
0,81
4,433
0,88
0,89
5,119
0,86
0,87
0,84
5,117
0,85
5,118
5,127
0,338
6,156
5,126
0,339
5,125
5,124
6,158
6,153
5,123
0,334
0,335
6,152
0,336
5,121
6,155
0,337
0,330
0,331
4,427
0,332
0,333
4,426
4,467
6,12
6,11
6,10
0,50
5,128
6,16
0,51
5,129
0,52
6,15
6,14
0,53
0,54
6,13
0,55
6,19
0,56
0,57
6,18
6,17
0,58
1,1
5,132
0,49
0,325
5,131
1,2
0,48
6,187
0,326
5,134
0,323
5,133
0,324
0,329
5,135
5,138
0,327
0,328
1,9
1,7
1,8
1,5
0,321
0,322
6,183
1,3
6,182
1,4
6,21
0,60
0,61
6,20
6,23
6,22
6,25
0,64
4,450
6,24
0,65
0,309
6,27
0,62
5,139
0,63
6,26
6,29
0,68
6,28
0,69
0,66
0,67
5,145
0,312
5,144
0,313
5,143
0,314
0,59
5,142
0,315
0,316
5,149
5,148
0,317
5,147
0,318
5,146
0,319
5,141
6,171
5,140
6,170
0,310
6,172
0,311
3,358
6,329
3,357
6,325
5,245
5,246
3,351
5,247
3,350
5,248
5,241
5,244
6,330
3,369
3,365
5,236
3,360
6,97
5,234
3,362
6,99
5,232
6,94
5,233
6,93
6,96
6,95
6,90
6,91
6,92
5,229
5,228
5,227
6,344
6,345
6,340
5,260
5,261
6,308
5,262
3,379
5,263
3,370
6,85
6,84
6,83
6,82
5,267
3,374
6,89
5,268
6,88
3,372
6,87
5,269
6,86
3,98
6,81
3,99
3,94
3,95
3,96
3,97
3,90
3,91
3,93
3,387
6,314
3,386
6,79
6,316
6,317
5,250
1,501
6,72
5,254
6,71
6,74
6,73
5,253
6,75
5,256
6,78
6,77
5,249
3,89
3,88
6,70
3,85
3,86
3,83
3,84
3,81
6,322
3,82
6,321
6,323
3,395
5,289
3,393
3,392
5,285
5,287
5,282
5,284
3,399
6,377
5,277
5,275
5,274
5,273
5,272
5,270
6,385
3,9
6,355
5,299
5,296
5,291
6,358
6,366
3,34
3,35
3,32
3,33
3,38
3,39
3,36
3,37
2,250
2,254
3,30
3,31
2,253
3,29
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
2,261
2,260
2,262
2,265
3,20
3,3
3,4
3,1
3,7
3,8
3,5
3,19
3,18
3,0
3,16
3,17
3,14
2,238
2,237
3,15
3,12
2,236
2,235
3,13
2,234
3,10
2,233
3,11
2,232
2,231
2,249
2,248
2,245
2,244
2,247
2,246
2,243
2,242
3,304
3,302
3,71
4,421
3,70
3,307
3,75
3,74
2,210
3,309
3,73
3,308
3,72
3,79
3,78
3,77
2,211
3,76
2,217
2,218
2,215
2,216
0,404
0,405
2,209
0,406
2,208
0,407
0,400
0,401
0,402
0,403
3,313
3,314
3,315
3,316
3,310
3,311
3,312
3,60
3,62
3,61
3,318
2,220
3,64
4,414
3,317
3,63
3,66
3,65
2,223
3,68
3,67
3,69
2,227
2,228
2,229
2,219
4,405
3,326
3,327
3,325
3,322
3,323
3,321
3,329
3,53
4,403
3,52
3,328
4,400
3,51
3,50
0,419
3,59
3,58
3,57
3,56
3,55
3,54
0,422
0,423
0,424
0,425
0,427
0,428
0,429
3,331
3,334
3,335
3,336
0,420
3,338
0,421
3,40
3,42
2,204
3,48
3,47
2,205
2,206
0,409
3,49
2,207
0,408
3,44
2,201
3,43
3,46
2,202
3,45
2,203
0,413
0,414
0,411
0,412
0,417
0,418
0,415
0,416
3,344
3,342
0,410
3,347
0,430
4,329
4,327
4,328
0,434
0,433
0,436
0,435
0,438
0,437
0,439
4,336
4,335
4,334
4,333
4,330
0,443
0,442
0,441
0,440
0,444
