cluster_id,product_type
45,310
45,317
45,318
33,59
45,314
29,32
33,53
29,33
33,54
29,34
33,51
29,35
33,52
33,57
45,319
33,58
29,30
33,55
29,31
30,198
30,199
29,36
29,37
33,50
29,38
29,39
6,145
6,146
6,147
6,141
6,143
15,399
33,49
33,48
6,140
45,303
29,23
26,515
29,24
33,42
29,21
29,22
33,43
33,44
33,45
29,20
33,46
45,308
33,47
29,29
29,27
29,25
29,26
6,110
6,112
25,210
49,344
33,39
33,38
25,216
33,35
33,36
33,33
33,34
33,31
33,32
29,13
33,30
6,108
29,15
29,17
6,105
29,18
30,175
29,19
30,193
30,192
6,123
30,191
6,125
33,27
33,26
49,353
33,29
33,28
33,23
33,24
25,208
33,25
11,392
33,20
33,21
6,116
30,187
49,366
33,93
33,92
33,91
33,98
33,97
33,96
49,374
6,104
49,370
33,85
33,84
33,87
33,86
33,89
33,88
33,72
33,71
33,70
33,79
33,78
33,77
33,76
33,75
31,406
33,74
33,60
33,66
33,69
33,68
33,63
33,62
33,65
33,64
30,119
11,344
30,117
42,248
30,111
42,243
30,110
11,347
30,113
11,346
30,114
11,345
34,317
34,318
15,321
25,279
11,331
31,418
31,419
11,339
11,338
42,254
30,123
11,335
5,5
30,125
29,1
11,334
29,4
30,126
5,4
15,316
30,127
29,3
9,322
29,5
29,7
29,8
29,9
34,329
11,322
11,321
11,320
47,8
42,269
11,326
47,7
47,5
47,4
11,329
47,3
47,1
42,270
47,9
30,108
11,311
30,109
11,310
20,187
11,315
30,104
30,105
31,430
11,316
11,319
42,275
30,101
20,191
42,282
42,283
9,308
42,286
30,154
42,285
30,159
30,158
20,177
11,381
33,13
33,17
33,18
30,162
30,163
20,180
30,164
30,167
30,166
30,169
20,166
30,168
11,379
11,374
11,375
20,173
25,220
30,138
11,369
30,134
22,91
30,133
20,158
30,132
30,139
25,254
30,140
15,386
30,141
15,387
31,490
5,9
30,146
11,357
11,359
30,143
30,142
11,350
11,352
11,353
25,247
15,376
20,150
15,378
34,289
34,282
22,89
22,81
20,125
20,140
22,75
22,71
22,72
22,70
44,27
44,26
44,29
34,268
44,28
34,260
34,265
34,263
20,109
22,68
20,106
22,65
20,101
20,104
44,20
22,60
22,61
44,21
20,103
44,24
44,18
44,17
44,16
44,15
44,19
22,59
22,58
22,53
22,51
22,52
44,10
22,50
44,13
20,111
20,110
44,12
22,48
34,242
34,241
34,248
25,186
25,185
42,211
11,417
42,217
22,44
22,47
22,46
22,39
34,231
25,199
22,38
34,232
34,238
34,236
25,197
42,200
11,422
11,425
11,427
22,32
22,30
22,36
22,34
22,33
11,421
22,26
22,27
45,289
34,223
45,284
34,229
45,281
42,231
42,232
45,291
42,235
22,22
22,25
22,24
22,21
22,20
22,18
34,210
45,297
45,299
15,301
45,293
45,292
9,359
34,218
11,406
42,220
11,400
42,223
42,225
22,13
42,227
22,12
42,228
42,229
22,10
44,82
44,83
44,81
44,84
44,85
45,261
45,262
45,265
45,267
45,268
44,70
44,71
44,72
44,79
45,280
44,74
44,75
44,76
45,270
45,271
45,277
45,275
45,279
45,241
45,242
45,243
45,240
45,249
45,246
45,247
45,248
44,93
44,94
44,96
44,97
44,98
18,1
44,99
45,254
18,5
18,8
45,253
18,7
45,250
18,9
45,256
45,257
44,47
44,46
44,45
44,44
44,42
44,40
7,37
45,223
7,36
7,39
7,38
45,225
45,228
45,227
45,229
7,30
45,220
7,33
7,32
44,48
7,35
7,34
44,49
44,34
44,33
44,36
44,35
44,30
44,32
44,31
45,237
7,28
45,236
7,27
45,235
7,26
7,25
45,234
45,239
45,238
7,29
7,20
7,24
44,37
45,233
44,38
45,231
44,39
7,22
7,21
45,230
44,65
44,63
44,62
44,69
44,67
44,66
49,315
44,61
45,209
44,60
45,206
45,205
45,208
45,207
7,15
45,202
7,14
45,201
7,17
45,204
45,203
7,10
7,13
7,12
44,52
44,51
44,54
44,56
44,58
44,57
44,50
45,219
45,218
45,217
45,213
