cluster_id,subtype_id,subtype_name
4,230,EF
2,340,SRCP
1,400,SPHE
6,471,WHPR
4,442,CMWR
6,269,LVL
1,376,LHC
6,328,OXYS
3,146,PHH
1,28,LNYD
0,91,FAR
5,309,DG7
2,423,FGSH
2,378,TRBC
1,340,SRCP
4,160,MLAG
3,249,VCWD
1,409,PAH
1,333,SST.1
5,226,HYWC
5,351,NGGF
5,14,VCCL
4,306,CNCS
6,416,SSB.1
1,214,CSG
6,121,E.1
5,398,SMOK
4,383,LFTG
3,137,SDCV
1,181,RRC
2,52,STGR
2,289,GEN.1.1
4,281,EBS
3,434,SFLE
2,356,HYCY
3,317,VBHF
1,73,DU
2,444,SAWH
0,408,MCFA
1,218,NGA
5,409,PAH
0,162,CPKK
1,140,RSAW
3,332,SF
0,65,SGUN
1,505,RSDD
2,119,CBKE
1,394,SWJS
4,100,SAFL
5,367,ASC
2,270,PLA
0,299,WLCS
3,245,SL.1
4,465,WLDR
1,14,VCCL
3,295,EVB
1,295,EVB
1,178,SBL
2,25,BCAR
0,35,AIRC
0,482,MLBK
0,95,NBL.1
5,124,MILD
5,419,FCR
5,273,TLI
1,304,TJB
6,194,WBHD
4,170,SFTY
0,318,SAWT
2,209,VBSX
1,190,WBRS
0,219,TW
1,361,LHST
6,14,VCCL
6,325,PUSU
3,3,CPHP
1,72,GRNB
5,381,SHRS
2,152,SPIT
6,472,COOL
6,446,QUE.1
3,359,MLEL
4,331,TEL
3,276,VCCB
5,231,DBL
4,329,E.1.1
4,156,DRLH
2,22,JIB
1,124,MILD
4,110,FKT
4,272,GP30
2,174,SCBR
5,148,ABL
0,375,CFG
6,156,DRLH
1,162,CPKK
1,144,MLTR
3,392,HAC
0,123,RDSY
0,167,IRFA
2,64,CWB
4,335,SBB
6,411,RTRY
4,6,CHB
2,234,AOCH
6,129,GSE
5,444,SAWH
4,313,FST
1,232,SPG
4,9,SOS
1,19,GPC
6,230,EF
0,110,FKT
6,331,TEL
1,245,SL.1
0,508,SWFT
5,248,GSB
3,299,WLCS
0,400,SPHE
1,152,SPIT
6,88,CFSM
3,110,FKT
0,369,LSK
2,148,ABL
5,329,E.1.1
6,277,SBIN
2,66,MSB
5,223,WTRT
0,131,GLL
0,57,VALV
2,115,RSSD
1,198,CTM
3,464,LPL
5,230,EF
5,506,HCP
6,447,HTP
2,457,CUU
3,303,JWH
1,99,HTQ
1,227,SSPF
0,44,TRFU
0,252,GSP
0,26,DRPE
2,268,SDRD
5,368,LT
3,195,PUSL
1,83,YDS
0,156,DRLH
0,78,TRPN
0,6,CHB
1,353,SUC
4,435,SL
4,45,GRAG
1,448,THEO
6,240,WDMA
4,411,RTRY
1,437,VAN
0,502,TIR
1,114,TPB
4,25,BCAR
1,230,EF
1,238,PSF
0,344,VBFX
6,128,EVBR
3,102,CUTR
5,228,TRWC
6,281,EBS
4,216,ELCB
1,484,SSAD
2,354,DRLC
5,208,DBP
0,237,CCY
2,342,SNDB
5,39,DBC
5,199,WPS
3,209,VBSX
5,371,EVTI
4,305,TRCR
2,118,FLO
0,203,PHD
5,505,RSDD
2,412,BRDR
1,332,SF
3,247,GEN
5,394,SWJS
0,76,SPL
2,397,CML
1,188,CBC
5,481,TBK
6,417,GA
5,469,CVY
1,427,SWRA
6,132,LDHR
6,111,EXFA
0,147,UPC
3,56,RMTP
1,10,EHHK
1,31,ICE
5,40,WNCH
4,366,SCRW
3,60,RTP
2,291,TRNS
6,334,SWR
5,91,FAR
2,446,QUE.1
5,281,EBS
0,119,CBKE
1,431,CMPR.1.1.1
6,350,HRH
2,272,GP30
1,134,ARW
2,177,RP
4,400,SPHE
0,361,LHST
2,288,FLCL
0,127,CNBF
1,486,GDK
0,381,SHRS
6,27,IWR
5,146,PHH
3,142,PRK
6,233,CLR.1
0,402,VEXV
3,178,SBL
4,425,PTB
1,345,CSK
5,58,SBF
1,223,WTRT
3,83,YDS
0,28,LNYD
6,216,ELCB
2,27,IWR
4,264,CAPS
1,425,PTB
5,440,GRDR
1,307,CMPR.1.1
5,44,TRFU
2,82,NRU
2,199,WPS
5,254,LSSL
5,285,HV3
4,360,FJC
5,314,NGS
1,406,CPTD
3,322,MLTC
2,328,OXYS
2,243,PULG
1,462,MIN
2,388,RBB
5,441,DAJ
2,220,STSD
5,194,WBHD
4,320,MLK9
1,130,CSL
4,285,HV3
3,395,CHA
0,413,OVA
6,253,HDGE
5,55,PC
4,440,GRDR
0,367,ASC
0,216,ELCB
6,507,ECW
6,427,SWRA
4,346,HYHP.1
4,174,SCBR
1,93,EA
5,486,GDK
5,491,HKSW
4,424,OVEN
6,18,GEN.1.1.1
0,188,CBC
2,286,ENGH
5,127,CNBF
1,257,CMPT
6,394,SWJS
1,442,CMWR
5,412,BRDR
5,502,TIR
5,360,FJC
6,164,GL7
6,418,WL
3,389,SB
5,499,MLCH
0,128,EVBR
0,7,TPG
2,463,WTRB
5,488,TQC
0,311,PFFT
1,354,DRLC
6,2,AOBR
5,389,SB
0,63,URN
6,255,CHSL
3,328,OXYS
1,136,GEN.1
5,493,SCRM
0,302,SPD
5,154,DSSW
5,380,AD.1
6,231,DBL
0,322,MLTC
3,5,FLST
1,115,RSSD
1,277,SBIN
6,259,SSRG
3,27,IWR
1,395,CHA
5,253,HDGE
0,73,DU
0,330,DSAW.1
5,232,SPG
2,395,CHA
6,56,RMTP
6,389,SB
1,493,SCRM
0,149,RCS
3,159,TRNC
0,205,SAW.1
0,470,CNR
2,372,HCPE
3,289,GEN.1.1
3,175,VM 
4,373,RBE
1,221,LNMK
5,180,WRFE
2,410,R2W
6,247,GEN
3,451,CSET
0,52,STGR
4,273,TLI
0,53,WHBR
5,295,EVB
1,303,JWH
1,51,APS
4,231,DBL
0,185,BBQ
6,385,COM
0,225,FGF
3,0,DUNI
5,354,DRLC
3,156,DRLH
0,241,RCBC
2,279,RTRT
2,40,WNCH
3,320,MLK9
4,242,VSU
5,330,DSAW.1
0,290,SLSM
2,259,SSRG
0,38,PFAN
6,39,DBC
6,114,TPB
4,123,RDSY
5,120,GDE
2,247,GEN
1,479,WHE
5,195,PUSL
2,249,VCWD
5,406,CPTD
1,108,CHV
3,396,CDST
1,215,CMXR
4,94,EMV
2,447,HTP
0,283,STLK
1,240,WDMA
5,205,SAW.1
6,451,CSET
