cluster_id,subtype_id,subtype_name
21,230,EF
6,24,HPG
19,124,MILD
22,307,CMPR.1.1
19,266,TM
22,356,HYCY
6,328,OXYS
20,295,EVB
22,311,PFFT
2,378,TRBC
3,249,VCWD
25,368,LT
19,363,HYHP
19,441,DAJ
20,118,FLO
5,226,HYWC
24,44,TRFU
5,14,VCCL
26,266,TM
20,434,SFLE
6,121,E.1
12,56,RMTP
2,289,GEN.1.1
7,423,FGSH
8,222,ELG
20,133,UTE
26,136,GEN.1
7,360,FJC
2,356,HYCY
8,271,XIP
18,60,RTP
8,295,EVB
7,439,TURF
19,490,OSR
8,24,HPG
25,471,WHPR
8,424,OVEN
19,306,CNCS
12,235,EH
10,415,WSTE
2,119,CBKE
14,203,PHD
24,192,SA
16,140,RSAW
22,220,STSD
16,121,E.1
19,102,CUTR
22,240,WDMA
8,340,SRCP
18,412,BRDR
3,245,SL.1
8,373,RBE
21,408,MCFA
9,27,IWR
29,16,CHEP
19,176,ILPG
5,124,MILD
8,410,R2W
5,273,TLI
8,344,VBFX
14,3,CPHP
20,178,SBL
2,209,VBSX
21,287,MEB
10,111,EXFA
7,415,WSTE
22,389,SB
6,325,PUSU
26,365,GRNP
29,198,CTM
25,328,OXYS
19,66,MSB
26,352,PUSM
21,412,BRDR
16,490,OSR
18,51,APS
12,370,GRA
26,161,CNKB
14,346,HYHP.1
18,437,VAN
26,269,LVL
10,364,FSL
8,183,DRLS
4,329,E.1.1
21,150,EB
21,170,SFTY
14,142,PRK
10,106,EXTL
4,156,DRLH
16,247,GEN
5,148,ABL
8,459,SMPB
6,156,DRLH
24,471,WHPR
19,18,GEN.1.1.1
4,6,CHB
29,194,WBHD
14,289,GEN.1.1
16,38,PFAN
23,205,SAW.1
5,456,GTR
10,423,FGSH
21,27,IWR
12,149,RCS
29,439,TURF
22,174,SCBR
9,210,LBLW
26,291,TRNS
14,425,PTB
9,395,CHA
24,13,LCRR
3,110,FKT
2,148,ABL
21,425,PTB
22,183,DRLS
20,379,SCIR
5,329,E.1.1
7,326,SSC
7,3,CPHP
11,378,TRBC
26,93,EA
18,259,SSRG
9,368,LT
13,179,DRMB
19,269,LVL
25,194,WBHD
20,55,PC
25,133,UTE
7,424,OVEN
24,465,WLDR
11,329,E.1.1
19,399,SBV
14,296,MLPD
11,311,PFFT
8,143,HYPK
6,240,WDMA
8,254,LSSL
21,83,YDS
19,358,QCT
26,79,CDVP
2,12,LIN
24,30,CMLN
18,114,TPB
22,160,MLAG
5,82,NRU
21,3,CPHP
22,205,SAW.1
2,412,BRDR
5,505,RSDD
18,81,HH.1
9,475,AORD
22,60,RTP
5,394,SWJS
25,128,EVBR
16,133,UTE
21,243,PULG
19,428,PLNR
20,160,MLAG
5,481,TBK
6,417,GA
20,259,SSRG
20,273,TLI
5,469,CVY
23,472,COOL
18,265,SSPB
18,247,GEN
9,439,TURF
20,115,RSSD
26,354,DRLC
18,299,WLCS
10,63,URN
14,60,RTP
10,38,PFAN
21,82,NRU
29,352,PUSM
21,136,GEN.1
17,3,CPHP
16,434,SFLE
8,2,AOBR
14,299,WLCS
22,279,RTRT
24,227,SSPF
8,27,IWR
8,330,DSAW.1
4,400,SPHE
11,324,PLTT
20,83,YDS
10,74,CMPR
25,199,WPS
21,118,FLO
8,43,PIPT
8,181,RRC
8,210,LBLW
22,71,HSJS
24,483,BRSC
3,178,SBL
5,145,PBE
8,439,TURF
7,418,WL
9,2,AOBR
26,442,CMWR
14,348,KB
29,344,VBFX
