customer_code,Sub_Type_V2,revenue
A1EA9238,ABL,5952.73
A1EA9238,CMPR,2033.95
A1EA9238,DG7,472
A1EA9238,DSAW.1,945.81
A1EA9238,DUNI,4135.77
A1EA9238,E.1.1,6804.04
A1EA9238,GEN.1,18000
A1EA9238,PBS,2987.01
A1EA9238,PC,9207.78
A1EA9238,PULG,780
A1EA9238,PUSL,576.34
A1EA9238,PUSM,3288.52
A1EA9238,RCD,8580
A1EA9238,RCS,1076.15
A1EA9238,RPSD,9880
A1EA9238,RSDD,2000
A1EA9238,RSSD,2622.32
A1EA9238,RTP,3566.12
A1EA9238,WC,32295.2
A1EA9238,WSTE,6201.4
ABBG6000,CMPR,3586.28
ABBG6000,DUNI,216.35
ABBG6000,FLO,452.48
ABBG6000,FTRA,523.6
ABBG6000,GEN.1,19729.56
ABBG6000,GEN.1.1,1875
ABBG6000,OVEN,47.46
ABBG6000,PUSM,234.2
ABBG6000,RFG,34.02
ABBG6000,SL.1,1770.72
ABBG6000,SSL,930.9
ABBG6000,VBSX,164.84
ABBG6000,VCWD,726.24
ABER0208,CHSW,44.13
ABER0208,CMPR,385.24
ABER0208,CSET,437.97
ABER0208,DRLC,931.28
ABER0208,DRMB,617.35
ABER0208,DSAW.1,60.16
ABER0208,EA,112.86
ABER0208,GEN.1,101.32
ABER0208,JACK,497.86
ABER0208,KB,9117.64
ABER0208,LMRK,48.78
ABER0208,OXYS,299.2
ABER0208,PBS,8.57
ABER0208,PC,1208.75
ABER0208,PRK,801.45
ABER0208,RSDD,130.71
ABER0208,RSSD,1162.98
ABER0208,SCBR,482.08
ABER0208,SL.1,5943.95
ABER0208,TM,150.64
ABER0208,VCWD,629.56
ABER7777,AOBR,226.78
ABER7777,BKSC,102.78
ABER7777,BRDR,860.17
ABER7777,CMPR,917.52
ABER7777,CMPR.1.1.1,3619.44
ABER7777,CMWR,183.88
ABER7777,CNBF,142.94
ABER7777,CNCS,507.71
ABER7777,CPHP,976.56
ABER7777,CTM,131.67
ABER7777,DRLC,166.3
ABER7777,DRLH,2959.66
ABER7777,DSAW.1,58.74
ABER7777,DUNI,114.95
ABER7777,E.1.1,1859.68
ABER7777,EA,617.76
ABER7777,GDK,1668.3
ABER7777,GEN,1184
ABER7777,GEN.1,12046.66
ABER7777,HTP,731.25
ABER7777,HTQ,58.5
ABER7777,HYCY,437.4
ABER7777,IWR,362.4
ABER7777,KB,25531.48
ABER7777,LHC,815.14
ABER7777,LPL,872.65
ABER7777,MILD,4778.03
ABER7777,MLTC,263.76
ABER7777,PHH,45148.2
ABER7777,PLTT,74.5
ABER7777,PULG,3078.18
ABER7777,PUSL,6405.42
ABER7777,PUSM,199.64
ABER7777,RTP,392.32
ABER7777,SBL,11468.31
ABER7777,TQW,1096.88
ABER7777,TRBC,78.98
ABER7777,VBFX,327.47
ABER7777,VCWD,524.03
ABER9219,AOBR,471.84
ABER9219,CMPR,288.93
ABER9219,CNBF,29.16
ABER9219,CNCS,66.99
ABER9219,CPHP,186.8
ABER9219,EXFA,35.7
ABER9219,GEN,178.41
ABER9219,GEN.1,4814.44
ABER9219,HYCY,337.5
ABER9219,KB,2538.9
ABER9219,LPL,166.04
ABER9219,LVL,448.36
ABER9219,OXYS,2233.92
ABER9219,PC,361.57
ABER9219,PHD,74.2
ABER9219,PUSM,713.55
ABER9219,SBB,15.3
ABER9219,SSC,4661.78
ABER9219,TM,301.28
ABER9219,TPB,654.9
ABER9219,VCWD,43.46
ABER9219,VSPP,45.86
ABER9219,WLDR,35.83
ABER9219,WTRB,389.28
ACED7845,AOBR,360.43
ACED7845,BRDR,224.32
ACED7845,CMPR,346.72
ACED7845,CNR,168
ACED7845,DSAW.1,162.48
ACED7845,DUNI,597.12
ACED7845,E.1,8888.8
ACED7845,E.1.1,360.09
ACED7845,EMV,2625
ACED7845,GEN,303.08
ACED7845,PBS,623
ACED7845,PC,219.07
ACED7845,PUSL,215.25
ACED7845,PUSM,1368.51
ACED7845,PUSU,1184.9
ACED7845,RCS,425.43
ACED7845,RSDD,228.75
ACED7845,RSSD,1932.05
ACED7845,SL.1,324.12
ACED7845,STSD,5375
ACED7845,TPB,4470.07
ACED7845,VBFX,46.94
ACED7845,VBSX,760.54
ACED7845,VSPP,275.15
ACED7845,WDMA,5276.98
ACTE6000,BRDR,368.46
ACTE6000,CMPR,3960.37
ACTE6000,CNR,4398
ACTE6000,DUNI,54.14
ACTE6000,EF,80
ACTE6000,EXFA,1618.89
ACTE6000,FLO,169.68
ACTE6000,GDK,1704.3
ACTE6000,GEN,421.8
ACTE6000,KB,469.82
ACTE6000,LT,2368.8
ACTE6000,MCFA,568.42
ACTE6000,PULG,648.08
ACTE6000,PUSM,151.11
ACTE6000,RTP,337.78
ACTE6000,SBM,54.14
ACTE6000,SL.1,19183.3
ACTE6000,TM,294.35
ACTE6000,VCWD,113.04
acti5425,AOBR,259.6
acti5425,BRDR,137.36
acti5425,CMPR,2681.42
acti5425,CMPR.1.1,63.63
acti5425,DSAW.1,538
acti5425,DUNI,84
acti5425,ESC,470.4
acti5425,LPL,145.64
acti5425,MILD,720.3
acti5425,PUSM,44.2
acti5425,SL.1,300
acti5425,TM,1277.29
acti5425,VBFX,53.6
acti5425,VSPP,3157.31
acti5425,WBHD,237.9
ACWH6001,ABL,3876
ACWH6001,ABO,44.16
ACWH6001,BRDR,650.5
ACWH6001,DUNI,1130.82
ACWH6001,E.1.1,5192.76
ACWH6001,GEN.1,24950.04
ACWH6001,HYHP.1,1239.87
ACWH6001,HYTK,193.92
ACWH6001,PUSM,1165.74
ACWH6001,RCS,746.6
ACWH6001,RSDD,1393.12
ACWH6001,SL.1,1023.65
ACWH6001,TEL,22913.66
ACWH6001,WSTE,2805
ACWH6001,WTRB,395.96
ACWH6001,WTRT,4479.14
ADSE4818,BRDR,961.4
ADSE4818,CMPR,23933.97
ADSE4818,DBC,55.76
ADSE4818,DSAW.1,85
ADSE4818,FKT,120.4
ADSE4818,FLO,1545.6
ADSE4818,FLTR,387.9
ADSE4818,GEN,3095.19
ADSE4818,GEN.1,581.82
ADSE4818,GRAG,25
ADSE4818,LPL,164.6
ADSE4818,LT,150
ADSE4818,MILD,1409.3
ADSE4818,PBS,21089.79
ADSE4818,PLTT,297.01
ADSE4818,SL.1,8400.97
ADSE4818,SPHE,134
ADSE4818,TAL,160.6
ADSE4818,TM,231.75
ADSE4818,VCCL,504.84
ADSE4818,VCWD,4070.18
ADSE4818,VSPP,80
ADSE4818,WDMA,2480.8
ADSE4818,WRFE,1134.6
ADVA6037,ABL,9638.19
ADVA6037,BRDR,1590.51
ADVA6037,CHSW,70.3
ADVA6037,CNR,2915.44
ADVA6037,CPTD,817.74
ADVA6037,DRLC,98.58
ADVA6037,DRLH,1245.94
ADVA6037,DRMB,1039.68
ADVA6037,DSAW.1,108.6
ADVA6037,E.1,1772.13
ADVA6037,EA,354.7
ADVA6037,EG,256.98
ADVA6037,FLPS,69.07
ADVA6037,GEN,343.81
ADVA6037,GEN.1,2926.04
ADVA6037,GRAG,499.52
ADVA6037,HDGE,51.72
ADVA6037,KB,539.64
ADVA6037,LMWR,42
ADVA6037,OXYS,92.93
ADVA6037,PBS,10765.17
ADVA6037,RSDD,277.75
ADVA6037,SA,58.99
ADVA6037,SBL,2338
ADVA6037,SRCP,51.66
ADVA6037,TEL,24333.06
ADVA6037,TPB,10203.72
ADVA6037,VCWD,1707.36
ADVA6037,VMH,488.04
ADVA6037,WDMA,1284.09
ADVA6037,WSTE,7886.61
AFFI6000,CMPT,129.93
AFFI6000,CRIM,33.89
AFFI6000,E.1.1,255.8
AFFI6000,GEN,45
AFFI6000,HTP,2167.16
AFFI6000,KB,12340
AFFI6000,PHD,115.36
AFFI6000,PUSU,30.26
AFFI6000,SA,90.57
AFFI6000,SL.1,933.7
AFFI6000,SSL,357.93
AFFI6000,TM,3868.2
AFFI6000,TQA,4128.96
AFFI6000,TQC,2383.74
AFFI6000,TW,120
AIRL1008,BRDR,133.04
AIRL1008,CHB,666.04
AIRL1008,CHEP,117.98
AIRL1008,CHSW,37.53
AIRL1008,CMPR,2375.5
AIRL1008,CNBF,66.26
AIRL1008,CPHP,850.83
AIRL1008,CSET,277.2
AIRL1008,DBL,3070.08
AIRL1008,DRMB,113.13
AIRL1008,DSAW.1,87.36
AIRL1008,E.1.1,1045.28
AIRL1008,EB,156.76
AIRL1008,EXFA,251.68
AIRL1008,EXTL,43.28
AIRL1008,FKT,74.63
AIRL1008,FST,302.64
AIRL1008,GEN,189
AIRL1008,GEN.1.1,2780.96
AIRL1008,GRA,658.28
AIRL1008,GRDR,607.02
AIRL1008,GSB,324.73
AIRL1008,GSP,8376.34
AIRL1008,HYCY,1218.51
AIRL1008,IMWR,271.44
AIRL1008,IWR,2444.31
AIRL1008,KB,5526.77
AIRL1008,MEB,18.6
AIRL1008,PBS,7728.7
AIRL1008,PRK,554.33
AIRL1008,SBL,3908.84
AIRL1008,SL.1,2799.16
AIRL1008,TRCR,126.08
AIRL1008,TRFB,524.5
AIRL1008,TRFU,69.22
AIRL1008,VCWD,638.3
AJME6001,BRDR,165.06
AJME6001,CSET,207.64
AJME6001,GDK,279
AJME6001,GEN.1,11830
AJME6001,GRAG,78.81
AJME6001,KB,721.25
AJME6001,PHD,117.41
AJME6001,PRK,305.62
AJME6001,SBL,230.58
AJME6001,UTE,1575
AJME6001,VCCL,50.87
AJME6001,VCWD,50.87
ALLA9417,AOBR,1278.43
ALLA9417,APS,197.17
ALLA9417,BRDR,3745.04
ALLA9417,CMPR,1652.49
ALLA9417,DRMB,176.97
ALLA9417,DSAW.1,104.36
ALLA9417,E.1.1,600.4
ALLA9417,EXFA,2585.6
ALLA9417,GEN.1,5119.04
ALLA9417,GL7,65.65
ALLA9417,KB,6987.36
ALLA9417,PC,81.46
ALLA9417,RCS,709.92
ALLA9417,RPSD,614.14
ALLA9417,RSDD,290.9
ALLA9417,RSSD,6433.15
ALLA9417,SFTY,155.16
ALLA9417,SL.1,23575
ALLA9417,TRTI,290
ALLA9417,VCWD,1378.07
ALLA9417,VMH,625.41
ALLM6002,BRDR,505.05
ALLM6002,CDS,1387.34
ALLM6002,CHB,2581.28
ALLM6002,CMLN,1772.28
ALLM6002,CMPR,4540.95
ALLM6002,CPHP,6333.44
ALLM6002,DRLH,277.1
ALLM6002,DRMB,123.02
ALLM6002,FJC,1142.04
ALLM6002,FKT,4485
ALLM6002,GEN,324.36
ALLM6002,GPC,6461.73
ALLM6002,HCPE,1800.98
ALLM6002,HYCY,2859.24
ALLM6002,HYDM,744.66
ALLM6002,IMWR,1608.98
ALLM6002,IWR,1683.35
ALLM6002,KB,45155.2
ALLM6002,LHC,1405
ALLM6002,OXYS,763.8
ALLM6002,RBB,135.8
ALLM6002,SBL,9059.49
ALLM6002,SL.1,28268
ALLM6002,TM,1995.22
ALLM6002,TRPN,252
ALLM6002,VM ,6160
ALLM6002,WDMA,4505.46
ALLM6002,WEOV,676.44
ALLM6002,WLDR,58.5
ALLS6029,AOBR,167.28
ALLS6029,BRDR,1389.95
ALLS6029,CFG,618.27
ALLS6029,CHSW,113.13
ALLS6029,CMXR,105.05
ALLS6029,CTM,155
ALLS6029,DRMB,328.04
ALLS6029,DSAW.1,1567.44
ALLS6029,DUNI,1202.78
ALLS6029,E.1.1,311.11
ALLS6029,GEN,1656.08
ALLS6029,GFNG,193.74
ALLS6029,GRAG,247.3
ALLS6029,KB,4677.68
ALLS6029,LBLW,42
ALLS6029,LMRK,78.18
ALLS6029,LPL,56.56
ALLS6029,MILD,696.39
ALLS6029,PC,304.03
ALLS6029,PUSM,1246.93
ALLS6029,PUSU,1332.93
ALLS6029,RCS,340.2
ALLS6029,RSDD,605.04
ALLS6029,RSSD,1134.56
ALLS6029,SBL,6761.24
ALLS6029,SFTY,76.85
ALLS6029,SL.1,5240.89
ALLS6029,SSC,38.79
ALLS6029,TM,6308.71
ALLS6029,TPB,6191.16
ALLS6029,TREQ,41.21
ALLS6029,VBFX,54.14
ALLS6029,VCWD,920.29
ALLS6029,VMH,1534.41
ALLS6029,VSPP,914.96
ALLS6029,WTRB,122
ALST1050,ABL,12330.36
ALST1050,BRDR,202.59
ALST1050,CHSW,73.49
ALST1050,CMPR,8956.36
ALST1050,CNR,1858.2
ALST1050,CPHP,917.28
ALST1050,CPW,163.8
ALST1050,DBP,1092
ALST1050,DSAW.1,41.6
ALST1050,FKT,6630.89
ALST1050,FLR,1080
ALST1050,GEN.1,1857.58
ALST1050,GPC,1088.7
ALST1050,GRDT,141.31
ALST1050,GSP,1550.64
ALST1050,HTP,4125
ALST1050,HTQ,227.04
ALST1050,HYCY,805
ALST1050,JIB,491.97
ALST1050,KB,15066
