
kMeans
======

Number of iterations: 8
Within cluster sum of squared errors: 814.879055882926

Cluster centroids:
                         Cluster#
Attribute    Full Data          0          1          2          3          4          5          6          7          8          9
                 (446)        (3)        (8)      (100)       (37)      (210)        (1)       (33)       (13)        (8)       (33)
====================================================================================================================================
type0           0.0229          0     0.0263     0.0417     0.0037     0.0155          0     0.0083     0.0951       0.08     0.0083
type1           0.0566     0.2107      0.108     0.0282     0.0466     0.0804          0      0.003     0.0165     0.0596     0.0462
type2           0.0014          0     0.0007     0.0002     0.0079     0.0009          0     0.0018          0          0     0.0017
type3           0.0096      0.005     0.0068     0.0083     0.0506     0.0043     0.0009     0.0048     0.0121     0.0007     0.0087
type4            0.007     0.0017     0.0052     0.0019     0.0197     0.0057          0     0.0035     0.0049     0.0003     0.0237
type5             0.03     0.0592      0.023     0.0061     0.0984     0.0209          0      0.049          0          0     0.0834
type6           0.0436      0.038     0.1781     0.0238     0.0158     0.0574          0     0.0169     0.0099     0.1316      0.035
type7           0.0342     0.0356     0.0333     0.0658      0.016     0.0235          0     0.0212     0.0835     0.0588     0.0158
type8           0.0075          0     0.0003     0.0063     0.0254     0.0044     0.0007     0.0131     0.0035     0.0019     0.0102
type9            0.013          0          0     0.0051     0.0062     0.0238          0     0.0012          0          0     0.0007
type10          0.0226          0     0.0041     0.0062     0.0279     0.0378          0     0.0122     0.0026          0     0.0004
type11          0.0105     0.0014     0.0049     0.0026     0.0281     0.0104          0     0.0106      0.005     0.0012     0.0216
type12          0.0004          0          0     0.0003     0.0002     0.0004          0     0.0024          0          0     0.0001
type13          0.0074     0.0016      0.003      0.006     0.0357     0.0024     0.0009     0.0143     0.0006          0     0.0105
type14          0.0266     0.0442     0.0336     0.0059     0.0134     0.0065          0     0.2465     0.0008          0      0.026
type15          0.0205     0.0437     0.0215     0.0124      0.036     0.0163          0      0.063     0.0007          0     0.0223
type16          0.0226          0     0.0034     0.0061     0.0161     0.0091          0     0.1686     0.0044          0     0.0405
type17          0.0067     0.0497     0.0085     0.0015      0.042     0.0032          0       0.01          0          0     0.0025
