cluster_id,subtype_id,subtype_name
6,13,LCRR
4,34,TLT
8,53,WHBR
5,8,TTEL
3,53,WHBR
2,24,HPG
4,55,PC
9,1,CSED
1,1,CSED
6,4,TRPA
4,66,MSB
9,10,EHHK
6,2,AOBR
6,32,LCC
4,41,CBA
7,48,AB
1,2,AOBR
0,51,APS
2,35,AIRC
1,18,GEN.1.1.1
2,11,NSP
1,29,FTRA
6,29,FTRA
1,5,FLST
3,21,FDH
1,4,TRPA
7,8,TTEL
3,15,PPBN
4,12,LIN
3,7,TPG
9,29,FTRA
7,29,FTRA
3,5,FLST
3,27,IWR
2,76,SPL
7,4,TRPA
8,45,GRAG
6,49,ACPB
6,35,AIRC
8,30,CMLN
9,9,SOS
4,23,PPSD
6,34,TLT
3,1,CSED
3,34,TLT
1,40,WNCH
4,81,HH.1
7,11,NSP
0,58,SBF
4,38,PFAN
8,7,TPG
5,5,FLST
2,34,TLT
8,82,NRU
2,9,SOS
2,14,VCCL
4,64,CWB
4,65,SGUN
3,29,FTRA
3,10,EHHK
4,18,GEN.1.1.1
4,17,MEC
2,45,GRAG
2,15,PPBN
9,27,IWR
1,0,DUNI
4,7,TPG
4,26,DRPE
2,21,FDH
6,85,SAWR
2,25,BCAR
4,50,VBSF
3,43,PIPT
9,15,PPBN
3,0,DUNI
0,4,TRPA
2,58,SBF
3,39,DBC
0,27,IWR
9,25,BCAR
9,7,TPG
1,75,DMFR
2,40,WNCH
8,14,VCCL
4,32,LCC
6,7,TPG
4,62,WBC
3,67,TRTA
2,0,DUNI
4,24,HPG
8,10,EHHK
8,19,GPC
3,3,CPHP
9,13,LCRR
1,43,PIPT
9,6,CHB
2,84,FTZR
4,2,AOBR
6,12,LIN
6,26,DRPE
4,20,TLCR
9,71,HSJS
4,84,FTZR
6,21,FDH
2,5,FLST
2,70,IMWR
2,61,WDPP
6,20,TLCR
9,51,APS
0,13,LCRR
6,1,CSED
7,5,FLST
1,12,LIN
4,14,VCCL
4,59,VMH
3,40,WNCH
2,22,JIB
4,44,TRFU
9,26,DRPE
2,54,SAWM
3,58,SBF
9,18,GEN.1.1.1
4,68,TRO
9,11,NSP
9,32,LCC
3,62,WBC
9,46,CRIM
3,4,TRPA
8,0,DUNI
9,23,PPSD
3,8,TTEL
2,32,LCC
9,62,WBC
4,48,AB
7,34,TLT
4,4,TRPA
5,22,JIB
4,6,CHB
3,63,URN
2,53,WHBR
4,42,CHSW
4,5,FLST
4,9,SOS
9,0,DUNI
2,81,HH.1
4,46,CRIM
4,83,YDS
6,72,GRNB
4,10,EHHK
7,7,TPG
4,37,SWTS
7,9,SOS
7,44,TRFU
9,81,HH.1
7,3,CPHP
9,5,FLST
1,74,CMPR
7,2,AOBR
9,52,STGR
6,86,DAVT
3,69,VSL
3,18,GEN.1.1.1
8,18,GEN.1.1.1
2,43,PIPT
2,13,LCRR
3,2,AOBR
1,20,TLCR
4,40,WNCH
2,17,MEC
0,3,CPHP
8,8,TTEL
2,26,DRPE
4,19,GPC
8,55,PC
3,23,PPSD
4,45,GRAG
3,11,NSP
1,82,NRU
9,8,TTEL
6,11,NSP
4,25,BCAR
0,20,TLCR
1,6,CHB
2,3,CPHP
9,72,GRNB
4,61,WDPP
6,3,CPHP
2,59,VMH
1,15,PPBN
8,23,PPSD
4,28,LNYD
3,6,CHB
2,38,PFAN
2,12,LIN
4,57,VALV
2,19,GPC
4,52,STGR
4,47,T
2,23,PPSD
4,11,NSP
6,80,CONE
2,36,SSRT
2,7,TPG
8,5,FLST
4,51,APS
3,47,T
2,30,CMLN
2,1,CSED
2,60,RTP
4,73,DU
2,6,CHB
3,30,CMLN
4,75,DMFR
6,61,WDPP
4,0,DUNI
1,8,TTEL
4,43,PIPT
2,49,ACPB
3,51,APS
2,68,TRO
1,10,EHHK
9,3,CPHP
7,0,DUNI
6,5,FLST
6,23,PPSD
8,15,PPBN
5,20,TLCR
0,1,CSED
4,30,CMLN
6,0,DUNI
7,10,EHHK
9,85,SAWR
6,19,GPC
7,53,WHBR
4,15,PPBN
1,3,CPHP
2,56,RMTP
4,22,JIB
6,41,CBA
3,26,DRPE
7,19,GPC
2,18,GEN.1.1.1
2,71,HSJS
8,27,IWR
0,19,GPC
2,44,TRFU
3,13,LCRR
3,9,SOS
6,8,TTEL
3,19,GPC
2,41,CBA
0,5,FLST
9,28,LNYD
6,9,SOS
6,27,IWR
3,45,GRAG
4,8,TTEL
3,12,LIN
1,9,SOS
3,16,CHEP
1,41,CBA
4,79,CDVP
9,2,AOBR
3,17,MEC
4,39,DBC
8,34,TLT
2,27,IWR
2,10,EHHK
4,74,CMPR
2,8,TTEL
2,78,TRPN
8,11,NSP
4,72,GRNB
6,15,PPBN
1,7,TPG
6,28,LNYD
2,20,TLCR
4,58,SBF
2,16,CHEP
0,11,NSP
2,51,APS
2,50,VBSF
6,43,PIPT
2,4,TRPA
7,15,PPBN
2,2,AOBR
8,25,BCAR
4,49,ACPB
3,24,HPG
3,66,MSB
7,6,CHB
4,29,FTRA
1,27,IWR
4,33,PBS
9,12,LIN
2,28,LNYD
1,21,FDH
2,29,FTRA
4,31,ICE
5,38,PFAN
4,13,LCRR
2,62,WBC
9,16,CHEP
7,27,IWR
3,20,TLCR
4,16,CHEP
7,20,TLCR
3,82,NRU
2,37,SWTS
4,53,WHBR
4,35,AIRC
4,3,CPHP
4,1,CSED
7,13,LCRR
4,77,CDS
2,39,DBC
4,27,IWR
